carrier,origin_country,destination_country,clicks_client,clicks_competitor,clicks_airlines
AZ,Italy,Italy,697,1650,690
FR,Italy,Italy,3935,6434,3896
NO,Italy,Egypt,72,41,71
NO,Italy,Spain,13,16,13
FR,Italy,Spain,2045,4351,2025
FR,Italy,Morocco,121,325,120
LA,Italy,Brazil,23,54,23
AZ,Italy,,0,98,0
W6,Italy,Egypt,158,141,156
AZ,Italy,United States,191,831,189
UG,Italy,Tunisia,0,2,0
NO,Spain,Italy,2,2,2
NO,Egypt,Italy,10,7,10
IB,Italy,Spain,210,184,208
TU,Italy,Tunisia,0,55,0
LA,Peru,Peru,2,15,2
IB,Spain,Italy,78,38,77
U2,Italy,Italy,1633,195,1617
TU,France,Tunisia,0,8,0
AZ,Italy,Tunisia,8,29,8
TU,Tunisia,Italy,0,9,0
FR,Italy,Belgium,178,260,176
FR,Italy,Greece,614,1219,608
EW,Italy,Germany,262,292,259
LH,Italy,,0,75,0
KU,Italy,Philippines,2,11,2
SM,Egypt,Italy,12,32,12
KL,Italy,,8,29,8
LA,Colombia,Colombia,3,21,3
FR,Italy,Romania,93,249,92
NO,Italy,Maldives,7,3,7
FR,Spain,Italy,412,501,408
UG,Tunisia,Italy,0,3,0
ET,Cameroon,Italy,0,9,0
KL,Italy,Dominican Republic,6,29,6
IB,Italy,Mexico,2,31,2
RO,Romania,Romania,0,4,0
AT,Italy,Morocco,27,76,27
SM,Italy,Egypt,41,195,41
LA,Italy,Argentina,2,10,2
JU,Italy,Turkey,5,15,5
FR,Spain,Spain,67,82,66
MS,Egypt,Egypt,0,22,0
AZ,Italy,Morocco,6,19,6
KM,Malta,Italy,0,23,0
LX,Italy,,0,27,0
FR,Italy,Malta,380,606,376
TK,Italy,,0,14,0
AT,Italy,,0,0,0
IB,Italy,Portugal,15,23,15
DX,Italy,Italy,0,89,0
TK,Italy,Turkey,119,251,118
PW,Tanzania,Tanzania,0,4,0
EK,Italy,Mauritius,1,26,1
EK,Italy,Indonesia,14,15,14
LH,Italy,Guatemala,0,4,0
AZ,United States,Italy,13,34,13
NO,Italy,United States,16,5,16
NO,Italy,Dominican Republic,2,2,2
AZ,Egypt,Italy,4,14,4
W6,Italy,Romania,53,118,52
FR,Italy,Hungary,199,477,197
FR,Italy,Denmark,78,180,77
KL,Italy,United States,64,175,63
W6,Italy,Italy,255,588,252
EY,United Arab Emirates,India,1,1,1
UG,Tunisia,Tunisia,0,1,0
TP,Italy,United States,11,27,11
FR,Italy,Germany,233,460,231
U2,Italy,Spain,640,124,634
EK,Italy,,0,5,0
KQ,Italy,Madagascar,0,9,0
FR,Italy,United Kingdom,570,760,564
AZ,Italy,Japan,22,141,22
AY,Italy,Japan,2,5,2
NO,Italy,Senegal,14,9,14
MS,Italy,Egypt,0,71,0
CA,Italy,Japan,0,92,0
TP,Italy,Brazil,36,124,36
TK,Italy,United States,24,5,24
FR,Italy,Poland,78,184,77
TG,Thailand,Thailand,4,8,4
FR,Italy,Norway,11,28,11
NO,United States,Italy,5,4,5
JU,Serbia,Italy,3,2,3
W6,Italy,United Arab Emirates,94,164,93
UX,Spain,Spain,14,34,14
AZ,Italy,India,2,14,2
FR,Italy,Republic of Ireland,138,185,137
AZ,Italy,Algeria,1,6,1
ET,Italy,Madagascar,8,22,8
AZ,Italy,Germany,17,54,17
FR,Portugal,United Kingdom,0,4,0
FR,Italy,Bulgaria,25,72,25
S4,Portugal,Portugal,0,1,0
3U,Thailand,Italy,0,5,0
AZ,Italy,Spain,22,140,22
FR,Portugal,Italy,56,74,55
U2,Italy,Portugal,144,34,143
FR,Italy,Netherlands,39,106,39
QR,Italy,Australia,15,9,15
KL,United States,Italy,11,2,11
MU,Italy,Thailand,0,14,0
QR,Germany,Australia,0,0,0
AR,Argentina,Argentina,0,6,0
W6,Italy,Netherlands,28,42,28
NP,Egypt,Egypt,0,9,0
FR,Hungary,Italy,38,48,38
LA,Peru,Mexico,0,2,0
QR,Italy,Thailand,36,69,36
QR,Italy,Qatar,5,10,5
AF,Italy,United States,67,83,66
LG,Italy,Luxembourg,15,17,15
AZ,Belgium,Italy,17,29,17
IB,Italy,United States,20,99,20
AZ,Tunisia,Italy,1,3,1
FR,Italy,Sweden,42,101,42
V7,Italy,Italy,883,756,874
LX,Italy,United States,37,36,37
CM,Brazil,Dominican Republic,4,9,4
AY,Italy,United States,17,40,17
ET,Kenya,Italy,0,6,0
KU,Spain,India,0,1,0
W6,Italy,Czech Republic,69,83,68
NO,Italy,Madagascar,4,5,4
WY,Italy,Thailand,3,63,3
JL,Italy,,0,11,0
EY,Italy,Indonesia,28,21,28
AT,Italy,United States,0,2,0
TK,Sri Lanka,Italy,0,0,0
FR,Luxembourg,Italy,4,4,4
DY,Italy,Sweden,0,28,0
W6,Italy,France,64,127,63
W6,Italy,Jordan,31,45,31
LH,Italy,Canada,5,18,5
AZ,Italy,Egypt,5,32,5
W6,Italy,United Kingdom,36,31,36
EY,Italy,,13,5,13
JU,Italy,Germany,0,0,0
LA,Brazil,Argentina,0,0,0
OU,Croatia,Bosnia and Herzegovina,1,1,1
BR,Italy,Taiwan,0,5,0
EY,Italy,Maldives,9,13,9
ET,Italy,Eritrea,2,1,2
LA,Chile,Italy,0,34,0
AI,Italy,India,0,23,0
OD,Malaysia,Malaysia,0,1,0
FR,United Kingdom,Italy,159,156,157
TK,Italy,Uzbekistan,4,10,4
TK,Slovenia,,0,2,0
LO,Poland,Poland,0,0,0
HY,Uzbekistan,Uzbekistan,0,1,0
LA,Argentina,Chile,0,1,0
KQ,Central African Republic,Italy,0,0,0
EW,Germany,United Kingdom,1,1,1
JL,Italy,Japan,1,4,1
KL,Italy,Nicaragua,0,0,0
EN,Italy,,0,5,0
AZ,Italy,Argentina,14,101,14
SP,Portugal,Portugal,8,11,8
PG,Thailand,Thailand,36,30,36
MH,Malaysia,Malaysia,8,8,8
PR,China,Indonesia,0,1,0
QR,Italy,,0,11,0
FR,Italy,Finland,8,13,8
LH,Italy,France,14,11,14
W6,Italy,Iceland,6,60,6
KU,Italy,Malaysia,0,2,0
VY,Italy,Brazil,0,1,0
TK,Bulgaria,,0,0,0
LA,Peru,Brazil,0,0,0
RJ,Italy,Jordan,1,13,1
AT,Spain,Morocco,0,0,0
TK,Japan,Italy,0,1,0
LO,Italy,Japan,0,6,0
TK,Cameroon,,0,0,0
3U,China,Italy,0,0,0
LA,Italy,Chile,1,25,1
EI,Italy,United States,41,5,41
TK,Italy,Singapore,4,3,4
EK,United States,Italy,1,0,1
W6,Italy,Albania,61,212,60
AZ,Argentina,Italy,10,31,10
1L,Italy,Germany,0,9,0
WE,Thailand,Cambodia,1,0,1
TK,Italy,Mauritius,0,7,0
Z2,Philippines,Philippines,0,14,0
JU,Italy,Serbia,28,10,28
AZ,Italy,Brazil,7,67,7
FR,Poland,Italy,30,59,30
AS,United States,United States,0,9,0
SQ,Italy,,0,7,0
KL,Italy,France,3,3,3
CY,Cyprus,Lebanon,0,0,0
LA,Peru,Ecuador,0,2,0
IB,Italy,Argentina,9,3,9
EY,Italy,Thailand,18,19,18
SV,Italy,,0,3,0
MS,Italy,Japan,0,1,0
AF,Italy,,1,14,1
EY,Italy,Malaysia,6,28,6
LA,Chile,Chile,1,3,1
LX,Italy,The Bahamas,0,0,0
LO,Italy,Egypt,0,6,0
IB,France,Spain,4,7,4
AC,Italy,,0,3,0
W6,Italy,Morocco,16,40,16
U2,Italy,France,725,133,718
GQ,Greece,Greece,20,14,20
FR,Greece,Italy,70,61,69
EY,Italy,Seychelles,6,12,6
ET,Italy,Comoros,0,3,0
DY,Norway,Italy,0,29,0
