carrier,origin_country,destination_country,clicks_client,clicks_competitor,clicks_airlines
AZ,Italy,Italy,745,1880,738
FR,Italy,Italy,4294,6044,4251
LA,Italy,Brazil,30,50,30
NO,Italy,Egypt,55,68,54
FR,Italy,Spain,2384,3660,2360
AZ,Italy,United States,182,988,180
AZ,Italy,,0,147,0
TK,Italy,Turkey,245,623,243
FR,Italy,Morocco,186,332,184
NO,Italy,Spain,18,22,18
V7,Italy,Italy,911,943,902
AZ,Italy,Morocco,14,53,14
FR,Italy,Malta,517,652,512
FR,Italy,Greece,718,1041,711
IB,Italy,Spain,232,176,230
TU,Italy,Tunisia,0,87,0
IB,Spain,Italy,74,46,73
W6,Italy,Egypt,182,294,180
NO,Italy,United States,13,4,13
IB,Italy,Argentina,12,6,12
JU,Turkey,Italy,1,4,1
JU,Italy,Turkey,42,171,42
FR,Italy,France,374,470,370
AF,Italy,,1,23,1
FR,Italy,Austria,239,251,237
FR,Spain,Italy,448,450,444
NP,Egypt,Egypt,0,14,0
KL,Italy,,19,22,19
FR,Italy,United Kingdom,516,627,511
MS,Italy,Egypt,0,73,0
UA,Italy,,15,10,15
EI,Italy,United States,12,20,12
SM,Italy,Egypt,34,168,34
LX,Italy,United States,22,57,22
G3,Brazil,Brazil,0,25,0
U2,Italy,Spain,1087,255,1076
JU,Italy,Serbia,66,53,65
KL,Italy,Dominican Republic,2,15,2
V7,Italy,Greece,565,478,559
AZ,Italy,Tunisia,18,25,18
QR,Italy,,0,15,0
NO,Italy,Senegal,13,10,13
UG,Italy,Tunisia,0,5,0
TK,Turkey,Italy,24,57,24
KM,Malta,Italy,0,25,0
W6,Italy,United Arab Emirates,32,115,32
EY,Italy,,6,5,6
TK,Italy,,0,24,0
FR,United Kingdom,Italy,185,150,183
FR,Italy,Germany,300,306,297
SM,Egypt,Italy,11,45,11
AT,Italy,Morocco,38,158,38
UG,Tunisia,Italy,0,1,0
AZ,United States,Italy,15,20,15
UA,Italy,United States,59,47,58
FR,Germany,Italy,96,115,95
AM,United States,Mexico,0,3,0
TU,Tunisia,Italy,0,21,0
FR,Italy,Croatia,113,195,112
LH,Italy,,0,53,0
U2,Italy,Netherlands,364,101,360
U2,Italy,France,893,200,884
LH,Italy,United States,170,190,168
FR,Italy,Belgium,165,175,163
TG,Thailand,Thailand,5,9,5
SQ,India,Singapore,5,0,5
LX,Italy,,0,27,0
WB,South Africa,Ghana,0,0,0
FR,Italy,Bulgaria,63,117,62
NO,Egypt,Italy,23,7,23
CA,Italy,Thailand,0,14,0
VT,French Polynesia,United States,0,0,0
JU,Serbia,Hungary,2,0,2
W6,Italy,Bulgaria,43,76,43
IB,Italy,United States,4,51,4
IB,Italy,Brazil,2,3,2
GQ,Greece,Greece,8,26,8
AT,Morocco,Italy,18,16,18
FR,Belgium,Italy,56,53,55
W4,United Kingdom,Italy,52,44,51
UX,Spain,Colombia,0,4,0
KU,Italy,Nepal,2,4,2
EK,Italy,,0,11,0
AZ,Tunisia,Italy,9,10,9
KL,Italy,United States,58,156,57
JL,Italy,Japan,2,8,2
FR,Portugal,Italy,66,76,65
BR,Germany,Vietnam,0,8,0
LG,Italy,Luxembourg,11,17,11
EK,United States,Italy,4,1,4
CI,Australia,Japan,0,3,0
AF,Italy,United States,101,258,100
U2,Italy,Italy,1895,289,1876
FR,Italy,Jordan,18,40,18
G3,Brazil,,0,1,0
FR,Italy,Netherlands,64,111,63
MH,Malaysia,Malaysia,8,8,8
IB,France,Spain,9,2,9
GF,Italy,Singapore,0,1,0
FR,Poland,Republic of Ireland,1,4,1
AF,Canada,,0,6,0
W6,Italy,Greece,273,370,270
CZ,Italy,Cambodia,2,1,2
TK,United Kingdom,Turkey,0,3,0
QR,Italy,Thailand,41,133,41
U2,Luxembourg,Italy,2,0,2
TK,Turkey,Denmark,0,1,0
EY,Italy,Maldives,7,8,7
RO,Italy,Turkey,0,20,0
FR,Romania,Italy,22,39,22
A3,Greece,,0,0,0
W6,Italy,Jordan,67,59,66
MS,Egypt,Egypt,0,28,0
LA,Ecuador,United States,16,2,16
AZ,Italy,Germany,28,41,28
AZ,Egypt,Italy,8,15,8
FR,Italy,Czech Republic,137,174,136
