carrier,origin_country,destination_country,clicks_client,clicks_competitor,clicks_airlines
AZ,Italy,Italy,473,1304,468
FR,Italy,Italy,3746,6282,3709
FR,Italy,Spain,1945,4115,1926
FR,Italy,Morocco,132,312,131
NO,Italy,Egypt,74,78,73
NO,Italy,Spain,20,19,20
LA,Italy,Brazil,2,50,2
DX,Italy,Italy,0,192,0
W6,Italy,Italy,819,878,811
NO,Egypt,Italy,24,7,24
AZ,Italy,United States,147,716,146
TU,Italy,Tunisia,0,45,0
EY,Italy,Seychelles,27,45,27
AT,Italy,Morocco,32,82,32
BA,Italy,United States,198,431,196
NO,Italy,United States,14,5,14
LH,Italy,United States,94,111,93
AZ,Italy,,0,121,0
NO,Spain,Italy,3,2,3
IB,Italy,Spain,208,192,206
FR,Italy,Greece,652,1385,646
TP,Italy,United States,8,29,8
AZ,Italy,Morocco,26,50,26
QR,Italy,,0,20,0
AF,Italy,,1,19,1
EK,Italy,,0,13,0
AZ,Italy,Brazil,7,40,7
SM,Egypt,Italy,8,46,8
LH,Italy,Brazil,12,40,12
W6,Italy,Jordan,26,28,26
FR,Italy,France,340,558,337
FR,Italy,Romania,71,183,70
AC,Italy,Canada,7,50,7
EY,Italy,Indonesia,17,38,17
KM,Malta,Italy,0,17,0
V7,Italy,Italy,615,615,609
LA,Peru,Peru,3,12,3
W6,Italy,Egypt,153,144,151
IB,Italy,United States,10,106,10
EK,Slovenia,Indonesia,0,12,0
TK,Italy,United States,10,5,10
FR,Italy,Malta,347,611,344
TU,Tunisia,Italy,0,33,0
KL,Italy,,3,23,3
KL,Italy,Dominican Republic,3,37,3
SM,Italy,Egypt,34,199,34
TP,Italy,Venezuela,6,13,6
AZ,Italy,Tunisia,4,33,4
JL,Italy,,0,6,0
W6,Italy,Morocco,42,30,42
AR,Italy,Argentina,0,21,0
LH,Spain,,0,0,0
EK,Italy,Indonesia,32,21,32
LA,Colombia,Colombia,8,14,8
W6,Italy,United Arab Emirates,75,86,74
U2,Italy,France,712,132,705
UX,Guatemala,,0,0,0
FR,Italy,Jordan,24,58,24
AZ,Italy,Spain,31,167,31
FR,Italy,Portugal,319,586,316
UX,Italy,Venezuela,4,11,4
UG,Italy,Tunisia,0,3,0
AS,United States,United States,0,12,0
NO,United States,Italy,3,1,3
AI,India,India,0,4,0
TS,Italy,Canada,54,31,53
FR,Italy,United Kingdom,308,519,305
UG,Tunisia,Italy,0,0,0
FR,Italy,Croatia,66,143,65
FR,Belgium,Italy,23,40,23
AY,Italy,Japan,2,4,2
U2,Italy,Italy,1538,142,1523
AY,Italy,United States,36,282,36
MH,Malaysia,Malaysia,4,6,4
IB,Italy,Dominican Republic,17,4,17
AZ,Italy,Dominican Republic,0,5,0
LH,Italy,Finland,4,5,4
LO,Italy,Japan,0,17,0
NO,Italy,Mexico,9,4,9
W6,Italy,Albania,300,355,297
UP,United States,The Bahamas,0,3,0
MS,Italy,Egypt,0,72,0
W6,Italy,Iceland,81,70,80
AT,Morocco,Italy,8,29,8
U2,Italy,Luxembourg,13,4,13
LH,Italy,,0,38,0
AM,Italy,Peru,0,2,0
AI,India,Italy,0,5,0
KU,Italy,Philippines,1,33,1
BA,Italy,,17,51,17
AZ,Italy,Chile,0,3,0
NO,Italy,Cape Verde,4,2,4
AZ,Italy,Australia,1,9,1
EI,Italy,United States,20,5,20
TP,Italy,,0,37,0
LH,Italy,Japan,17,35,17
LX,Italy,United States,22,55,22
V7,France,Italy,18,6,18
KL,Italy,United States,53,202,52
TP,Italy,Brazil,27,148,27
