carrier,origin_country,destination_country,clicks_travix,clicks_competitor,clicks_airlines
AZ,Italy,Italy,749,2210,742
FR,Italy,Italy,4968,8873,4919
FR,Italy,Spain,3096,6048,3065
FR,Italy,Morocco,177,379,175
NO,Italy,Spain,2,28,2
AZ,Italy,United States,249,1142,247
W6,Italy,Italy,1248,1330,1236
LA,Italy,Brazil,12,43,12
W6,Italy,Egypt,292,270,289
IB,Italy,Spain,348,240,345
KL,Italy,United States,104,313,103
LH,Italy,United States,199,169,197
AZ,Italy,,0,154,0
LH,Italy,,0,44,0
NO,Italy,United States,0,8,0
BA,Italy,,41,94,41
AF,Italy,United States,131,151,130
AZ,Italy,Tunisia,8,67,8
V7,Italy,Italy,772,733,764
QR,Italy,,0,37,0
KM,Malta,Italy,0,19,0
LH,Italy,Brazil,10,20,10
SM,Egypt,Italy,17,63,17
LA,Colombia,Colombia,11,31,11
TU,Italy,Tunisia,0,48,0
FR,Italy,Greece,1045,1629,1035
LX,Italy,,0,20,0
TP,Italy,United States,14,35,14
NO,Italy,Maldives,0,3,0
FR,Italy,Malta,388,674,384
EK,Italy,,0,4,0
FR,Italy,Austria,283,430,280
FR,Italy,United Kingdom,502,871,497
AZ,Tunisia,Italy,6,5,6
FR,Italy,Romania,119,359,118
AT,Italy,Morocco,50,152,50
W6,Italy,United Arab Emirates,95,87,94
TK,Italy,United States,2,13,2
BA,Italy,United States,304,765,301
MH,Philippines,Malaysia,0,6,0
EY,Italy,Seychelles,14,37,14
AZ,Italy,Spain,49,173,49
W6,Italy,Morocco,58,83,57
FR,Italy,France,493,799,488
TK,Italy,,0,37,0
FR,Morocco,Italy,41,70,41
LG,Italy,Luxembourg,5,12,5
IB,Spain,Italy,69,53,68
FR,Italy,Belgium,221,386,219
FR,Italy,Jordan,34,79,34
LA,Peru,Peru,2,17,2
FR,Italy,Bulgaria,29,55,29
KL,Italy,,14,73,14
FR,Italy,Germany,208,375,206
KL,Italy,Dominican Republic,9,43,9
FR,Italy,Czech Republic,117,253,116
AT,Morocco,Italy,21,37,21
SM,Italy,Egypt,43,376,43
IB,Italy,United States,15,164,15
AZ,Germany,Italy,10,29,10
W6,Italy,Jordan,90,63,89
AY,Italy,United States,12,68,12
TU,France,Tunisia,0,17,0
AZ,Egypt,Italy,5,18,5
TU,Tunisia,Italy,0,25,0
AZ,Italy,Mexico,0,42,0
AZ,Italy,Morocco,1,17,1
FR,Italy,Portugal,381,779,377
TK,Italy,Japan,16,20,16
UG,Tunisia,Italy,0,0,0
UG,Italy,Tunisia,0,17,0
LH,Italy,Sweden,10,17,10
FR,Italy,Hungary,153,267,151
SN,Italy,Belgium,59,91,58
AZ,United States,United States,0,0,0
UP,United States,The Bahamas,0,4,0
SK,Sweden,Sweden,3,2,3
IB,Italy,Dominican Republic,15,17,15
TK,Malaysia,Morocco,0,0,0
SK,Italy,,5,7,5
W6,Italy,Spain,378,720,374
LH,United States,United States,0,16,0
AZ,Morocco,Italy,5,16,5
AZ,Italy,France,42,191,42
IB,Italy,,3,7,3
FR,Italy,Republic of Ireland,161,267,159
NO,Italy,Dominican Republic,0,3,0
MF,Hong Kong,,0,2,0
LH,Italy,Kenya,6,4,6
FR,Italy,Croatia,91,223,90
AZ,Israel,Italy,3,10,3
LH,Germany,Italy,62,78,61
IB,France,Spain,24,12,24
BA,Italy,Brazil,0,6,0
AZ,Italy,Egypt,5,48,5
FR,Italy,Denmark,146,259,145
G3,Brazil,Brazil,0,28,0
QR,Singapore,Italy,7,7,7
TU,France,,0,0,0
AF,Italy,El Salvador,0,4,0
LH,Italy,Bolivia,0,1,0
FR,Italy,Sweden,52,179,51
TK,Malaysia,,0,0,0
S4,Portugal,Portugal,1,6,1
WT,Spain,Spain,0,7,0
SK,Italy,Sweden,6,9,6
BA,Mexico,Italy,1,1,1
FR,Austria,Italy,53,60,52
TK,Italy,Turkey,94,228,93
TP,Brazil,Portugal,1,7,1
TG,Thailand,Thailand,9,9,9
WY,Italy,Oman,3,14,3
FR,Spain,Italy,444,595,440
FR,Romania,Italy,28,53,28
TK,Malta,Bangladesh,0,0,0
LH,Puerto Rico,Italy,0,0,0
LG,Luxembourg,,0,3,0
U2,Italy,Italy,2169,228,2148
UK,India,India,6,12,6
LH,Spain,Italy,2,0,2
UX,Italy,Brazil,5,27,5
EI,Italy,United States,27,12,27
AF,Italy,,1,24,1
AR,Argentina,Italy,0,12,0
LH,Italy,Germany,209,252,207
HY,Uzbekistan,Uzbekistan,0,4,0
SK,Italy,Denmark,10,24,10
SA,United Arab Emirates,,0,0,0
JL,Italy,Japan,4,7,4
UX,Italy,United States,3,6,3
EK,France,,0,0,0
UX,Italy,Spain,6,33,6
UX,Spain,Spain,9,17,9
U2,Italy,Greece,1440,181,1426
NO,Italy,Senegal,0,12,0
KL,Italy,Faroe Islands,0,3,0
TP,Senegal,Italy,11,16,11
SQ,Italy,,0,7,0
LH,Italy,Canada,11,26,11
LX,Italy,Norway,0,24,0
LH,Luxembourg,Italy,2,1,2
OS,Italy,Montenegro,2,1,2
AZ,Italy,Canada,0,14,0
BA,United States,Switzerland,0,0,0
TK,Italy,Philippines,0,15,0
LH,Italy,Mexico,1,8,1
AC,Italy,Canada,21,106,21
OD,Malaysia,Malaysia,0,2,0
SV,Italy,Thailand,10,52,10
SK,Sweden,Spain,0,3,0
LH,Italy,Egypt,5,29,5
FR,Italy,Finland,9,44,9
LH,Italy,Oman,1,1,1
WY,Italy,,0,5,0
QR,Italy,Indonesia,99,160,98
NO,Italy,Mexico,0,4,0
LH,Argentina,Italy,0,1,0
AZ,United States,Mexico,0,0,0
NO,Spain,Italy,0,4,0
FR,Malta,Italy,24,39,24
TP,Italy,Spain,1,34,1
VY,Italy,Brazil,1,3,1
EK,United Arab Emirates,,0,0,0
BA,Italy,Japan,0,7,0
LA,Brazil,Chile,1,2,1
U2,Italy,United Kingdom,450,93,446
TK,Italy,Thailand,13,32,13
SN,Belgium,Italy,20,9,20
EK,Italy,Indonesia,110,20,109
TK,Italy,Vietnam,0,6,0
NO,Italy,Cape Verde,0,0,0
W6,Italy,United Kingdom,232,257,230
FR,Poland,Italy,44,62,44
FR,France,Italy,90,122,89
W6,Italy,Hungary,156,149,154
RJ,Italy,Egypt,2,1,2
LJ,South Korea,,0,0,0
LH,Italy,Belgium,3,2,3
WY,Oman,Italy,0,0,0
LA,Bolivia,Peru,0,1,0
TP,Portugal,Portugal,6,6,6
NH,Italy,,0,5,0
FR,United Kingdom,Italy,156,146,154
JL,South Korea,Japan,0,1,0
ID,Indonesia,Singapore,0,2,0
DY,Norway,Italy,7,23,7
UG,Tunisia,Tunisia,0,2,0
TU,Tunisia,France,0,3,0
DY,Italy,Sweden,4,28,4
1L,Germany,Italy,0,0,0
BA,Chile,,0,0,0
LG,Luxembourg,Italy,3,7,3
LX,Italy,Netherlands,5,6,5
TU,Senegal,Italy,0,1,0
MS,United Arab Emirates,Italy,0,5,0
AM,Italy,Mexico,0,43,0
BA,France,Mexico,0,1,0
LH,Italy,Sri Lanka,0,0,0
IB,Spain,Netherlands,0,3,0
SN,Italy,Norway,1,9,1
OS,Italy,Kenya,0,13,0
AH,Italy,,0,0,0
PR,Philippines,Italy,0,5,0
WS,Italy,United States,0,12,0
BA,Chile,Italy,1,12,1
KM,France,Malta,0,1,0
LA,Argentina,Spain,2,14,2
BA,United Kingdom,,2,0,2
FR,Italy,Estonia,10,21,10
CA,Italy,Philippines,0,2,0
AZ,Italy,Israel,8,11,8
FR,Spain,Hungary,0,3,0
W6,Italy,Romania,270,313,267
FR,Hungary,Italy,33,36,33
DY,Italy,Norway,39,70,39
TP,Italy,,0,24,0
PG,Thailand,,0,0,0
IB,Italy,Venezuela,1,1,1
EK,Italy,Singapore,32,5,32
EY,Italy,Pakistan,1,2,1
WS,United States,Italy,0,4,0
EY,Saudi Arabia,Thailand,0,0,0
LH,Italy,French Polynesia,0,0,0
LA,Brazil,Argentina,0,0,0
VN,South Korea,Malaysia,0,3,0
FR,Belgium,Italy,47,85,47
AZ,Mexico,Italy,0,0,0
QS,Czech Republic,Egypt,0,3,0
EK,Egypt,,0,0,0
W6,Hungary,Italy,38,16,38
SL,Thailand,Thailand,0,8,0
