carrier,origin_country,destination_country,clicks_travix,clicks_competitor,clicks_airlines
AZ,Italy,Italy,578,1912,572
FR,Italy,Italy,3958,6948,3919
W6,Italy,Italy,829,1182,821
FR,Italy,Spain,2127,4775,2106
FR,Italy,Morocco,159,381,157
TU,Italy,Tunisia,0,89,0
LA,Italy,Brazil,12,49,12
W6,Italy,Egypt,174,267,172
NO,Italy,Spain,5,21,5
KL,Italy,United States,64,247,63
SM,Italy,Egypt,49,278,49
AT,Italy,Morocco,83,101,82
W6,Italy,United Arab Emirates,106,137,105
AZ,Italy,United States,192,922,190
AZ,Italy,Tunisia,8,49,8
W6,Italy,Hungary,250,385,248
AZ,Italy,,0,96,0
AT,Morocco,Italy,17,61,17
LH,Italy,United States,176,151,174
TK,Italy,,0,21,0
QR,Italy,,0,50,0
IB,Italy,Spain,206,148,204
AF,Italy,United States,119,152,118
LA,Colombia,Colombia,13,41,13
BA,Italy,United States,245,544,243
W6,Italy,Jordan,41,51,41
MS,Italy,Egypt,0,109,0
EY,Italy,Seychelles,14,32,14
KM,Malta,Italy,0,25,0
AR,Argentina,Argentina,0,7,0
W6,Italy,Morocco,33,50,33
NO,Italy,United States,0,5,0
AZ,Tunisia,Italy,3,14,3
LH,Italy,,0,59,0
KL,Italy,,27,53,27
UX,Spain,Spain,7,14,7
SM,Egypt,Italy,6,55,6
UX,Italy,Spain,11,63,11
NO,Italy,Dominican Republic,0,3,0
TP,Italy,United States,16,25,16
W6,Italy,Romania,188,331,186
FR,Italy,France,427,804,423
AF,Italy,,8,21,8
UG,Italy,Tunisia,0,29,0
FR,Italy,Jordan,44,61,44
EK,Italy,,0,10,0
AZ,Italy,Morocco,0,22,0
FR,Italy,Denmark,147,232,146
FR,Italy,Austria,218,354,216
PR,Philippines,Philippines,7,13,7
S4,Portugal,Portugal,0,3,0
OS,Italy,Kenya,0,1,0
IB,Spain,Italy,88,46,87
TU,France,Tunisia,0,9,0
WY,Italy,,0,2,0
V7,Italy,Italy,621,546,615
FR,Italy,Croatia,54,134,53
FR,Italy,Malta,299,525,296
FR,Spain,Italy,345,477,342
QR,Vietnam,Italy,2,3,2
LH,Italy,Luxembourg,0,1,0
FR,Portugal,Portugal,15,17,15
FR,Italy,Greece,532,1123,527
FR,Italy,United Kingdom,376,698,372
G3,Brazil,Brazil,0,16,0
