carrier,origin_country,destination_country,clicks_client,clicks_competitor,clicks_airlines
AZ,Italy,Italy,700,1521,693
FR,Italy,Italy,4081,6210,4041
LA,Italy,Brazil,23,54,23
FR,Italy,Spain,2144,3716,2123
NO,Italy,Egypt,39,57,39
FR,Italy,Morocco,165,295,163
AZ,Italy,United States,193,885,191
AZ,Italy,,0,101,0
TU,Italy,Tunisia,0,112,0
KL,Italy,United States,39,89,39
AZ,Italy,Tunisia,5,52,5
TK,Italy,Turkey,106,267,105
AT,Morocco,Italy,7,34,7
IB,Italy,Spain,156,168,154
NO,Italy,Spain,13,8,13
AZ,Italy,Morocco,9,18,9
TP,Italy,United States,23,57,23
SM,Italy,Egypt,60,154,59
KL,Italy,,13,10,13
U2,Italy,Spain,1001,179,991
U2,Italy,Italy,1843,271,1825
KM,Malta,Italy,0,32,0
KL,Italy,Dominican Republic,4,3,4
LH,Italy,,0,42,0
JU,Italy,Serbia,75,66,74
AZ,United States,Italy,10,25,10
FR,Italy,Malta,382,640,378
W6,Italy,Egypt,102,232,101
W6,Italy,Jordan,40,55,40
AT,Italy,Morocco,45,131,45
AF,Italy,United States,102,161,101
V7,Italy,Italy,866,965,857
FR,Italy,Belgium,153,197,151
FR,Italy,United Kingdom,589,733,583
UA,Italy,,17,5,17
TU,Tunisia,Italy,0,7,0
JU,Italy,Turkey,2,34,2
TK,Italy,,0,34,0
FR,Italy,France,289,508,286
AF,Italy,,0,8,0
LX,Italy,,0,20,0
JU,Turkey,Italy,7,6,7
MS,Italy,Egypt,0,48,0
TK,Italy,Lebanon,4,4,4
TK,Turkey,Italy,16,45,16
UG,Italy,Tunisia,0,7,0
AS,United States,United States,0,17,0
AY,Italy,United States,14,34,14
NO,Italy,United States,23,10,23
NO,Italy,Senegal,21,12,21
FR,Italy,Greece,624,921,618
FR,Spain,Italy,433,537,429
TK,Italy,United States,6,5,6
IB,Italy,United States,25,83,25
G3,Brazil,Brazil,0,26,0
LX,Italy,United States,34,76,34
B6,United States,United States,0,20,0
FR,Italy,Hungary,125,196,124
IB,Spain,Italy,69,29,68
W6,Italy,United Arab Emirates,32,140,32
PW,Tanzania,Tanzania,0,2,0
FR,Italy,Austria,176,171,174
IB,Italy,Costa Rica,4,14,4
EK,Italy,,0,6,0
UP,The Bahamas,The Bahamas,0,2,0
WS,Canada,United States,0,0,0
KU,Italy,India,2,2,2
IB,Italy,Dominican Republic,6,14,6
1L,Italy,Turkey,0,0,0
JL,Italy,Japan,0,11,0
1L,Italy,France,0,0,0
FR,United Kingdom,Italy,146,137,145
NP,Egypt,Egypt,0,8,0
AF,Mexico,Italy,8,13,8
LA,Italy,,0,3,0
NO,Italy,Maldives,8,0,8
IB,Italy,Argentina,8,8,8
LO,Poland,Poland,0,3,0
RO,Italy,Turkey,0,3,0
LA,Colombia,Colombia,14,5,14
FR,Italy,Denmark,67,145,66
AZ,Italy,Japan,32,128,32
QR,Italy,,0,25,0
AZ,Italy,Algeria,4,6,4
W4,Italy,United Kingdom,156,155,154
EY,Italy,,2,1,2
UG,Tunisia,Italy,0,1,0
KU,India,Italy,1,4,1
TS,Canada,Italy,0,3,0
OZ,Italy,South Korea,1,1,1
SV,Italy,,0,0,0
FR,Italy,Portugal,256,480,253
MS,Egypt,Italy,0,31,0
1L,Italy,Bulgaria,0,0,0
FI,Italy,United States,5,0,5
AF,United States,Italy,4,1,4
1L,Italy,Austria,0,0,0
SN,Germany,,0,0,0
FR,Italy,Germany,200,264,198
TG,Thailand,Taiwan,0,0,0
FR,Italy,Romania,80,151,79
WE,Thailand,Thailand,1,2,1
BA,Italy,United States,230,251,228
OK,Italy,Czech Republic,0,5,0
SK,Italy,Sweden,14,24,14
FR,Italy,Republic of Ireland,125,172,124
FR,Czech Republic,Italy,21,17,21
IB,Italy,Peru,27,29,27
EK,Italy,Indonesia,16,13,16
CA,Singapore,Italy,0,2,0
HC,Italy,Ivory Coast,0,3,0
IB,Italy,Senegal,1,0,1
LX,Italy,Brazil,3,11,3
FR,France,Italy,58,54,57
LH,Italy,United States,135,203,134
AZ,Tunisia,Italy,9,13,9
AR,Argentina,Argentina,0,10,0
DX,Italy,Italy,0,101,0
SM,Egypt,Italy,22,50,22
LH,Italy,Brazil,17,32,17
QR,Italy,Nepal,0,5,0
TP,Morocco,Italy,1,8,1
FR,Italy,Jordan,16,42,16
CZ,Italy,,0,3,0
ET,Nigeria,Italy,0,2,0
AZ,Italy,Spain,14,115,14
LY,Israel,Italy,1,4,1
LG,Italy,Luxembourg,9,17,9
FR,Italy,Czech Republic,82,136,81
EY,Italy,India,6,9,6
LY,Hungary,Israel,0,1,0
TK,Italy,Indonesia,21,7,21
EY,Italy,Singapore,8,7,8
U2,Portugal,Portugal,6,6,6
FR,Italy,Sweden,54,87,53
TP,Italy,,0,42,0
GF,Italy,India,0,8,0
TU,Italy,Senegal,0,3,0
FR,Italy,Poland,136,163,135
CY,Italy,Lebanon,0,3,0
CZ,France,Thailand,0,3,0
FR,Belgium,Italy,52,55,51
BR,Italy,,0,0,0
EI,Italy,United States,21,7,21
