carrier,origin_country,destination_country,clicks_client,clicks_competitor,clicks_airlines
AZ,Italy,Italy,729,1778,722
FR,Italy,Italy,4506,7239,4461
AZ,Italy,United States,202,1065,200
FR,Italy,Spain,2490,4369,2465
NO,Italy,Egypt,71,79,70
FR,Italy,Morocco,162,335,160
NO,Italy,Spain,18,26,18
LA,Italy,Brazil,36,60,36
AZ,Italy,,0,102,0
FR,Italy,Greece,762,1228,754
SM,Egypt,Italy,19,28,19
NO,Egypt,Italy,26,5,26
IB,Italy,Spain,217,177,215
JU,Italy,Serbia,65,43,64
KL,Italy,United States,57,72,56
KM,Malta,Italy,0,36,0
TP,Italy,United States,30,50,30
LH,Italy,United States,211,157,209
EK,Italy,Mauritius,3,65,3
FR,Italy,Germany,258,350,255
V7,Italy,Italy,1122,1245,1111
TU,Italy,Tunisia,0,103,0
JU,Italy,Turkey,6,19,6
KL,Italy,,21,3,21
UA,Italy,United States,89,49,88
EY,Italy,Maldives,7,27,7
FR,Italy,Austria,209,229,207
NO,Italy,Maldives,2,15,2
AZ,Italy,Tunisia,8,52,8
W6,Italy,Egypt,132,326,131
FR,Italy,United Kingdom,617,770,611
AZ,Tunisia,Italy,3,16,3
LX,Italy,,0,31,0
FR,Italy,France,383,603,379
LH,Italy,,0,70,0
LA,Peru,Peru,8,20,8
TK,Italy,Turkey,114,220,113
AZ,Italy,Morocco,5,22,5
NO,Spain,Italy,4,4,4
KL,Italy,Dominican Republic,24,3,24
DX,Italy,Italy,0,113,0
TP,Italy,Brazil,46,245,46
QR,Italy,,0,15,0
FR,Italy,Malta,451,747,447
BR,Italy,,0,0,0
AF,Italy,United States,109,90,108
NO,Italy,Madagascar,3,3,3
W6,Italy,United Arab Emirates,35,201,35
IB,Italy,United States,43,99,43
NO,Italy,Dominican Republic,11,3,11
TK,Turkey,Italy,15,24,15
TU,Tunisia,Italy,0,14,0
1L,Italy,Germany,0,2,0
IB,Italy,Peru,49,84,49
FR,Italy,Portugal,362,610,358
NO,Italy,Mexico,7,14,7
AT,Morocco,Italy,7,20,7
IB,Portugal,Italy,22,16,22
FR,Spain,Italy,494,487,489
NO,Italy,United States,28,22,28
MH,Malaysia,Italy,0,0,0
FR,Italy,Belgium,179,248,177
TK,Italy,United States,17,6,17
EK,Italy,Indonesia,26,15,26
U2,Italy,Spain,994,201,984
PG,Thailand,Thailand,24,34,24
LA,Colombia,Colombia,19,10,19
NO,Italy,Senegal,18,14,18
UG,Italy,Tunisia,0,11,0
UX,Tunisia,Italy,0,0,0
1L,Italy,Spain,0,0,0
U2,Italy,Italy,2336,272,2313
1L,Italy,France,0,0,0
MS,Italy,Egypt,0,75,0
LY,Italy,Israel,40,12,40
LA,Italy,,0,5,0
IB,Italy,Costa Rica,3,11,3
VS,France,United States,0,2,0
AR,Argentina,Argentina,0,11,0
U2,Portugal,Portugal,11,19,11
4Z,South Africa,South Africa,1,3,1
IB,Spain,Italy,61,36,60
5U,Guatemala,Guatemala,0,3,0
JU,Turkey,Italy,4,2,4
LX,Italy,United States,59,92,58
PW,Tanzania,Tanzania,0,5,0
SM,Italy,Egypt,34,168,34
AZ,United States,Italy,9,12,9
SN,Italy,Guatemala,0,0,0
SP,Portugal,Portugal,2,8,2
B6,United States,United States,0,21,0
1L,France,Italy,0,0,0
UG,Tunisia,Italy,0,0,0
AH,Algeria,France,0,1,0
JU,Serbia,Italy,27,7,27
JL,Spain,Japan,0,0,0
EK,Italy,United States,107,45,106
FR,France,Italy,70,66,69
3U,China,Italy,0,0,0
FJ,Tonga,Vanuatu,0,2,0
VY,Italy,Spain,931,804,922
IB,Italy,,14,11,14
AZ,Italy,Algeria,3,7,3
WY,Italy,Thailand,2,67,2
TK,Italy,,0,35,0
