carrier,origin_country,destination_country,clicks_client,clicks_competitor,clicks_airlines
AZ,Italy,Italy,702,1882,695
FR,Italy,Italy,4950,9003,4901
NO,Italy,Egypt,95,70,94
NO,Italy,Spain,33,34,33
FR,Italy,Spain,2984,6408,2954
FR,Italy,Morocco,154,425,152
W6,Italy,Italy,1257,1368,1245
NO,Italy,United States,25,5,25
LA,Italy,Brazil,9,46,9
TK,Italy,Thailand,24,42,24
DX,Italy,Italy,0,150,0
AZ,Italy,United States,186,995,184
AT,Italy,Morocco,32,118,32
AZ,Italy,Tunisia,4,37,4
AZ,Italy,,0,101,0
TU,Italy,Tunisia,0,77,0
SM,Italy,Egypt,37,259,37
IB,Italy,Spain,210,187,208
AZ,Italy,Morocco,24,57,24
EK,Italy,Indonesia,97,22,96
TK,Italy,United States,8,10,8
W6,Italy,Morocco,43,55,43
JL,Italy,Japan,10,35,10
BA,Italy,United States,251,798,249
W6,Italy,Egypt,240,265,238
EY,Italy,Indonesia,20,62,20
NO,Italy,Mexico,9,8,9
EK,Italy,,0,11,0
TP,Italy,United States,10,27,10
V7,Italy,Italy,904,778,895
W6,Italy,United Arab Emirates,89,86,88
LH,Italy,United States,132,174,131
TK,Slovenia,Indonesia,0,1,0
SM,Egypt,Italy,10,19,10
BA,Italy,Japan,0,2,0
UG,Italy,Tunisia,0,13,0
EK,Slovenia,Indonesia,3,8,3
FR,Italy,Greece,763,1641,755
W6,Italy,Jordan,60,36,59
TK,Italy,,0,38,0
KL,Italy,United States,86,293,85
AZ,United States,Italy,13,23,13
LH,Italy,,0,54,0
UG,Tunisia,Italy,0,3,0
U2,Italy,France,1035,145,1025
FR,Italy,Germany,218,359,216
IB,Italy,United States,13,100,13
FR,Italy,Malta,406,763,402
EY,Italy,Seychelles,28,42,28
AZ,Italy,France,43,96,43
AZ,Tunisia,Italy,0,15,0
QR,Italy,,0,14,0
LA,Peru,Peru,2,4,2
TP,Italy,,0,33,0
KU,Italy,Thailand,6,4,6
H2,Peru,Peru,0,6,0
MS,Italy,Egypt,0,96,0
FR,Italy,Poland,106,200,105
LA,Ecuador,Ecuador,0,1,0
