carrier,origin_country,destination_country,clicks_travix,clicks_competitor,clicks_airlines
AZ,Italy,Italy,746,1363,739
FR,Italy,Italy,4018,6093,3978
AZ,Italy,United States,583,784,577
LA,Italy,Brazil,31,42,31
FR,Italy,Spain,1918,3275,1899
NO,Italy,Egypt,26,47,26
W6,Italy,Hungary,658,559,651
FR,Italy,Morocco,141,274,140
AZ,Italy,Tunisia,14,63,14
SM,Italy,Egypt,39,121,39
AZ,Italy,,0,90,0
FR,Italy,Hungary,73,176,72
V7,Italy,Italy,1055,948,1045
AT,Italy,Morocco,54,147,53
NO,Italy,Spain,7,14,7
KM,Malta,Italy,0,38,0
W6,Hungary,Italy,149,198,148
NO,Italy,United States,15,7,15
IB,Italy,Spain,196,125,194
TK,Italy,Turkey,134,179,133
DX,Italy,Italy,0,87,0
W6,Italy,United Arab Emirates,31,105,31
TU,France,Tunisia,0,14,0
FR,Italy,Greece,596,1041,590
SM,Egypt,Italy,3,34,3
AZ,Egypt,Italy,5,15,5
MS,Italy,Kenya,0,11,0
AT,Italy,,0,7,0
MS,Italy,Egypt,7,61,7
KL,Italy,United States,38,131,38
JU,Turkey,Italy,5,5,5
TU,Italy,Tunisia,0,63,0
AT,Morocco,Italy,6,14,6
EY,Malaysia,Italy,4,1,4
NO,Egypt,Italy,18,14,18
NO,Italy,Mexico,6,12,6
QR,Italy,,0,18,0
W6,Italy,Egypt,127,219,126
1L,Italy,United Kingdom,0,0,0
1L,Italy,Spain,0,0,0
FR,Italy,France,300,432,297
LY,Italy,Israel,18,2,18
UA,Italy,United States,72,42,71
TU,Tunisia,Italy,0,14,0
JU,Italy,Turkey,10,47,10
1L,Italy,Italy,0,0,0
W4,Italy,Italy,1301,1475,1288
EY,Thailand,Italy,2,6,2
AZ,Tunisia,Italy,8,6,8
NO,Italy,Madagascar,0,0,0
NO,Italy,Senegal,14,16,14
UX,Spain,Spain,7,17,7
UG,Tunisia,Italy,0,10,0
FR,United Kingdom,Italy,117,111,116
B6,United States,United States,0,35,0
MU,Italy,,0,6,0
TC,Tanzania,Tanzania,0,4,0
WF,Norway,Norway,0,12,0
UG,Tunisia,Tunisia,0,0,0
JU,Italy,Egypt,0,11,0
FR,Italy,Jordan,16,49,16
W6,Italy,Jordan,54,49,53
MU,Italy,Indonesia,0,10,0
EK,Slovenia,Indonesia,0,1,0
U2,Italy,Italy,1629,182,1613
PK,Pakistan,Saudi Arabia,2,0,2
KU,Italy,Philippines,3,15,3
NO,Dominican Republic,Italy,7,1,7
TG,Thailand,Thailand,4,6,4
IB,Spain,Italy,61,34,60
EY,Italy,Philippines,2,38,2
AI,United Arab Emirates,India,0,5,0
EK,United States,Italy,1,3,1
AV,Colombia,Colombia,5,12,5
KL,Italy,Dominican Republic,6,13,6
EY,Italy,Thailand,25,59,25
EK,Italy,,0,8,0
KL,United States,Italy,4,0,4
V7,Italy,France,89,73,88
TK,Italy,Egypt,7,15,7
1L,Italy,Czech Republic,0,0,0
ET,Cameroon,Italy,0,0,0
AF,Italy,,2,35,2
LG,Luxembourg,Italy,5,0,5
WJ,Argentina,Argentina,0,1,0
FR,Italy,Austria,125,165,124
NT,Spain,Spain,0,8,0
LY,Israel,Italy,6,1,6
QR,Italy,Vietnam,8,26,8
TP,Italy,,0,16,0
FR,Italy,United Kingdom,410,547,406
IB,Italy,Argentina,13,2,13
NO,Italy,Dominican Republic,9,13,9
EI,Italy,United States,7,8,7
AH,Italy,Algeria,0,2,0
NP,Egypt,Egypt,0,2,0
PW,Tanzania,Tanzania,0,4,0
CY,Italy,Egypt,0,3,0
TK,Turkey,Italy,16,25,16
OS,Moldova,Italy,0,0,0
UX,Spain,Italy,8,21,8
FR,Italy,Malta,325,520,322
FR,Italy,Croatia,76,201,75
MK,Mauritius,Italy,0,5,0
AZ,Italy,Japan,53,159,52
FR,Portugal,Italy,67,84,66
LH,Italy,Brazil,6,31,6
IB,Spain,Vietnam,0,0,0
AZ,Italy,Morocco,20,47,20
