carrier,origin_country,destination_country,clicks_travix,clicks_competitor,clicks_airlines
AZ,Italy,Italy,775,1705,767
FR,Italy,Italy,4666,6819,4620
NO,Italy,Egypt,22,44,22
AZ,Italy,United States,560,917,554
FR,Italy,Spain,2407,3637,2383
NO,Spain,Italy,1,8,1
LA,Italy,Brazil,29,26,29
FR,Italy,Morocco,212,376,210
AZ,Italy,,0,143,0
AZ,Italy,Tunisia,12,52,12
AZ,Italy,Morocco,9,30,9
NO,Italy,Spain,7,13,7
AT,Morocco,Italy,21,29,21
V7,Italy,Italy,1238,1015,1226
IB,Italy,Spain,165,151,163
JU,Turkey,Italy,11,21,11
AT,Italy,Morocco,59,165,58
W6,Italy,Egypt,166,294,164
AZ,Egypt,Italy,3,45,3
IB,Spain,Italy,67,40,66
OK,Egypt,Czech Republic,0,7,0
TU,Italy,Tunisia,0,107,0
TU,Tunisia,Italy,0,16,0
1L,Italy,Spain,0,0,0
W6,Italy,United Arab Emirates,53,131,52
KM,Malta,Italy,0,27,0
FR,Italy,Greece,732,987,725
JU,Italy,Serbia,52,48,51
FR,Italy,Austria,150,191,149
W6,Italy,Jordan,77,46,76
TK,Italy,,0,18,0
SM,Egypt,Italy,11,30,11
UX,Spain,Spain,9,6,9
1L,Italy,United Kingdom,0,0,0
KL,Italy,United States,41,189,41
TK,Italy,Turkey,137,306,136
NO,Italy,United States,7,3,7
QR,Italy,,0,16,0
TP,Italy,United States,31,50,31
1L,Italy,Hungary,0,0,0
LH,Italy,,0,42,0
KL,Italy,Dominican Republic,5,27,5
SP,Portugal,Portugal,1,12,1
FR,Italy,Malta,369,628,365
KU,Italy,Philippines,1,12,1
LX,Italy,United States,37,36,37
EI,Italy,United States,16,5,16
NO,Italy,Maldives,3,3,3
W4,Italy,United Kingdom,249,234,247
JU,Italy,Turkey,8,54,8
BA,Italy,,10,19,10
IB,Italy,Colombia,10,17,10
BR,Philippines,Italy,0,2,0
FR,Italy,United Kingdom,443,572,439
NO,Italy,Dominican Republic,28,21,28
FR,Italy,Germany,215,339,213
LX,Italy,,0,12,0
NP,Egypt,Egypt,0,8,0
GQ,Greece,Greece,23,39,23
AZ,Tunisia,Italy,2,8,2
FR,Italy,Hungary,115,195,114
FR,Italy,France,334,460,331
B6,United States,United States,0,28,0
FR,Romania,Italy,28,39,28
HC,Senegal,Italy,0,1,0
TP,Portugal,Portugal,5,4,5
FR,Spain,Italy,505,447,500
MU,Italy,Japan,0,27,0
IB,Spain,Spain,20,29,20
KQ,South Africa,Costa Rica,0,0,0
FR,Italy,Denmark,94,145,93
AS,United States,United States,0,12,0
IB,Portugal,Italy,2,4,2
SM,Italy,Egypt,18,143,18
U2,Italy,Italy,1910,210,1891
AV,Colombia,Colombia,11,16,11
AY,Italy,United States,15,54,15
BA,United Kingdom,Morocco,1,1,1
JU,Italy,Egypt,0,9,0
LA,Italy,Chile,12,30,12
UG,Tunisia,Italy,0,8,0
BA,Italy,Brazil,1,2,1
KL,Italy,,18,56,18
EK,Italy,Mauritius,0,48,0
FR,Italy,Portugal,244,399,242
LH,Italy,United States,116,124,115
AR,Italy,Argentina,0,49,0
W4,Italy,Spain,687,997,680
TG,Thailand,Thailand,7,3,7
BA,Italy,United States,287,270,284
FR,Italy,Sweden,47,71,47
AF,Italy,United States,98,388,97
OB,Bolivia,France,0,6,0
TU,France,Tunisia,0,11,0
AF,Italy,,1,64,1
B6,Netherlands,United States,0,0,0
MS,Egypt,Egypt,0,24,0
UP,United States,The Bahamas,0,0,0
IB,Italy,Senegal,8,13,8
QR,United Kingdom,Pakistan,0,2,0
EY,Italy,Indonesia,37,42,37
W4,Italy,Italy,1509,1761,1494
MS,Italy,Kenya,0,14,0
SK,Italy,,3,6,3
LY,Italy,Israel,19,9,19
LO,Italy,Turkey,0,3,0
PW,Tanzania,Tanzania,0,2,0
W6,Italy,Poland,57,59,56
MS,Spain,Egypt,0,1,0
W6,Italy,France,93,133,92
TK,Kuwait,Italy,0,0,0
EY,Italy,Thailand,7,49,7
BA,Chile,Italy,5,0,5
EY,Italy,Pakistan,0,3,0
TC,Tanzania,Tanzania,0,5,0
TK,Egypt,Italy,0,0,0
NO,Egypt,Italy,20,18,20
TP,Italy,Brazil,44,123,44
FR,Denmark,Italy,32,39,32
WY,India,Italy,1,2,1
PD,Canada,United States,4,3,4
G3,Brazil,Brazil,0,21,0
IB,Italy,Peru,19,22,19
MH,Malaysia,Malaysia,3,2,3
IB,Italy,United States,14,36,14
AT,France,Morocco,2,6,2
NO,Italy,Senegal,7,13,7
CZ,China,Italy,0,0,0
1L,Italy,France,0,0,0
PC,Turkey,Turkey,0,6,0
Z2,Philippines,Taiwan,0,5,0
VN,Thailand,Vietnam,0,2,0
FR,Czech Republic,Italy,32,34,32
QF,Australia,Australia,7,2,7
W6,Czech Republic,Italy,17,30,17
KU,Italy,Thailand,0,6,0
U2,Italy,Spain,976,188,966
RJ,United Arab Emirates,Italy,0,0,0
SK,Italy,United States,13,31,13
AT,Italy,,0,8,0
EY,Austria,Thailand,2,0,2
IB,Italy,,5,6,5
NT,Portugal,Portugal,0,1,0
FR,Italy,Croatia,101,218,100
LG,Italy,Luxembourg,9,3,9
FR,Germany,Italy,81,100,80
LA,Argentina,Chile,1,3,1
EY,Italy,,14,6,14
EK,Italy,Pakistan,0,3,0
FI,Italy,United States,0,1,0
RO,Romania,Lebanon,0,2,0
CY,Italy,Egypt,0,1,0
AZ,Italy,India,11,32,11
FR,Poland,Italy,35,40,35
TU,Austria,Tunisia,0,0,0
EK,Philippines,Italy,0,0,0
SQ,Spain,Italy,2,5,2
UA,Italy,,11,9,11
LA,Peru,,0,1,0
SV,Saudi Arabia,Saudi Arabia,0,0,0
ET,Italy,,0,6,0
EK,Italy,Australia,10,11,10
BA,United Kingdom,Bangladesh,1,1,1
BJ,France,Tunisia,4,4,4
NO,Dominican Republic,Italy,2,1,2
IB,Italy,Mexico,18,23,18
TW,Taiwan,South Korea,0,5,0
TK,Kuwait,Moldova,0,0,0
FD,Thailand,Thailand,0,45,0
AF,Italy,Panama,3,2,3
GF,Italy,,0,0,0
EK,Italy,Indonesia,18,5,18
EK,Italy,,0,15,0
AZ,Italy,Israel,0,2,0
EK,Italy,Japan,11,16,11
NO,Italy,Mexico,5,9,5
FR,Spain,Spain,66,60,65
ET,South Africa,Israel,0,0,0
WS,Canada,Canada,1,3,1
TK,Turkey,Italy,16,29,16
S4,Portugal,Portugal,2,1,2
JU,Hungary,,0,0,0
HA,United States,United States,0,14,0
HY,Italy,,0,0,0
LX,Serbia,Italy,0,0,0
WY,Saudi Arabia,,0,1,0
1L,Italy,Bulgaria,0,0,0
UX,Italy,Spain,10,45,10
RO,Romania,Moldova,0,2,0
ET,Benin,United Arab Emirates,1,0,1
5U,Guatemala,El Salvador,0,2,0
TK,Italy,Australia,0,20,0
QH,Vietnam,Singapore,0,0,0
AZ,Italy,Belgium,16,70,16
SV,Philippines,Italy,0,0,0
EY,Germany,Sri Lanka,0,0,0
FR,Sweden,Hungary,1,0,1
WY,Italy,Malaysia,0,5,0
TK,France,Turkey,4,10,4
PG,Thailand,Thailand,27,29,27
AT,Morocco,Spain,0,0,0
MU,Italy,Australia,0,14,0
QR,Qatar,Saudi Arabia,1,0,1
W6,Italy,Serbia,16,17,16
TK,Turkey,Israel,0,0,0
W6,Italy,Greece,268,384,265
KM,Switzerland,Malta,0,3,0
AZ,Italy,Panama,0,2,0
QF,Italy,Australia,0,5,0
MS,Italy,Egypt,0,48,0
FR,Republic of Ireland,Italy,21,28,21
JU,Slovenia,Bosnia and Herzegovina,0,0,0
W6,Italy,Czech Republic,115,162,114
W6,United Arab Emirates,Italy,2,13,2
TK,Switzerland,Turkey,0,4,0
VY,Italy,France,263,75,260
FR,Italy,Jordan,19,37,19
AF,Italy,El Salvador,0,0,0
MS,Italy,Japan,0,0,0
EK,Malaysia,Italy,0,4,0
FR,Belgium,Italy,36,65,36
LH,Italy,Germany,116,260,115
LO,Poland,Netherlands,1,2,1
SK,Italy,Denmark,13,31,13
CX,Italy,Japan,2,5,2
IB,Switzerland,Senegal,0,1,0
BR,Italy,,0,0,0
UA,Italy,United States,49,45,49
MU,Singapore,United Kingdom,0,3,0
WY,Italy,New Zealand,0,1,0
IB,Italy,Portugal,3,21,3
EY,Japan,Italy,0,1,0
KL,Italy,El Salvador,0,0,0
AY,Italy,,0,3,0
W4,United Kingdom,Italy,73,35,72
