carrier,origin_country,destination_country,clicks_travix,clicks_competitor,clicks_airlines
AZ,Italy,Italy,449,1074,445
FR,Italy,Italy,3591,5554,3555
NO,Italy,Egypt,59,43,58
AZ,Italy,Morocco,22,79,22
NO,Italy,Spain,22,23,22
LA,Italy,Brazil,7,54,7
AZ,Italy,United States,165,817,163
FR,Italy,Spain,1970,3470,1950
FR,Italy,Morocco,107,239,106
W6,Italy,Egypt,189,180,187
AZ,Italy,,0,149,0
KU,Italy,Philippines,3,22,3
W6,Italy,United Arab Emirates,84,107,83
AT,Italy,Morocco,18,58,18
NO,Italy,United States,14,2,14
LH,Italy,United States,82,161,81
NO,Egypt,Italy,19,9,19
TU,France,Tunisia,0,7,0
AZ,Italy,Tunisia,5,51,5
TK,Italy,Turkey,117,250,116
AT,Morocco,Italy,4,14,4
W6,Italy,Italy,476,638,471
IB,Italy,Spain,166,130,164
EK,Italy,Indonesia,26,24,26
MS,Italy,Egypt,0,79,0
LA,Colombia,Colombia,6,6,6
SM,Egypt,Italy,15,52,15
JU,Italy,Turkey,2,9,2
TP,Italy,United States,9,21,9
QR,Italy,Australia,10,18,10
IB,Spain,Italy,45,23,45
LA,Peru,Peru,2,11,2
TK,Italy,,0,12,0
NO,Italy,Maldives,13,3,13
FR,Italy,Denmark,113,172,112
FR,Spain,Italy,278,296,275
LX,Italy,,0,20,0
TK,Italy,South Korea,3,14,3
BA,Italy,United States,174,368,172
AM,Mexico,Mexico,0,25,0
TK,Italy,United States,15,7,15
LH,Italy,,0,44,0
TU,Italy,Tunisia,0,52,0
FR,Italy,Belgium,158,200,156
SM,Italy,Egypt,17,157,17
U2,Italy,Spain,837,126,829
GF,Italy,,0,4,0
NO,Italy,Dominican Republic,6,0,6
CA,Thailand,Italy,0,4,0
LX,Italy,United States,17,77,17
LA,Brazil,Italy,8,69,8
FR,Italy,Jordan,20,36,20
KL,Italy,Dominican Republic,6,26,6
V7,Italy,Italy,670,570,663
W6,Italy,Morocco,5,34,5
AZ,United States,Italy,5,7,5
FR,Italy,United Kingdom,390,537,386
TU,Tunisia,Italy,0,8,0
EY,Thailand,Italy,5,7,5
LH,Germany,,0,0,0
QR,Italy,,0,17,0
KL,Italy,United States,49,215,49
UG,Italy,Tunisia,0,1,0
AC,Italy,Canada,13,75,13
KM,Malta,Italy,0,15,0
FR,Italy,Hungary,93,156,92
FR,Italy,Greece,529,1094,524
LG,Italy,Luxembourg,6,15,6
LH,Mexico,Italy,3,0,3
FR,Italy,Poland,65,98,64
JU,Italy,Egypt,0,19,0
6E,India,India,17,8,17
AI,United Kingdom,India,0,5,0
SK,Italy,Iceland,2,5,2
FR,Italy,Austria,156,179,154
LH,Sint Maarten,Colombia,0,0,0
IB,Italy,Portugal,7,16,7
WY,Italy,,0,1,0
KU,Italy,India,0,5,0
ET,Italy,Kenya,5,18,5
A3,Italy,Turkey,0,1,0
NO,United States,Italy,4,0,4
JU,Italy,Serbia,9,15,9
AZ,Italy,Algeria,2,1,2
AZ,Italy,India,1,15,1
FR,Italy,France,371,589,367
AF,Italy,Nicaragua,0,3,0
NE,Saudi Arabia,Egypt,0,0,0
LH,Germany,Italy,29,48,29
AF,Italy,Mexico,6,17,6
TK,Italy,Indonesia,20,22,20
TK,Italy,Nigeria,0,4,0
AF,Italy,France,149,101,148
AZ,Italy,Seychelles,0,0,0
AY,Italy,United States,28,267,28
TK,Italy,Mauritius,3,3,3
FR,Italy,Sweden,34,81,34
JU,Turkey,Italy,4,2,4
FR,United Kingdom,United Kingdom,2,5,2
VA,Australia,Australia,7,1,7
KM,France,Malta,0,1,0
GQ,Greece,Greece,0,26,0
VY,Italy,Brazil,0,3,0
AY,Italy,,0,5,0
FR,Italy,Malta,271,360,268
FR,Belgium,Italy,27,46,27
EY,Italy,Japan,12,4,12
NH,Italy,Japan,0,21,0
AR,Italy,Argentina,0,106,0
VS,France,,0,0,0
ER,United Arab Emirates,Pakistan,0,0,0
KL,United States,Italy,6,6,6
QR,Singapore,Italy,2,8,2
AZ,Italy,Mexico,0,45,0
IB,Spain,Switzerland,2,0,2
NO,Italy,Senegal,13,5,13
AZ,Italy,Dominican Republic,0,7,0
AC,Italy,,0,19,0
A3,Italy,Egypt,3,22,3
KL,Italy,,13,28,13
LH,Italy,Brazil,21,30,21
PR,China,Philippines,0,0,0
W6,Italy,Austria,29,53,29
AZ,Italy,France,19,60,19
HF,Nigeria,Niger,0,2,0
FD,Thailand,Cambodia,0,19,0
AR,Argentina,Argentina,0,10,0
AZ,United States,United States,0,0,0
MS,Italy,Kenya,0,4,0
WY,Italy,Australia,0,6,0
KU,Germany,Philippines,0,2,0
U2,Italy,Portugal,206,37,204
BA,Sint Maarten,United States,0,0,0
AI,Italy,India,0,48,0
RO,Egypt,Romania,0,0,0
QR,Italy,Indonesia,24,54,24
AZ,Morocco,Italy,0,2,0
SK,Italy,Denmark,5,22,5
BA,Mexico,Italy,1,1,1
EY,Italy,,0,4,0
AZ,Italy,Bangladesh,0,0,0
KU,Italy,Malaysia,1,0,1
TK,Italy,Bangladesh,1,4,1
EK,Italy,United States,66,14,65
LH,Argentina,Italy,0,1,0
BA,Switzerland,United States,1,1,1
EY,Germany,India,0,0,0
MH,Malaysia,Malaysia,4,5,4
FR,Italy,Slovakia,6,8,6
QR,Italy,Thailand,19,26,19
ER,Pakistan,United Arab Emirates,0,0,0
FR,Portugal,Italy,57,84,56
LH,Italy,Germany,105,179,104
AF,Mexico,Italy,2,1,2
EW,Germany,Italy,53,22,52
ER,Pakistan,Pakistan,0,0,0
W6,Italy,Jordan,55,40,54
AM,Mexico,Canada,0,0,0
OS,Italy,Canada,0,3,0
KE,South Korea,,0,2,0
V7,Greece,Greece,10,3,10
IB,Italy,Colombia,14,14,14
EY,Spain,India,3,1,3
QR,Italy,Malaysia,3,19,3
MS,Italy,,0,1,0
KE,South Korea,South Korea,0,2,0
NO,Spain,Italy,4,0,4
SK,Italy,Norway,2,18,2
SV,Italy,,0,1,0
U2,Portugal,Germany,4,1,4
QR,Italy,India,0,1,0
NZ,Japan,French Polynesia,0,6,0
BA,United States,Turks and Caicos Islands,0,0,0
TK,Italy,Niger,0,0,0
W6,Italy,Czech Republic,69,71,68
TG,Thailand,Thailand,5,9,5
IB,France,Chile,2,5,2
AZ,Algeria,Italy,0,0,0
EK,Italy,Australia,8,18,8
FZ,Italy,Pakistan,1,2,1
AZ,Italy,Germany,12,42,12
4Z,South Africa,South Africa,3,2,3
BR,Japan,Italy,0,0,0
HY,Uzbekistan,Uzbekistan,0,0,0
EY,Italy,Indonesia,36,43,36
LO,Italy,Egypt,0,4,0
LH,United States,Mexico,0,0,0
CA,Australia,Italy,0,0,0
