carrier,origin_country,destination_country,clicks_client,clicks_competitor,clicks_airlines
AZ,Italy,Italy,523,1086,518
FR,Italy,Italy,2947,4405,2918
AZ,Italy,United States,545,737,540
NO,Italy,Spain,9,22,9
NO,Italy,Egypt,13,32,13
FR,Italy,Spain,1453,2458,1439
V7,Italy,Italy,911,649,902
FR,Italy,Morocco,122,217,121
U2,Italy,Spain,695,154,688
TK,Italy,Turkey,148,371,147
LA,Italy,Brazil,25,48,25
SM,Egypt,Italy,12,28,12
AZ,Italy,Tunisia,12,42,12
KL,Italy,United States,36,154,36
LH,Italy,United States,106,105,105
JU,Turkey,Italy,7,13,7
TG,Thailand,Thailand,8,5,8
DX,Italy,Italy,0,113,0
SM,Italy,Egypt,18,72,18
W6,Italy,Egypt,137,143,136
BA,United States,United States,0,1,0
FR,Italy,Greece,604,860,598
1L,Italy,Spain,0,0,0
FR,Italy,France,283,394,280
MS,Italy,Egypt,5,31,5
KL,Italy,,9,24,9
BA,Italy,United States,147,179,146
AZ,Italy,Egypt,11,56,11
AF,Italy,,0,17,0
NO,Italy,United States,11,2,11
AT,Morocco,Italy,7,15,7
W6,Italy,Jordan,33,49,33
NO,Italy,Madagascar,1,4,1
AZ,Italy,Morocco,8,104,8
JU,Italy,Turkey,15,34,15
IB,Italy,Spain,140,95,139
W6,Italy,United Arab Emirates,26,81,26
TU,Italy,Tunisia,0,68,0
AZ,United States,Mexico,0,0,0
AZ,Italy,Algeria,1,15,1
BA,Italy,,7,16,7
NP,Egypt,Egypt,0,4,0
FR,Spain,Italy,282,362,279
AZ,United States,Italy,10,13,10
W6,Italy,Hungary,138,209,137
LH,United States,United States,0,1,0
AZ,Italy,,3,42,3
PC,Italy,Turkey,94,147,93
1L,Italy,France,0,0,0
AS,United States,United States,0,6,0
AT,Italy,Togo,0,9,0
G3,Brazil,Brazil,0,19,0
NO,Italy,Senegal,2,4,2
LX,Italy,United States,28,40,28
AT,Italy,Morocco,37,109,37
MU,Japan,Italy,0,9,0
KM,Malta,Italy,0,46,0
FR,Italy,Germany,177,228,175
AZ,United States,United States,0,0,0
AI,United Kingdom,India,0,0,0
FR,Italy,Portugal,193,310,191
PD,Canada,Canada,5,0,5
AZ,Italy,Switzerland,5,22,5
JU,Serbia,Italy,1,3,1
FR,Italy,Austria,130,162,129
IB,Spain,Italy,50,26,50
AZ,Albania,,0,0,0
QR,Italy,Thailand,28,60,28
AV,Colombia,Colombia,8,12,8
LH,Italy,Brazil,12,16,12
BR,Indonesia,Italy,0,7,0
SP,Portugal,Portugal,1,4,1
FR,Italy,Malta,265,427,262
AZ,Tunisia,Italy,1,2,1
TK,Turkey,Italy,7,60,7
LA,Peru,Peru,0,6,0
MS,Egypt,Egypt,6,4,6
WE,Thailand,Thailand,0,6,0
HA,United States,United States,0,1,0
TS,Italy,,0,3,0
V7,Italy,Greece,548,272,543
AR,Argentina,Argentina,0,7,0
CA,China,Italy,0,4,0
JU,Italy,Serbia,24,13,24
AI,India,India,0,1,0
AC,Canada,United States,1,1,1
IB,Italy,Chile,4,12,4
IB,Italy,Senegal,4,11,4
KM,Belgium,Italy,0,2,0
TC,Tanzania,Tanzania,0,2,0
NO,Italy,Mexico,8,7,8
TK,Italy,,0,10,0
TP,Italy,,0,25,0
IB,Italy,United States,8,26,8
TK,Italy,Egypt,4,12,4
B6,United States,United States,0,17,0
RJ,Italy,,0,0,0
AZ,United States,Dominican Republic,0,0,0
FR,Netherlands,Italy,15,35,15
SK,Italy,United States,8,23,8
S4,Portugal,Portugal,1,1,1
AZ,Italy,Spain,186,83,184
FR,Italy,Denmark,88,97,87
AZ,Italy,Colombia,0,7,0
AF,Italy,Mexico,12,2,12
QR,Italy,,0,3,0
1L,Italy,United Kingdom,0,0,0
FR,Italy,Poland,59,122,58
W6,Italy,France,66,75,65
LH,Italy,,0,26,0
MH,Malaysia,Malaysia,7,8,7
1L,Italy,Greece,0,0,0
W6,Italy,Poland,37,35,37
BA,United Kingdom,,0,2,0
ET,Nigeria,Italy,1,2,1
TU,Tunisia,Italy,0,7,0
RO,Romania,Romania,0,3,0
TK,Pakistan,Italy,0,1,0
SV,Italy,Indonesia,1,3,1
BA,France,,0,2,0
EI,Italy,United States,7,13,7
NO,Italy,Canada,2,0,2
VA,Australia,Indonesia,2,0,2
UG,Tunisia,Italy,0,0,0
1L,United Kingdom,Italy,0,0,0
EY,Italy,Indonesia,22,59,22
EK,Italy,United States,47,14,47
W6,United Arab Emirates,Italy,6,12,6
MU,Italy,Japan,0,47,0
AZ,Italy,Argentina,11,44,11
GF,Italy,Pakistan,0,3,0
4Z,South Africa,South Africa,4,1,4
CI,Vietnam,Italy,0,0,0
UX,Italy,Spain,11,11,11
TP,Italy,Brazil,16,78,16
ET,Switzerland,Nigeria,0,2,0
W6,Poland,Italy,16,20,16
EY,Singapore,United Kingdom,0,0,0
EK,Italy,,0,3,0
FR,Hungary,Italy,18,25,18
QR,United Kingdom,Nepal,0,0,0
LO,Poland,South Korea,0,5,0
AC,Italy,Martinique,0,3,0
JL,Italy,Japan,0,5,0
FR,Italy,Netherlands,39,62,39
SV,Italy,Kenya,2,4,2
NO,United States,Italy,4,0,4
UG,Tunisia,Tunisia,0,0,0
1L,Spain,Italy,0,0,0
U2,Italy,Netherlands,241,48,239
HY,Uzbekistan,Uzbekistan,0,4,0
FR,France,Italy,49,42,49
SN,Italy,United States,1,16,1
1L,Greece,Italy,0,0,0
AZ,Italy,Philippines,0,4,0
3U,China,Italy,0,3,0
KU,Italy,India,1,0,1
MS,Italy,Kenya,0,5,0
BA,United States,The Bahamas,0,0,0
AT,Italy,Nigeria,0,1,0
FZ,United Arab Emirates,Italy,0,1,0
TP,Italy,United States,18,63,18
AY,Italy,United States,10,35,10
AZ,Italy,Mexico,0,8,0
SN,Italy,,0,4,0
AZ,United States,Argentina,0,0,0
KL,Jamaica,Italy,0,0,0
KU,Italy,Thailand,1,9,1
PC,Romania,Turkey,1,5,1
BT,Italy,Latvia,2,6,2
TU,Belgium,Tunisia,0,0,0
AZ,Netherlands,Mexico,0,0,0
UX,Spain,,0,0,0
V7,Italy,France,84,43,83
KU,Italy,Philippines,4,5,4
EI,Republic of Ireland,,0,0,0
QR,Kenya,Italy,1,0,1
AZ,Egypt,United States,0,0,0
FR,Portugal,Portugal,13,0,13
TU,France,Tunisia,0,3,0
AC,Italy,,0,2,0
LH,Germany,,0,0,0
OD,Australia,Indonesia,0,0,0
AZ,Egypt,Italy,0,6,0
KM,Italy,Germany,0,4,0
TK,Turkey,,0,0,0
CL,Italy,United States,0,0,0
AF,Italy,Costa Rica,0,10,0
NH,Italy,Japan,0,7,0
IB,Spain,Morocco,0,0,0
AC,Guatemala,Italy,0,0,0
AZ,Mexico,Italy,0,0,0
IB,Italy,Dominican Republic,9,19,9
QR,Italy,Cambodia,0,0,0
CZ,Germany,South Korea,0,0,0
1L,Italy,Italy,0,0,0
MS,Germany,,0,0,0
BA,Italy,The Bahamas,2,0,2
SQ,Romania,Vietnam,0,2,0
AF,French Polynesia,United States,0,0,0
LH,Italy,Mexico,1,10,1
FR,Republic of Ireland,Italy,21,19,21
FR,Italy,United Kingdom,339,435,336
TK,Italy,Oman,3,4,3
FR,Italy,Lithuania,10,20,10
QR,Germany,,0,0,0
1L,Italy,Hungary,0,0,0
JU,Italy,Israel,0,0,0
HY,Italy,Uzbekistan,0,13,0
FR,Italy,Belgium,97,138,96
TS,Italy,Canada,53,24,52
AM,United States,,0,0,0
RJ,United Arab Emirates,Jordan,0,0,0
EK,Hong Kong,Italy,0,0,0
JZ,Peru,Peru,0,9,0
LX,Italy,,0,14,0
B6,United States,Dominican Republic,0,3,0
LH,United Kingdom,Morocco,1,1,1
EY,Italy,Japan,15,24,15
WY,Italy,Malaysia,0,3,0
UG,Italy,Tunisia,0,6,0
QR,Italy,Oman,0,5,0
OU,Croatia,Croatia,0,1,0
BA,Greece,,0,0,0
IB,Spain,United Kingdom,0,0,0
UP,The Bahamas,The Bahamas,0,0,0
TP,Portugal,Italy,17,15,17
MH,Italy,Malaysia,0,3,0
LO,Italy,Turkey,0,1,0
CZ,Italy,Vietnam,1,2,1
FR,Malta,Portugal,0,0,0
BA,United States,Mexico,0,0,0
LA,Colombia,Colombia,16,5,16
FR,Italy,Croatia,67,121,66
FR,Italy,Czech Republic,71,113,70
JU,Montenegro,Serbia,0,0,0
UX,Spain,Spain,10,5,10
LO,Italy,United States,0,5,0
GF,India,Italy,0,2,0
KL,Italy,Dominican Republic,3,11,3
U2,Italy,Egypt,89,24,88
SK,Italy,Denmark,7,24,7
1L,Germany,Italy,0,0,0
A3,Armenia,Italy,0,0,0
EY,Italy,Thailand,9,40,9
AZ,Greece,,0,0,0
LH,Switzerland,United States,0,0,0
AZ,Italy,Jordan,0,14,0
LH,Italy,Germany,53,120,52
MS,Egypt,Italy,1,41,1
UX,Spain,Italy,6,7,6
MU,Italy,Indonesia,0,22,0
MU,Italy,Australia,0,21,0
P0,Zambia,Zambia,1,8,1
TK,Azerbaijan,Italy,1,0,1
TU,Tunisia,Spain,0,1,0
PR,Philippines,Vietnam,0,0,0
EN,Italy,,0,1,0
FR,Germany,Italy,47,74,47
PK,United Arab Emirates,Pakistan,0,0,0
NO,Egypt,Italy,17,4,17
FR,Italy,Jordan,21,27,21
IB,Italy,Peru,22,19,22
ET,Republic of the Congo,United Arab Emirates,0,0,0
QF,Australia,Australia,9,0,9
FR,Poland,Italy,22,31,22
IB,France,Spain,6,2,6
W4,Italy,United Kingdom,153,152,151
NO,Italy,Maldives,1,3,1
ET,Mozambique,Italy,0,0,0
FR,Italy,Bulgaria,32,69,32
FR,Italy,Norway,13,43,13
KM,Spain,Italy,0,1,0
FR,Spain,Portugal,4,2,4
DE,Canada,Italy,2,0,2
BA,United States,,0,0,0
MU,United Kingdom,,0,1,0
BR,Italy,Cambodia,0,2,0
IB,Spain,Peru,3,0,3
FR,Italy,Sweden,43,61,43
AZ,Italy,Sweden,0,0,0
VR,Portugal,Cape Verde,0,2,0
EK,Italy,Indonesia,9,4,9
BR,Australia,Italy,0,0,0
LA,Argentina,Peru,1,0,1
AZ,Italy,Aruba,0,2,0
