carrier,origin_country,destination_country,clicks_client,clicks_competitor,clicks_airlines
OS,Italy,,0,2,0
UX,Spain,Portugal,1,3,1
TK,Italy,Qatar,0,1,0
TK,Italy,Philippines,4,7,4
Z8,Bolivia,Bolivia,0,0,0
AZ,Italy,Maldives,1,11,1
TU,France,,0,0,0
W6,Italy,Republic of Macedonia,7,26,7
NH,Italy,Japan,3,11,3
H8,Peru,United States,0,0,0
LA,Peru,Costa Rica,0,2,0
TS,Canada,Mexico,0,8,0
IB,Argentina,Italy,0,3,0
1L,Italy,Germany,0,0,0
LH,Spain,Germany,2,1,2
RJ,Thailand,Italy,0,0,0
W6,Spain,Italy,58,120,57
U2,Spain,Italy,165,28,163
SQ,Spain,Italy,4,0,4
AZ,Mexico,United States,0,0,0
FR,Italy,Denmark,155,270,153
NO,Canada,Italy,4,1,4
TK,Italy,Egypt,9,22,9
QR,Italy,Australia,5,20,5
BA,Belgium,Pakistan,0,0,0
LH,Albania,China,0,1,0
NZ,Italy,,0,0,0
W6,Italy,United Kingdom,206,352,204
IB,Italy,Portugal,7,8,7
UX,Italy,United States,3,4,3
AM,Mexico,Italy,0,4,0
KU,United Kingdom,Kuwait,1,2,1
EK,Italy,Australia,23,17,23
QR,Italy,Philippines,0,15,0
AT,Morocco,Italy,21,56,21
LH,Italy,Luxembourg,3,3,3
LH,United States,Aruba,0,0,0
TK,Italy,Thailand,13,12,13
AZ,Italy,Australia,0,11,0
TP,Italy,,0,41,0
LH,Nigeria,Italy,1,0,1
LH,Pakistan,Italy,0,0,0
VS,United Kingdom,United States,5,3,5
BA,Mexico,United States,0,1,0
QR,Austria,Kenya,0,0,0
EN,Italy,Aruba,0,1,0
LA,Paraguay,Italy,0,3,0
W6,United Arab Emirates,Italy,11,38,11
EW,Italy,Italy,0,0,0
U2,Italy,Italy,1689,193,1672
IV,France,Republic of Kosovo,0,0,0
FR,Morocco,Italy,37,56,37
EY,Italy,Maldives,1,4,1
LH,United States,Italy,5,10,5
OS,Italy,Austria,66,132,65
AF,Italy,Belize,0,0,0
RO,Moldova,Netherlands,0,3,0
QR,Switzerland,Indonesia,0,13,0
FR,Republic of Ireland,Italy,39,37,39
FR,Portugal,Portugal,7,10,7
QR,Indonesia,Namibia,0,0,0
IB,Portugal,Italy,10,2,10
LH,Italy,South Korea,16,15,16
W6,Italy,Austria,32,166,32
QR,Italy,Indonesia,56,111,55
SV,Pakistan,Saudi Arabia,0,0,0
HO,China,Italy,0,2,0
CA,China,Italy,1,12,1
LH,Hungary,Italy,0,0,0
EW,Italy,Spain,4,3,4
QR,United Arab Emirates,Qatar,1,0,1
UX,Italy,Argentina,7,16,7
A3,Egypt,Italy,1,14,1
TK,Italy,Mongolia,0,10,0
OD,Vietnam,Malaysia,0,1,0
U2,Italy,Egypt,127,56,126
KL,Italy,,20,56,20
LX,Germany,Italy,3,0,3
LH,Hungary,Netherlands,0,0,0
LA,Paraguay,Mexico,0,0,0
AF,Australia,Italy,0,0,0
A3,Greece,United States,0,0,0
TP,Italy,Mexico,16,47,16
QR,Italy,Maldives,21,31,21
UK,France,India,0,0,0
TP,Italy,United States,10,27,10
AZ,Italy,South Africa,0,7,0
FR,Italy,Bulgaria,26,56,26
LH,Italy,Sweden,13,9,13
IB,Italy,Senegal,1,7,1
AT,Italy,Morocco,41,161,41
TP,Italy,Cape Verde,3,23,3
GQ,Greece,Greece,12,20,12
PM,Spain,Spain,5,4,5
VS,Belgium,United States,0,4,0
LH,Sweden,Germany,0,0,0
LH,Germany,Canada,0,2,0
FR,Netherlands,Italy,15,23,15
IB,Spain,,0,3,0
AZ,United States,Singapore,0,0,0
BA,France,Mexico,0,2,0
AF,France,United States,2,13,2
OS,Italy,Senegal,0,1,0
LX,Italy,Republic of Ireland,3,2,3
FR,Italy,Austria,179,331,177
AM,Italy,,0,0,0
EW,Italy,Germany,128,85,127
CY,Egypt,Italy,0,3,0
AM,Italy,El Salvador,0,2,0
LO,Poland,Poland,3,2,3
BA,Italy,El Salvador,0,0,0
MH,Indonesia,Italy,0,3,0
LH,Greece,Italy,0,0,0
OU,Croatia,Netherlands,0,0,0
JY,Turks and Caicos Islands,Turks and Caicos Islands,0,0,0
TK,Italy,Japan,10,22,10
UG,Tunisia,Tunisia,0,0,0
TK,Italy,Turkey,94,280,93
LH,Italy,Denmark,8,11,8
LH,France,Mexico,0,0,0
QR,Italy,Bangladesh,0,3,0
EK,Slovenia,Indonesia,2,0,2
ET,Malawi,South Africa,0,0,0
V7,Italy,France,109,131,108
SQ,India,Indonesia,1,0,1
MH,Italy,Malaysia,0,37,0
JU,Italy,Egypt,0,11,0
IB,Italy,Colombia,11,20,11
TK,Italy,,0,25,0
AZ,Italy,Paraguay,0,0,0
LH,Italy,Japan,27,65,27
LH,Switzerland,Mexico,0,4,0
FR,Austria,Italy,26,54,26
FB,Bulgaria,Italy,0,5,0
U2,United Kingdom,Italy,133,21,132
FR,Malta,Italy,32,53,32
KM,Italy,Malta,0,236,0
AC,Switzerland,,0,0,0
AS,United States,United States,0,14,0
TK,Italy,Maldives,0,5,0
FR,Italy,Norway,27,82,27
LH,Germany,Italy,50,35,50
LH,Italy,Thailand,11,17,11
TK,Italy,Indonesia,9,42,9
LH,Italy,Germany,167,310,165
FR,Portugal,Italy,81,90,80
W6,Italy,Hungary,128,202,127
TP,Spain,Portugal,1,6,1
EI,Italy,United States,21,13,21
ET,Uganda,Italy,0,0,0
ET,Cameroon,Italy,3,1,3
LH,Italy,India,8,7,8
LH,Italy,Belarus,0,0,0
LH,Germany,France,3,0,3
AZ,Switzerland,Italy,8,21,8
RO,Italy,Egypt,0,1,0
QR,Seychelles,Italy,0,1,0
UX,Switzerland,Spain,0,0,0
FR,Austria,United Kingdom,0,5,0
LO,Poland,Germany,0,3,0
JQ,Philippines,Singapore,1,1,1
QF,Solomon Islands,Italy,0,15,0
QR,Qatar,Italy,1,2,1
AT,Italy,Ivory Coast,1,18,1
TK,Serbia,Egypt,0,1,0
NK,United States,Mexico,0,1,0
DY,Estonia,Norway,0,1,0
TK,South Africa,Italy,1,0,1
BA,Spain,United States,0,1,0
FZ,Pakistan,United Arab Emirates,0,1,0
LH,Italy,Belize,0,2,0
I5,India,Thailand,0,3,0
TK,Bulgaria,Hungary,0,1,0
FR,Sweden,Spain,0,2,0
LA,Brazil,Brazil,11,26,11
TX,France,Guadeloupe,1,2,1
AF,Italy,Cuba,15,22,15
TK,Italy,Iran,6,28,6
TK,Turkey,Germany,1,7,1
TK,Italy,Australia,0,30,0
IB,Spain,Spain,22,8,22
SK,Italy,Denmark,9,19,9
MS,Italy,Namibia,0,11,0
FR,France,Morocco,2,8,2
W6,Italy,Indonesia,0,2,0
KL,Italy,Iceland,1,5,1
OS,Austria,Denmark,1,0,1
TP,Portugal,Spain,5,0,5
5W,Oman,Italy,0,1,0
EK,Italy,South Korea,0,1,0
A3,Italy,Greece,101,215,100
CA,Hong Kong,Italy,0,1,0
LA,Germany,Brazil,0,7,0
QR,Italy,Kenya,1,1,1
NH,Germany,Japan,1,1,1
IB,Spain,Brazil,1,1,1
QR,Germany,Thailand,1,0,1
AT,Morocco,Spain,0,1,0
WY,Italy,Vietnam,0,1,0
TX,France,Sint Maarten,0,2,0
NO,Tanzania,Italy,0,1,0
FZ,Pakistan,Italy,1,5,1
AZ,Italy,United Kingdom,14,60,14
U2,Croatia,Italy,4,0,4
AP,Italy,Cape Verde,0,9,0
IB,Mexico,Spain,4,0,4
OS,Austria,Belgium,1,0,1
G9,Iran,Italy,0,1,0
VY,Germany,Spain,3,0,3
6E,Italy,Nepal,0,1,0
NK,United States,Jamaica,0,1,0
W6,Poland,Spain,0,1,0
QR,United Kingdom,Tanzania,1,0,1
TP,Belgium,Senegal,0,1,0
TK,United Kingdom,Georgia,1,0,1
6E,India,United Arab Emirates,0,5,0
DY,Denmark,Norway,0,2,0
LH,Italy,Serbia,1,0,1
LH,Italy,United Arab Emirates,4,3,4
RJ,Italy,Jordan,2,9,2
KL,Italy,Denmark,1,2,1
NK,United States,Italy,0,3,0
W6,Republic of Macedonia,Italy,0,4,0
LH,Spain,Italy,2,0,2
SK,Italy,China,0,2,0
AR,Argentina,Argentina,0,3,0
