carrier,origin_country,destination_country,clicks_travix,clicks_competitor,clicks_airlines
AZ,Italy,Italy,509,1214,504
FR,Italy,Italy,3910,6605,3871
NO,Italy,Egypt,95,65,94
NO,Italy,Spain,6,28,6
FR,Italy,Spain,1880,3686,1861
FR,Italy,Morocco,146,346,145
W6,Italy,Egypt,157,298,155
LA,Italy,Brazil,14,43,14
AZ,Italy,United States,221,1122,219
SM,Egypt,Italy,19,55,19
IB,Italy,Spain,215,191,213
NO,Italy,United States,21,4,21
V7,Italy,Italy,938,892,929
U2,Italy,Spain,723,169,716
LH,Italy,,0,66,0
AZ,Italy,Tunisia,12,45,12
LH,United States,United States,0,23,0
NO,Spain,Italy,1,0,1
AZ,Italy,,0,158,0
TU,Tunisia,Italy,0,4,0
JU,Italy,Turkey,5,53,5
W6,Italy,United Arab Emirates,86,127,85
UX,Spain,Spain,9,23,9
UG,Italy,Tunisia,0,5,0
AT,Italy,Morocco,46,137,46
LA,Colombia,Colombia,8,8,8
TU,Italy,Tunisia,0,63,0
NO,Italy,Maldives,9,0,9
QR,Italy,,0,12,0
FR,Italy,France,300,577,297
AZ,Tunisia,Italy,2,13,2
KM,Malta,Italy,0,14,0
AT,Morocco,Italy,11,26,11
IB,Spain,Italy,57,28,56
AZ,Italy,Spain,19,150,19
BA,Italy,,10,12,10
BA,United States,United States,0,4,0
TK,Italy,Turkey,112,243,111
AZ,United States,United States,0,1,0
FR,Italy,Portugal,267,472,264
TP,Italy,United States,7,22,7
MS,Italy,Egypt,0,71,0
FR,Italy,Germany,197,301,195
LH,Italy,United States,138,137,137
NO,Maldives,Italy,3,3,3
AH,France,Algeria,0,6,0
AZ,Italy,Morocco,8,27,8
FR,Italy,United Kingdom,452,667,448
CA,Italy,Japan,0,126,0
FR,Italy,Malta,308,597,305
BA,Italy,United States,235,296,233
NO,Egypt,Italy,17,1,17
JU,Turkey,Italy,2,11,2
JU,Italy,Serbia,30,21,30
TP,Portugal,Portugal,3,20,3
FR,Spain,Italy,324,367,321
MS,Egypt,Egypt,0,12,0
UX,Italy,Spain,8,27,8
EK,Italy,Indonesia,19,15,19
W6,Italy,Jordan,38,42,38
LX,Italy,United States,31,53,31
FR,Italy,Greece,642,1107,636
AR,Argentina,Argentina,0,5,0
EY,Italy,,3,8,3
EI,Italy,United States,23,15,23
NO,Italy,Senegal,8,8,8
TP,Italy,Brazil,56,193,55
EK,Italy,,0,8,0
LH,Italy,Egypt,20,62,20
FR,Italy,Belgium,109,155,108
BR,Indonesia,Italy,0,12,0
AZ,Italy,Dominican Republic,0,3,0
S4,Portugal,Portugal,3,5,3
JL,Italy,,0,0,0
FR,Italy,Republic of Ireland,143,209,142
WY,Italy,Malaysia,1,36,1
9U,Italy,Moldova,0,21,0
KL,Italy,United States,47,195,47
AZ,Italy,Algeria,3,4,3
NO,Italy,Madagascar,8,1,8
NO,Italy,Kazakhstan,1,0,1
SV,United Arab Emirates,Indonesia,0,8,0
KL,Italy,Dominican Republic,6,15,6
PC,Italy,Egypt,0,1,0
G3,Brazil,Brazil,0,25,0
GF,Italy,Philippines,0,13,0
TK,France,Turkey,0,21,0
TG,Thailand,Thailand,10,2,10
FR,United Kingdom,Italy,136,130,135
FR,Malta,Italy,9,31,9
VA,Australia,,0,0,0
SN,Italy,Burkina Faso,1,0,1
AS,United States,United States,0,9,0
NO,Italy,Dominican Republic,7,10,7
LA,New Zealand,Australia,0,5,0
AZ,Italy,France,37,100,37
IB,Italy,Dominican Republic,14,17,14
TK,Italy,Qatar,1,7,1
LA,Italy,Argentina,0,15,0
EY,Italy,Philippines,9,10,9
AM,Brazil,Spain,0,2,0
