carrier,origin_country,destination_country,clicks_travix,clicks_competitor,clicks_airlines
AZ,Italy,Italy,719,1804,712
FR,Italy,Italy,4675,9005,4629
FR,Italy,Spain,2416,5771,2392
NO,Italy,Egypt,78,81,77
NO,Italy,Spain,39,35,39
AZ,Italy,United States,244,1220,242
LA,Italy,Brazil,19,83,19
AZ,Italy,,0,181,0
FR,Italy,Morocco,133,312,132
W6,Italy,Italy,988,1506,978
W6,Italy,Egypt,234,282,232
AZ,Italy,Morocco,28,118,28
FR,Italy,Greece,782,1743,774
FR,Italy,United Kingdom,430,786,426
IB,Italy,Spain,195,225,193
LH,Italy,United States,119,171,118
LA,Colombia,Colombia,20,33,20
FR,Italy,Malta,397,754,393
TU,Tunisia,Italy,0,7,0
QR,Italy,,0,21,0
W6,Italy,Morocco,19,41,19
AT,Morocco,Italy,9,24,9
LA,Peru,Peru,2,21,2
JU,Italy,Serbia,26,18,26
W6,Italy,Jordan,72,66,71
FR,Italy,France,342,809,339
BA,Italy,United States,271,566,268
KU,Italy,Philippines,0,21,0
NO,Italy,United States,19,4,19
AZ,Italy,Tunisia,5,34,5
U2,Italy,Spain,1126,269,1115
TU,Italy,Tunisia,0,86,0
V7,Italy,Italy,1090,1039,1079
AF,Italy,,2,21,2
AZ,Italy,Algeria,7,15,7
KL,Italy,United States,55,252,54
AC,Italy,Canada,11,93,11
UG,Italy,Tunisia,0,9,0
FR,Spain,Italy,419,514,415
KM,Malta,Italy,0,21,0
TP,Italy,United States,16,19,16
FR,Italy,Portugal,351,726,348
KU,Italy,Thailand,4,8,4
FR,Italy,Denmark,134,182,133
FR,Italy,Belgium,194,338,192
FR,Italy,Austria,206,307,204
PG,Thailand,Thailand,49,45,49
FR,Italy,Germany,220,442,218
EK,Italy,,0,12,0
TK,Italy,Indonesia,19,48,19
LH,Italy,Mexico,0,13,0
LH,Italy,,0,83,0
FR,Italy,Republic of Ireland,155,272,153
SM,Egypt,Italy,11,43,11
W6,Italy,United Arab Emirates,117,151,116
FR,Bulgaria,Italy,7,19,7
SM,Italy,Egypt,38,191,38
EY,Italy,,5,10,5
AZ,Switzerland,Mexico,0,0,0
FR,France,Italy,52,110,51
AZ,Tunisia,Italy,5,4,5
CA,China,Italy,0,15,0
NO,Spain,Italy,2,4,2
AF,United States,Italy,8,3,8
IB,Spain,Italy,59,36,58
NO,Italy,Dominican Republic,8,2,8
AF,Italy,United States,60,149,59
SQ,Italy,,0,9,0
FR,Italy,Jordan,31,68,31
