carrier,origin_country,destination_country,clicks_travix,clicks_competitor,clicks_airlines
AZ,Italy,Italy,488,1426,483
FR,Italy,Italy,4273,8013,4231
NO,Italy,United States,19,5,19
FR,Italy,Spain,2306,4646,2283
AZ,Italy,United States,169,989,167
LA,Italy,Brazil,19,72,19
AZ,Italy,Morocco,30,71,30
NO,Italy,Egypt,81,52,80
AZ,Italy,,0,152,0
FR,Italy,Morocco,125,346,124
NO,Italy,Spain,20,20,20
W6,Italy,Egypt,166,250,164
AC,Italy,Canada,15,78,15
LH,Italy,United States,102,118,101
NO,Egypt,Italy,18,3,18
BA,Italy,United States,240,530,238
IB,Spain,Italy,36,23,36
W6,Italy,United Arab Emirates,111,147,110
AZ,Italy,Tunisia,8,41,8
AZ,Italy,Algeria,2,12,2
IB,Italy,Spain,139,145,138
NO,Italy,Maldives,10,2,10
LH,Italy,,0,57,0
TU,Italy,Tunisia,0,100,0
FR,Italy,United Kingdom,595,963,589
SM,Italy,Egypt,32,212,32
TU,Tunisia,Italy,0,9,0
FR,Italy,Greece,730,1564,723
EY,Italy,,9,18,9
SM,Egypt,Italy,7,44,7
QR,Italy,,0,18,0
BA,Italy,Japan,0,5,0
TK,Italy,Turkey,122,281,121
KL,Italy,Dominican Republic,4,25,4
FR,Italy,Romania,63,193,62
LA,Peru,Peru,1,10,1
FR,Italy,Portugal,384,669,380
W6,Italy,Italy,432,741,428
FR,Spain,Spain,59,57,58
AF,Italy,,1,28,1
AY,Italy,United States,45,328,45
UG,Italy,Tunisia,0,8,0
KL,Italy,United States,56,216,55
KU,Italy,Philippines,1,17,1
IB,Italy,United States,14,119,14
AT,Italy,Morocco,22,131,22
EK,Italy,,0,10,0
AZ,Tunisia,Italy,1,22,1
W6,Italy,Morocco,26,11,26
NO,Mexico,Italy,3,2,3
W6,Italy,Jordan,48,60,48
JU,Italy,Serbia,14,12,14
TK,Italy,Indonesia,21,28,21
TP,Italy,United States,17,19,17
NE,Saudi Arabia,Egypt,0,0,0
LA,Colombia,Colombia,12,23,12
TK,Italy,Pakistan,5,10,5
QR,Germany,,0,2,0
FR,Italy,France,424,709,420
KU,United States,United Arab Emirates,0,2,0
NO,Italy,Dominican Republic,7,34,7
NO,Italy,Senegal,18,10,18
NP,Egypt,Egypt,0,4,0
AZ,Spain,Argentina,0,0,0
FR,Italy,Netherlands,40,65,40
FR,Italy,Croatia,81,151,80
NO,Spain,Italy,6,4,6
JU,Italy,Turkey,8,11,8
RO,Romania,Hungary,0,1,0
FR,Spain,Italy,357,464,353
TK,Italy,Egypt,2,22,2
TP,France,Brazil,0,1,0
PG,Thailand,Thailand,46,40,46
AZ,Italy,Brazil,10,71,10
EY,Italy,Indonesia,27,30,27
LH,Italy,Brazil,32,25,32
FR,Portugal,Portugal,15,18,15
JU,Turkey,Italy,4,5,4
FR,Italy,Hungary,125,219,124
SK,Norway,Italy,4,9,4
AT,Morocco,Italy,8,18,8
AD,Italy,Brazil,0,6,0
FR,Italy,Germany,226,347,224
AM,Netherlands,El Salvador,0,3,0
LH,Italy,Canada,6,23,6
IB,Italy,Morocco,1,13,1
TS,Italy,,0,1,0
TK,Italy,United States,25,18,25
MS,Egypt,Egypt,0,36,0
U2,Italy,United Kingdom,274,46,271
AZ,Italy,France,33,97,33
EK,United States,Italy,4,1,4
AR,Italy,Argentina,0,101,0
UX,Spain,Spain,4,32,4
V7,Italy,Italy,826,844,818
IB,Italy,Dominican Republic,16,26,16
UX,Portugal,Italy,3,8,3
AF,Italy,United States,77,144,76
AZ,Italy,Belgium,10,40,10
H2,Peru,Peru,0,13,0
3U,Italy,Taiwan,0,1,0
LX,Italy,United States,26,80,26
EI,Italy,United States,41,0,41
KL,France,,0,0,0
FR,Italy,Malta,436,733,432
FR,Italy,Republic of Ireland,173,255,171
U2,Italy,Spain,833,178,825
AZ,Morocco,Italy,1,2,1
TK,Italy,South Africa,3,0,3
VS,France,,0,0,0
U2,Italy,Italy,1681,217,1664
W6,Italy,Albania,75,123,74
UA,Italy,Canada,0,4,0
AZ,United States,United States,0,0,0
LA,Spain,Brazil,0,0,0
WY,Italy,Thailand,1,78,1
AZ,Italy,Spain,30,180,30
3U,Italy,Hong Kong,0,2,0
PW,Tanzania,Tanzania,0,5,0
AC,Switzerland,Canada,0,2,0
AZ,Italy,Kenya,0,25,0
UG,Tunisia,Tunisia,0,1,0
KM,Malta,Italy,0,15,0
FR,Germany,Italy,63,88,62
KE,Australia,Italy,0,0,0
TK,Italy,,0,27,0
W6,Italy,Greece,142,268,141
LH,Italy,Mexico,0,6,0
SQ,Indonesia,Italy,1,1,1
TK,Austria,Tanzania,0,3,0
JL,Netherlands,,0,4,0
LX,Italy,,0,23,0
AM,Italy,Mexico,0,21,0
LA,Chile,Chile,0,11,0
IB,Italy,Portugal,2,18,2
TP,Italy,,0,17,0
KM,Spain,Italy,0,1,0
AZ,United States,Mexico,0,0,0
FR,Italy,Czech Republic,104,156,103
QR,Italy,Philippines,3,7,3
VS,France,Mexico,0,1,0
GF,Italy,Sri Lanka,0,0,0
B6,United States,United States,0,23,0
AZ,Chile,Germany,0,0,0
AM,Mexico,Italy,0,21,0
LH,South Korea,United States,0,0,0
BA,Mexico,Italy,0,0,0
BT,Italy,Latvia,6,8,6
UX,Italy,Brazil,2,10,2
TX,Guadeloupe,France,1,4,1
AI,Italy,Singapore,0,15,0
AZ,Italy,Israel,0,7,0
AC,Austria,,0,0,0
AZ,Pakistan,Italy,0,0,0
AZ,Austria,Mexico,0,0,0
AZ,Italy,Japan,37,202,37
LA,United States,Colombia,0,1,0
LA,Brazil,Brazil,8,38,8
MU,Italy,Taiwan,0,1,0
IB,Italy,,2,12,2
AV,Colombia,Germany,0,0,0
TK,Argentina,Italy,0,0,0
NO,Italy,Cape Verde,0,2,0
AC,Switzerland,Costa Rica,0,2,0
EY,Italy,Singapore,11,8,11
W6,Italy,Romania,77,186,76
AZ,Czech Republic,United States,0,0,0
ZB,Italy,Albania,0,30,0
W6,Armenia,Italy,2,9,2
LA,United States,Chile,0,1,0
MH,Italy,Malaysia,0,15,0
W6,Italy,Czech Republic,119,89,118
MS,Italy,Egypt,0,96,0
KM,Germany,Italy,0,3,0
AZ,Italy,Canada,0,1,0
AZ,Italy,Egypt,11,49,11
ET,Tanzania,Italy,3,1,3
EY,Maldives,United Arab Emirates,1,0,1
KU,Italy,Thailand,2,7,2
3U,Italy,Thailand,0,1,0
LH,United States,Mexico,0,3,0
EK,Italy,Mauritius,1,76,1
CA,Italy,Japan,0,101,0
LH,Mexico,United States,0,0,0
KL,Italy,,10,45,10
ME,Cyprus,Lebanon,0,3,0
SP,Portugal,Portugal,3,19,3
AC,Canada,United States,5,5,5
LO,Italy,Egypt,0,0,0
TK,Italy,Kyrgyzstan,1,4,1
LX,Mexico,,0,0,0
NH,Italy,Japan,1,7,1
VY,Italy,Brazil,0,2,0
SK,United States,Italy,0,0,0
U8,Italy,Israel,0,7,0
AM,Argentina,Spain,0,1,0
LX,Italy,Brazil,6,19,6
OS,Italy,,0,6,0
OU,Croatia,Italy,1,1,1
LX,Italy,Thailand,28,28,28
AT,Italy,,0,6,0
GF,Greece,Pakistan,0,1,0
QR,South Africa,Italy,1,1,1
KU,India,Italy,1,1,1
FR,Republic of Ireland,Italy,19,33,19
UP,United States,The Bahamas,0,1,0
IB,Italy,Mexico,10,19,10
EY,Italy,Thailand,17,30,17
AC,Italy,United States,16,12,16
FR,Italy,Sweden,54,124,53
RO,Romania,Italy,0,0,0
TK,Italy,Mauritius,0,8,0
NT,Italy,Spain,0,14,0
AS,United States,United States,0,13,0
3M,United States,The Bahamas,0,2,0
EK,South Korea,Italy,2,9,2
UX,United States,Dominican Republic,0,0,0
AM,Mexico,Mexico,0,19,0
MS,Egypt,,0,3,0
QR,Italy,Vietnam,7,10,7
CY,Cyprus,Lebanon,3,0,3
JQ,Australia,Thailand,0,9,0
LO,Italy,Canada,0,3,0
LH,Italy,Japan,16,60,16
IB,Spain,France,4,0,4
1L,Italy,Austria,0,0,0
AZ,New Zealand,Germany,0,0,0
FR,Italy,Jordan,21,60,21
LH,Kenya,Italy,0,0,0
VA,Australia,Australia,13,14,13
JU,Republic of Macedonia,Italy,0,0,0
AZ,Italy,Bolivia,0,0,0
YW,Germany,Italy,0,0,0
IB,Portugal,Italy,3,2,3
EY,United Arab Emirates,Oman,0,2,0
EI,Italy,Republic of Ireland,42,34,42
EI,Italy,,0,1,0
