carrier,origin_country,destination_country,clicks_client,clicks_competitor,clicks_airlines
AZ,Italy,Italy,624,1625,618
FR,Italy,Italy,4998,8391,4949
FR,Italy,Spain,2611,5227,2585
NO,Italy,Egypt,91,52,90
LA,Italy,Brazil,21,59,21
NO,Italy,Spain,30,40,30
AZ,Italy,United States,215,1149,213
FR,Italy,Morocco,109,309,108
W6,Italy,Egypt,209,264,207
AZ,Italy,,0,133,0
KL,Italy,United States,56,202,55
IB,Italy,Spain,183,208,181
AZ,Italy,Morocco,12,91,12
TU,Tunisia,Italy,0,16,0
LA,Colombia,Colombia,7,13,7
W6,Italy,Italy,410,928,406
SM,Egypt,Italy,15,53,15
SM,Italy,Egypt,36,215,36
AT,Morocco,Italy,10,26,10
UG,Tunisia,Italy,0,6,0
MH,Malaysia,Malaysia,3,3,3
AT,Italy,Morocco,38,72,38
AZ,Italy,Tunisia,14,23,14
FR,Italy,United Kingdom,661,878,654
V7,Italy,Italy,1182,1039,1170
AC,Italy,Canada,41,92,41
TK,Italy,Turkey,170,349,168
KM,Malta,Italy,0,22,0
W6,Italy,United Arab Emirates,115,126,114
TU,Italy,Tunisia,0,104,0
EW,Germany,Italy,95,115,94
LA,Chile,United States,1,2,1
U2,Italy,Italy,1945,189,1926
FJ,New Zealand,,0,20,0
AY,Italy,,0,3,0
FR,Italy,Greece,780,1485,772
TS,Italy,Canada,52,42,51
KU,Italy,Philippines,9,28,9
QR,Italy,,0,29,0
FR,Italy,Malta,457,759,452
NO,Egypt,Italy,13,6,13
MS,Italy,Egypt,0,114,0
KL,Italy,Dominican Republic,6,40,6
EK,Italy,,0,4,0
GF,India,Italy,0,8,0
LH,Italy,,0,62,0
NO,Italy,United States,10,4,10
WT,Spain,Spain,0,11,0
EY,Italy,Indonesia,33,29,33
AY,Italy,Japan,13,12,13
NO,Italy,Madagascar,7,0,7
FR,Italy,Sweden,39,90,39
UX,Spain,Spain,8,30,8
JU,Italy,Turkey,6,25,6
YW,Germany,Italy,0,11,0
AZ,Italy,Algeria,1,12,1
TP,Italy,,0,32,0
EK,Italy,Indonesia,13,25,13
FR,Italy,France,424,707,420
FR,Spain,Italy,445,480,441
ET,Cameroon,Italy,0,37,0
WY,Italy,,0,2,0
QR,Italy,Australia,17,28,17
AZ,United States,Italy,3,27,3
FR,Italy,Bulgaria,27,76,27
IB,Spain,Italy,47,34,47
2W,Dominican Republic,Spain,0,3,0
TG,Thailand,Thailand,13,4,13
FR,United Kingdom,Italy,201,168,199
TP,Italy,Spain,3,13,3
UA,Italy,,4,1,4
BR,Italy,,0,1,0
PW,Tanzania,Tanzania,0,2,0
RO,Romania,Romania,0,1,0
LA,Peru,Brazil,0,10,0
EW,Italy,Germany,209,183,207
LH,Italy,Japan,21,60,21
MS,Egypt,Egypt,0,46,0
EY,Thailand,Italy,0,8,0
JU,Turkey,Italy,3,2,3
AZ,Tunisia,Italy,2,7,2
SK,Italy,Norway,5,29,5
AY,Italy,United States,33,188,33
GF,Italy,Philippines,0,24,0
TK,Italy,Australia,0,11,0
FR,Italy,Germany,224,403,222
OS,Italy,Canada,0,4,0
TP,Italy,United States,8,32,8
LX,Italy,United States,33,44,33
FJ,New Zealand,Samoa,0,4,0
QR,India,Italy,2,1,2
KL,Italy,,23,39,23
LH,Italy,Singapore,3,2,3
AI,India,India,0,3,0
JL,Italy,Japan,1,9,1
NO,Spain,Italy,12,10,12
AH,Italy,Senegal,0,7,0
FR,Sweden,Sweden,0,1,0
LH,Italy,United States,130,109,129
AH,France,Algeria,0,2,0
FR,Italy,Czech Republic,78,145,77
YP,South Korea,United States,0,0,0
1L,Italy,Germany,0,11,0
AF,Italy,United States,100,94,99
LH,Germany,Costa Rica,0,0,0
LX,Italy,,0,21,0
W6,Germany,Serbia,4,4,4
NO,Italy,Maldives,14,6,14
FR,Italy,Hungary,117,173,116
TU,France,Tunisia,0,12,0
UP,The Bahamas,The Bahamas,0,3,0
KU,India,Italy,1,3,1
FR,Italy,Denmark,116,192,115
AF,Italy,Brazil,10,23,10
DX,Italy,Italy,0,121,0
BA,Italy,Brazil,3,2,3
AH,Italy,Niger,0,2,0
NO,United States,Italy,2,1,2
ER,United Arab Emirates,Pakistan,0,0,0
EY,Italy,,8,9,8
H2,Peru,Peru,0,7,0
NO,Italy,Senegal,20,6,20
W6,Italy,Jordan,40,44,40
BA,Italy,,19,17,19
FJ,Samoa,New Zealand,0,2,0
MS,Italy,Japan,0,2,0
JU,Italy,Serbia,10,9,10
IB,Italy,United States,29,101,29
U2,Italy,Netherlands,339,35,336
AH,Algeria,Algeria,0,6,0
EK,Italy,United States,46,15,46
TK,Slovenia,,0,2,0
LA,Ecuador,Ecuador,1,12,1
SM,Italy,Jordan,0,1,0
MS,Italy,Kenya,0,32,0
TK,Italy,United States,17,13,17
CA,China,Italy,0,10,0
KU,Italy,Pakistan,0,0,0
LA,Bolivia,Peru,0,5,0
TK,Italy,,0,27,0
AR,Argentina,Argentina,0,15,0
W6,Italy,Romania,93,235,92
FR,Italy,Cyprus,25,83,25
OB,Brazil,,0,0,0
AZ,Italy,Japan,38,184,38
LA,Argentina,Brazil,2,2,2
SP,Portugal,Portugal,0,7,0
LA,Brazil,Brazil,3,13,3
FR,Italy,Portugal,373,659,369
ET,Kenya,Italy,3,0,3
LH,Italy,Aruba,0,6,0
EY,Italy,India,4,15,4
YW,Italy,Germany,0,7,0
JY,Antigua and Barbuda,Dominica,0,2,0
PW,Tanzania,,0,1,0
OB,Bolivia,Brazil,0,2,0
UL,Saudi Arabia,Sri Lanka,1,3,1
TK,Italy,Burkina Faso,0,2,0
AF,Tunisia,Italy,0,0,0
LA,Italy,Colombia,0,10,0
CY,Egypt,Italy,0,5,0
TP,Portugal,Portugal,4,5,4
CA,Italy,Japan,0,106,0
FR,Italy,Poland,106,179,105
EK,Italy,South Africa,8,20,8
BA,United Kingdom,Turks and Caicos Islands,1,9,1
AF,United States,Italy,1,3,1
LA,Peru,Peru,0,9,0
AD,Brazil,Italy,0,28,0
TU,Italy,Niger,0,0,0
KU,Spain,Philippines,2,9,2
QR,Italy,Thailand,45,53,45
LY,Israel,Italy,2,16,2
4Z,South Africa,South Africa,2,1,2
KL,United States,Italy,4,4,4
EY,Germany,Thailand,0,2,0
AF,Italy,Faroe Islands,0,3,0
NE,Saudi Arabia,Egypt,0,3,0
LH,Italy,Maldives,0,2,0
FR,Italy,Finland,9,52,9
3M,United States,The Bahamas,0,1,0
LA,Ecuador,Colombia,0,1,0
CY,Italy,Lebanon,0,3,0
W6,Spain,Italy,13,41,13
AI,Italy,Singapore,0,13,0
ET,Italy,Uganda,1,3,1
SV,Spain,Indonesia,0,0,0
AZ,Italy,Egypt,4,33,4
AZ,United States,,0,0,0
UG,Italy,Tunisia,0,3,0
AZ,Egypt,Italy,2,5,2
AC,Italy,,0,4,0
IB,Spain,Morocco,3,0,3
QF,Thailand,New Zealand,0,0,0
