carrier,origin_country,destination_country,clicks_travix,clicks_competitor,clicks_airlines
AZ,Italy,Italy,451,1291,447
NO,Italy,Egypt,86,43,85
FR,Italy,Italy,3594,6113,3558
NO,Italy,Spain,20,39,20
FR,Italy,Spain,1975,3942,1955
AZ,Italy,United States,169,1017,167
FR,Italy,Morocco,154,378,152
LA,Italy,Brazil,27,78,27
LH,Italy,United States,121,112,120
AZ,Italy,,0,140,0
AZ,Italy,Morocco,8,30,8
V7,Italy,Italy,924,796,915
U2,Italy,Spain,604,105,598
BA,Italy,United States,240,439,238
TU,Italy,Tunisia,0,64,0
KM,Malta,Italy,0,20,0
UG,Italy,Tunisia,0,3,0
BA,Italy,,41,50,41
FR,Italy,Jordan,22,54,22
W6,Italy,United Arab Emirates,71,90,70
IB,Italy,Spain,156,138,154
NO,Spain,Italy,6,1,6
TU,Tunisia,Turkey,0,0,0
AT,Morocco,Italy,8,36,8
LA,Colombia,Colombia,8,8,8
TP,Italy,United States,23,31,23
NO,Egypt,Italy,9,6,9
SM,Italy,Egypt,35,143,35
TU,Tunisia,Italy,0,14,0
IB,Spain,Italy,66,35,65
LH,Italy,,0,50,0
IB,Italy,United States,24,87,24
FR,Italy,Malta,361,633,357
AZ,Italy,Tunisia,4,37,4
WT,Spain,Spain,0,1,0
EY,Italy,,1,4,1
AT,Italy,Morocco,50,137,50
U2,Italy,Italy,1595,134,1579
NO,Italy,United States,18,9,18
FR,Italy,Greece,611,1243,605
FR,Italy,France,350,644,347
JU,Italy,Turkey,3,10,3
FR,Italy,Denmark,82,163,81
UK,India,India,3,2,3
FR,Italy,United Kingdom,483,739,478
JL,Italy,Japan,0,3,0
JU,Turkey,Italy,1,2,1
KL,Italy,United States,39,180,39
W6,Italy,Egypt,133,163,132
QR,Italy,,0,9,0
W6,Italy,Morocco,9,36,9
EI,Italy,Republic of Ireland,33,59,33
AZ,Tunisia,Italy,0,3,0
KL,Italy,Dominican Republic,5,35,5
3U,China,Italy,0,0,0
LA,Peru,Peru,3,6,3
NO,Italy,Maldives,9,1,9
JU,Italy,Serbia,5,19,5
4Z,South Africa,South Africa,4,0,4
BA,United States,United States,0,0,0
KU,Italy,Philippines,3,7,3
FR,Spain,Italy,342,350,339
AZ,Italy,Algeria,6,10,6
AF,Italy,United States,49,100,49
AZ,Italy,France,24,83,24
MS,Italy,Egypt,0,89,0
IB,Italy,Portugal,9,10,9
LY,Israel,Austria,0,0,0
EI,Italy,United States,40,3,40
NO,Italy,Senegal,30,14,30
BR,Italy,,0,1,0
AZ,United States,United States,0,0,0
EK,Italy,Indonesia,23,9,23
FR,Italy,Austria,146,200,145
TK,Italy,Democratic Republic of the Congo,0,1,0
LH,United States,United States,0,25,0
AZ,Italy,Egypt,1,29,1
SM,Egypt,Italy,8,38,8
WS,Italy,United States,0,7,0
FR,United Kingdom,Italy,113,115,112
GF,Italy,Philippines,0,15,0
TU,France,Tunisia,0,4,0
EY,Greece,Japan,0,0,0
ET,Italy,Kenya,6,19,6
AZ,Italy,Dominican Republic,0,9,0
LX,Italy,,0,8,0
1L,Germany,Greece,0,0,0
5Z,South Africa,,0,3,0
TK,Italy,United States,21,10,21
AZ,Italy,Japan,34,126,34
W6,United Arab Emirates,Italy,15,10,15
BA,United Kingdom,United States,6,4,6
PW,Tanzania,Tanzania,0,1,0
FR,Malta,Italy,16,36,16
FR,Sweden,Austria,6,14,6
WY,Italy,Thailand,2,64,2
NT,Portugal,Portugal,0,0,0
G3,Brazil,Brazil,0,19,0
TK,Italy,Indonesia,12,23,12
FR,Italy,Germany,150,278,149
AF,Italy,,0,12,0
EK,Italy,,0,3,0
AY,Italy,United States,16,58,16
DX,Italy,Italy,0,123,0
S4,Portugal,Portugal,0,7,0
NO,Italy,Dominican Republic,3,3,3
NO,Italy,,0,1,0
KQ,Italy,Madagascar,0,7,0
AZ,Algeria,Italy,0,1,0
LO,Italy,,1,1,1
TG,Thailand,Thailand,5,4,5
LO,Poland,Poland,0,4,0
AH,Algeria,France,0,2,0
MU,Italy,Australia,0,10,0
IB,Italy,Peru,42,19,42
UX,Spain,Spain,10,19,10
TK,Bulgaria,Turkey,0,0,0
GF,India,Italy,0,3,0
AZ,Italy,New Zealand,0,3,0
IB,Italy,Argentina,26,8,26
TP,Portugal,Portugal,6,3,6
AF,Germany,Philippines,0,0,0
KQ,Italy,Kenya,5,10,5
QR,Italy,Bangladesh,0,0,0
LA,Italy,Argentina,1,6,1
BA,United States,Italy,19,1,19
EY,Australia,Italy,2,3,2
LX,Italy,United States,33,42,33
QR,Switzerland,Indonesia,0,0,0
LH,Italy,Brazil,11,18,11
TK,Italy,Ivory Coast,1,1,1
SK,Italy,,2,6,2
Z2,Philippines,Philippines,0,11,0
AF,Canada,Italy,1,0,1
1L,Italy,Sweden,0,0,0
AZ,United States,Italy,1,6,1
UG,Tunisia,Italy,0,2,0
FR,Denmark,Austria,0,4,0
AS,United States,United States,0,11,0
HC,Ivory Coast,Italy,0,1,0
FR,Belgium,Italy,41,56,41
LA,Brazil,Brazil,3,27,3
LA,Spain,Bolivia,2,3,2
LA,Chile,Canada,1,1,1
SP,Portugal,,0,3,0
QR,France,Qatar,0,0,0
FR,Italy,Republic of Ireland,113,195,112
PR,Australia,Japan,0,0,0
FR,Bulgaria,Italy,11,10,11
SB,Australia,New Caledonia,1,5,1
AZ,Germany,United States,0,0,0
IB,Italy,Colombia,27,17,27
QF,Australia,New Caledonia,2,2,2
UX,Spain,Italy,4,11,4
OB,Bolivia,Brazil,0,1,0
W6,Italy,Bulgaria,15,20,15
LX,Switzerland,Italy,8,24,8
TS,Italy,,0,1,0
WY,Italy,,0,1,0
