carrier,origin_country,destination_country,clicks_client,clicks_competitor,clicks_airlines
AZ,Italy,Italy,510,1297,505
FR,Italy,Italy,4020,6402,3980
NO,Italy,Egypt,50,38,50
LA,Italy,Brazil,17,51,17
NO,Italy,Spain,25,36,25
AZ,Italy,United States,185,886,183
FR,Italy,Morocco,116,279,115
W6,Italy,Italy,601,909,595
AZ,Italy,,0,112,0
FR,Italy,Spain,2144,3976,2123
DX,Italy,Italy,0,161,0
AZ,Italy,Morocco,10,77,10
W6,Italy,Egypt,118,256,117
AZ,Italy,Tunisia,9,48,9
W6,Italy,Albania,182,401,180
SM,Egypt,Italy,17,42,17
NO,Italy,Maldives,7,1,7
LH,Italy,United States,80,114,79
TU,Italy,Tunisia,0,44,0
IB,Spain,Italy,66,33,65
AF,Italy,,3,15,3
W6,Italy,Morocco,33,59,33
EK,Italy,,0,15,0
EY,Italy,Indonesia,15,20,15
IB,Italy,Spain,150,172,149
FR,Italy,United Kingdom,351,544,348
EY,Italy,,3,2,3
W6,Italy,Romania,118,205,117
UG,Italy,Tunisia,0,7,0
AZ,United States,Italy,9,12,9
NO,Spain,Italy,4,0,4
FR,Italy,Greece,669,1201,662
SM,Italy,Egypt,42,213,42
W6,Italy,United Arab Emirates,123,116,122
KM,Malta,Italy,0,33,0
AT,Morocco,Italy,14,21,14
W6,United Kingdom,Italy,38,47,38
CA,Italy,,0,23,0
AC,Italy,,0,15,0
MH,Italy,Malaysia,0,16,0
KU,Italy,Philippines,1,8,1
LH,Italy,,0,41,0
AZ,Morocco,Italy,0,2,0
OS,Italy,Kenya,0,5,0
KL,Italy,United States,37,222,37
BA,Italy,United States,199,472,197
TK,Italy,United States,10,8,10
W6,Portugal,Italy,17,60,17
NO,Egypt,Italy,17,14,17
LA,Ecuador,Ecuador,2,6,2
LA,Colombia,Colombia,7,12,7
FR,Italy,France,339,618,336
SP,Portugal,Portugal,1,4,1
LH,Italy,Brazil,11,18,11
U2,Italy,Spain,813,183,805
BA,Italy,Japan,0,1,0
W6,Italy,Jordan,45,52,45
TP,Italy,United States,12,15,12
TU,France,Tunisia,0,8,0
LA,Chile,Italy,5,38,5
AT,Italy,Morocco,19,103,19
LY,Italy,Israel,23,6,23
KL,Italy,Dominican Republic,7,46,7
TU,Tunisia,Italy,0,16,0
QR,Italy,,0,13,0
UP,United States,The Bahamas,0,0,0
IB,Spain,Portugal,4,6,4
NO,Italy,Madagascar,6,0,6
BA,Italy,,27,35,27
JU,Italy,Serbia,12,9,12
UX,Italy,Peru,16,26,16
V7,Italy,Italy,697,626,690
TK,Italy,Qatar,3,1,3
EK,Italy,Indonesia,16,18,16
U2,Italy,Italy,1395,157,1381
AR,Argentina,Argentina,0,14,0
PR,Philippines,Philippines,2,4,2
TK,Italy,,0,28,0
KU,Italy,Thailand,3,5,3
NO,Italy,United States,3,2,3
AC,Germany,,0,4,0
FR,Italy,Austria,202,210,200
TK,Italy,Turkey,70,180,69
FR,Italy,Poland,71,146,70
TG,Thailand,Thailand,9,10,9
FR,Italy,Portugal,289,513,286
AC,Italy,Canada,15,69,15
EK,United States,Italy,4,0,4
JL,Italy,Japan,1,1,1
FR,Italy,Malta,324,548,321
VS,United Kingdom,United States,1,2,1
FR,Italy,Hungary,113,168,112
IB,Italy,Senegal,7,5,7
AZ,Egypt,Italy,1,7,1
IB,Italy,,0,11,0
W6,Italy,Spain,135,439,134
KL,Italy,,8,37,8
EY,Spain,Pakistan,1,0,1
AZ,Germany,,0,0,0
U2,France,Italy,177,43,175
AZ,Bulgaria,Italy,5,4,5
TK,Slovenia,,0,0,0
LA,Peru,Peru,2,7,2
QR,Italy,Pakistan,1,3,1
CA,Italy,Thailand,0,155,0
TK,Burkina Faso,Canada,0,0,0
AZ,Mexico,Italy,0,0,0
AR,Italy,Argentina,0,76,0
FJ,Australia,,0,0,0
IB,Italy,Ecuador,10,3,10
SA,South Africa,South Africa,0,0,0
EY,Italy,Malaysia,0,3,0
AZ,United States,United States,0,0,0
LA,Brazil,Paraguay,0,0,0
AZ,Italy,Egypt,7,30,7
UG,Tunisia,Italy,0,2,0
FR,Italy,Croatia,79,132,78
TP,Italy,,0,21,0
UX,Spain,Spain,7,15,7
EI,Italy,,0,0,0
IB,Italy,Peru,10,7,10
IB,Portugal,Italy,10,8,10
TK,Italy,Nigeria,5,8,5
PC,Italy,Turkey,124,148,123
FR,Italy,Denmark,92,199,91
W6,United Arab Emirates,Italy,25,20,25
MH,Malaysia,Malaysia,5,3,5
FR,Italy,Jordan,17,48,17
FR,Italy,Belgium,160,202,158
SK,Italy,Denmark,8,51,8
BA,Switzerland,Japan,0,0,0
QR,Italy,Vietnam,12,15,12
PG,Thailand,Thailand,33,36,33
AZ,Israel,Italy,0,4,0
EK,Thailand,,0,0,0
SN,Italy,United States,0,2,0
QR,Singapore,United States,3,0,3
EI,Italy,United States,1,8,1
LA,Brazil,Brazil,7,13,7
BA,Switzerland,United States,0,1,0
