carrier,origin_country,destination_country,clicks_client,clicks_competitor,clicks_airlines
AZ,Italy,Italy,578,1831,572
FR,Italy,Italy,4660,9000,4614
FR,Italy,Spain,2427,5052,2403
AZ,Italy,United States,175,917,173
AZ,Italy,Morocco,27,106,27
NO,Italy,Egypt,78,54,77
LA,Italy,Brazil,19,71,19
AZ,Italy,,0,201,0
W6,Italy,Egypt,153,231,151
NO,Italy,Spain,21,25,21
FR,Italy,Morocco,126,335,125
W6,Italy,Italy,546,826,541
TU,Italy,Tunisia,0,108,0
IB,Italy,Spain,184,202,182
FR,Italy,Malta,407,790,403
LH,Italy,United States,84,146,83
NO,Egypt,Italy,17,5,17
W6,Italy,Jordan,29,59,29
LH,Italy,,0,45,0
KM,Malta,Italy,0,14,0
TK,Italy,,0,35,0
NO,Italy,United States,13,1,13
AZ,Italy,Tunisia,7,34,7
W6,Italy,United Arab Emirates,106,104,105
V7,Italy,Italy,1111,1067,1100
IB,Spain,Italy,43,25,43
AC,Italy,,0,23,0
AT,Morocco,Italy,12,43,12
KL,Italy,United States,60,219,59
W6,Italy,Morocco,16,22,16
JU,Italy,Turkey,1,6,1
AC,Italy,Canada,35,72,35
EK,Italy,Indonesia,14,21,14
G3,Brazil,Brazil,0,28,0
QR,Italy,,0,38,0
FR,Italy,Greece,575,1395,569
LH,United States,United States,0,28,0
UG,Italy,Tunisia,0,11,0
JU,Italy,Serbia,16,13,16
AZ,United States,United States,0,0,0
SM,Italy,Egypt,43,214,43
AT,Italy,Morocco,31,118,31
LH,Italy,Canada,10,80,10
LA,Peru,Peru,3,7,3
NO,Italy,Maldives,9,2,9
FR,Italy,Germany,207,329,205
TP,Italy,United States,26,24,26
SM,Egypt,Italy,11,22,11
AZ,Egypt,Italy,8,10,8
TU,Tunisia,Italy,0,14,0
BA,Italy,United States,279,504,276
NO,Italy,Dominican Republic,14,7,14
W6,Italy,Romania,92,222,91
KL,Italy,Dominican Republic,3,20,3
NO,Italy,Madagascar,6,6,6
FR,Italy,France,434,839,430
FR,Germany,Italy,71,162,70
FR,Italy,Hungary,135,272,134
IB,Italy,Colombia,29,36,29
AS,United States,United States,0,29,0
SQ,Italy,,0,8,0
AZ,United States,Italy,11,14,11
LH,Italy,Japan,10,99,10
BA,United States,United States,0,4,0
GF,Italy,,0,7,0
EY,Italy,,9,9,9
TK,Italy,Turkey,178,280,176
AI,Italy,Thailand,0,101,0
LA,Colombia,Colombia,16,18,16
FR,Italy,Romania,93,268,92
AY,Italy,United States,26,363,26
EY,Italy,Indonesia,28,36,28
NO,United States,Italy,0,1,0
UG,Tunisia,Italy,0,3,0
AM,Netherlands,El Salvador,0,12,0
AZ,Tunisia,Italy,1,7,1
IB,Italy,United States,21,104,21
IB,Italy,Peru,41,31,41
CA,Thailand,Italy,0,12,0
AZ,Italy,Mexico,0,62,0
EY,Italy,Singapore,17,18,17
JU,Serbia,Italy,3,0,3
LH,United States,Italy,6,6,6
AZ,Italy,India,7,19,7
UX,Spain,Spain,8,19,8
MS,Italy,Kenya,0,9,0
TK,Italy,Pakistan,4,7,4
AZ,Italy,Brazil,12,45,12
W6,Italy,Albania,150,193,149
LH,Italy,Sweden,14,45,14
QR,Thailand,Italy,3,0,3
AM,Italy,Mexico,0,40,0
AM,Mexico,Italy,0,3,0
IB,Italy,Portugal,8,22,8
EK,Italy,,0,11,0
ID,Singapore,Indonesia,0,6,0
FR,Italy,Finland,8,16,8
FR,Italy,Austria,174,271,172
EI,Italy,United States,33,13,33
EY,Italy,Malaysia,3,8,3
RA,Nepal,India,0,0,0
LA,Colombia,Italy,0,28,0
LH,South Korea,United States,0,0,0
A3,Italy,Egypt,0,11,0
JU,Turkey,Italy,4,0,4
EY,India,Italy,4,4,4
TK,Italy,Indonesia,13,31,13
AZ,Spain,Italy,9,19,9
QR,Italy,Maldives,24,41,24
NO,Italy,Kazakhstan,0,2,0
AI,India,India,0,4,0
EY,Italy,Thailand,25,37,25
AZ,United States,Aruba,0,0,0
FR,United Kingdom,Italy,149,127,148
FR,Spain,Italy,420,501,416
UX,Italy,Dominican Republic,7,33,7
SQ,Italy,Singapore,1,1,1
AZ,Mexico,Italy,0,0,0
KL,Italy,,11,44,11
LH,France,,0,0,0
AF,Italy,,2,30,2
UX,Mexico,Italy,0,0,0
SN,Italy,United States,0,4,0
EY,United Arab Emirates,India,5,3,5
WE,Thailand,,0,0,0
FR,Italy,Czech Republic,103,209,102
3U,China,Italy,0,3,0
TP,Italy,Brazil,43,131,43
EK,India,Italy,1,2,1
WS,Italy,United States,2,5,2
MS,Italy,Egypt,0,46,0
EK,United States,United Arab Emirates,2,2,2
LH,Italy,Brazil,17,43,17
V7,Italy,Greece,470,576,465
LO,Poland,Poland,0,0,0
FR,Italy,United Kingdom,597,916,591
UX,Italy,Spain,6,19,6
FR,Italy,Portugal,287,605,284
FR,Malta,Italy,23,33,23
BA,Italy,,13,39,13
AR,Argentina,Argentina,0,11,0
LH,Italy,Germany,216,353,214
ET,Tanzania,Italy,1,0,1
CA,China,Italy,2,3,2
MU,Italy,Indonesia,0,10,0
SK,Italy,Sweden,3,11,3
BA,United States,Italy,20,8,20
EK,Italy,Australia,5,16,5
FR,Italy,Poland,92,191,91
FR,Spain,Spain,76,57,75
TK,Turkey,Italy,34,27,34
FR,Italy,Sweden,35,108,35
AZ,Italy,Japan,37,163,37
AZ,Italy,Algeria,1,12,1
4Z,South Africa,South Africa,2,1,2
TK,Italy,Egypt,13,29,13
FR,Croatia,Italy,19,12,19
AZ,Italy,Australia,0,6,0
KU,Italy,Philippines,2,5,2
AZ,Italy,Israel,0,11,0
AM,Mexico,Mexico,0,12,0
