carrier,origin_country,destination_country,clicks_travix,clicks_competitor,clicks_airlines
FR,Italy,Italy,3813,6764,3775
AZ,Italy,Italy,776,1664,768
FR,Italy,Spain,1749,3645,1732
AZ,Italy,United States,572,843,566
NO,Italy,Egypt,21,21,21
TK,Italy,Turkey,193,634,191
TU,Italy,Tunisia,0,49,0
LA,Italy,Brazil,25,41,25
W6,Italy,Egypt,153,205,151
V7,Italy,Italy,1274,1193,1261
NO,Italy,Spain,17,23,17
1L,Italy,Spain,0,0,0
FR,Italy,Morocco,148,349,147
1L,Italy,Italy,0,0,0
QR,Italy,,0,10,0
TK,Turkey,Italy,17,176,17
FR,Italy,Greece,620,1143,614
AZ,Italy,Tunisia,10,62,10
W6,Italy,United Arab Emirates,40,77,40
KM,Malta,Italy,0,24,0
FR,Italy,Malta,276,545,273
SM,Egypt,Italy,9,37,9
AT,Morocco,Italy,16,22,16
TU,Tunisia,Italy,0,13,0
U2,Italy,Italy,1749,258,1732
EK,Italy,United States,90,62,89
MS,Turkey,Italy,2,18,2
AT,Italy,Morocco,46,167,46
JL,Italy,Japan,2,5,2
IB,Spain,Italy,62,32,61
FR,Spain,Italy,392,414,388
AZ,Egypt,Italy,6,12,6
PC,Italy,Turkey,161,398,159
KL,Italy,United States,55,362,54
AF,Italy,,1,20,1
KL,Italy,,17,42,17
NO,Italy,United States,12,9,12
AZ,Italy,Morocco,13,75,13
TP,Italy,United States,17,59,17
NO,Italy,Dominican Republic,11,24,11
EY,Thailand,Italy,6,6,6
AZ,Italy,,2,125,2
KL,Italy,Dominican Republic,3,16,3
1L,Italy,France,0,0,0
AZ,Italy,Egypt,12,60,12
LX,Italy,United States,30,55,30
AS,United States,United States,0,9,0
SK,Italy,,4,0,4
FR,Italy,United Kingdom,406,604,402
JU,Italy,Turkey,14,48,14
MS,Italy,Egypt,6,51,6
W4,Italy,Romania,250,251,248
TP,Italy,Brazil,62,205,61
FR,Italy,France,306,571,303
JL,Italy,,0,1,0
QR,Japan,Netherlands,0,0,0
LA,Colombia,Colombia,16,6,16
FR,Italy,Austria,165,168,163
IB,Italy,Spain,177,157,175
AZ,Italy,Algeria,1,14,1
CZ,Italy,Vietnam,5,13,5
W6,Italy,Jordan,34,35,34
JL,Vietnam,United States,0,1,0
UG,Tunisia,Italy,0,5,0
JU,Italy,Serbia,43,17,43
U2,Italy,Spain,799,202,791
AF,Italy,United States,50,68,50
1L,Italy,United Kingdom,0,0,0
LO,Italy,Turkey,12,61,12
HY,Uzbekistan,Uzbekistan,0,1,0
FR,Italy,Germany,206,305,204
AY,Italy,,0,16,0
SV,Italy,Ethiopia,0,0,0
EI,Italy,United States,11,13,11
UX,Italy,Spain,15,26,15
TS,Italy,Canada,66,42,65
EY,Italy,Indonesia,13,48,13
DX,Italy,Italy,0,117,0
TK,Greece,Turkey,1,2,1
G3,Brazil,Brazil,0,13,0
FR,Italy,Romania,77,176,76
TK,Venezuela,Italy,0,4,0
UX,Spain,Colombia,2,4,2
AZ,Italy,Mexico,0,40,0
FI,Italy,United States,1,0,1
FR,Germany,Italy,76,107,75
NP,Egypt,Egypt,0,4,0
IB,Italy,Peru,27,27,27
MU,Italy,Indonesia,0,22,0
SM,Italy,Egypt,40,127,40
NT,Spain,Spain,0,12,0
TU,Turkey,Italy,0,34,0
W6,Hungary,Italy,48,26,48
UG,Italy,Tunisia,0,2,0
IB,Italy,Mexico,23,36,23
TK,France,Turkey,11,96,11
SP,Portugal,Portugal,0,10,0
BR,Italy,,0,0,0
V7,Italy,Greece,853,599,845
RJ,Italy,Jordan,2,7,2
XQ,Turkey,Italy,4,28,4
TK,Italy,,0,36,0
TU,France,Tunisia,0,5,0
AZ,Tunisia,Italy,1,23,1
V7,Italy,Spain,40,53,40
CA,Thailand,Italy,0,4,0
NO,Italy,Italy,12,16,12
FR,Italy,Cyprus,31,70,31
VY,Italy,Spain,1109,880,1098
KM,Malta,Portugal,0,2,0
FR,Italy,Portugal,276,481,273
EY,Germany,India,0,0,0
SK,Norway,Italy,2,3,2
UA,Italy,,17,2,17
NO,Italy,Madagascar,4,1,4
LH,Italy,Brazil,1,16,1
QR,Italy,Thailand,61,153,60
IB,Italy,Senegal,5,15,5
IB,Italy,United States,4,42,4
VY,Spain,Spain,98,36,97
NO,Italy,Senegal,10,2,10
SV,Italy,Pakistan,0,19,0
LG,Italy,Luxembourg,5,11,5
FR,Portugal,Portugal,18,15,18
EY,Switzerland,South Korea,0,0,0
NO,Italy,Maldives,2,3,2
LY,Italy,Israel,19,9,19
WF,Norway,Norway,0,7,0
TK,Italy,Australia,0,16,0
AR,Italy,Argentina,0,78,0
XK,France,France,0,3,0
TK,Austria,Turkey,8,7,8
QS,Egypt,Czech Republic,0,3,0
FR,France,Italy,64,101,63
LX,Italy,,0,10,0
SQ,Italy,,0,2,0
EY,Switzerland,Singapore,0,7,0
FR,Italy,Bulgaria,47,88,47
NO,Mexico,Italy,5,4,5
FR,Italy,Poland,83,177,82
FR,Italy,Jordan,20,50,20
BJ,Italy,Tunisia,7,11,7
ET,Rwanda,,0,1,0
UX,Spain,Spain,8,18,8
FR,Bulgaria,Italy,11,20,11
FR,Italy,Sweden,33,113,33
OS,Italy,Thailand,20,50,20
TU,Morocco,Tunisia,0,0,0
KU,Italy,India,6,9,6
JU,Turkey,Italy,9,21,9
AV,Colombia,Colombia,13,24,13
AZ,Italy,Japan,65,187,64
KU,India,Italy,0,11,0
AM,Mexico,Mexico,0,5,0
LH,Italy,,0,57,0
UA,Italy,United States,76,46,75
