carrier,origin_country,destination_country,clicks_client,clicks_competitor,clicks_airlines
AZ,Italy,Italy,633,1682,627
FR,Italy,Italy,4958,8670,4909
NO,Italy,Egypt,138,68,137
FR,Italy,Spain,2743,5161,2716
NO,Italy,Spain,17,48,17
FR,Italy,Morocco,136,466,135
AZ,Italy,United States,318,1613,315
LA,Italy,Brazil,34,60,34
AZ,Italy,,0,243,0
IB,Italy,Spain,278,308,275
KL,Italy,United States,84,339,83
NO,Italy,United States,36,6,36
AZ,Italy,Tunisia,5,45,5
NO,Italy,Dominican Republic,11,10,11
NO,Italy,Maldives,19,10,19
FR,Italy,Portugal,563,817,557
NO,Egypt,Italy,28,8,28
MS,Italy,Egypt,0,161,0
U2,Italy,Spain,1204,231,1192
SM,Egypt,Italy,20,63,20
KM,Malta,Italy,0,41,0
AY,Italy,,0,3,0
AZ,Italy,Morocco,5,41,5
NO,Spain,Italy,9,5,9
TP,Italy,United States,36,56,36
W6,Italy,Egypt,181,259,179
LA,Italy,Argentina,2,4,2
SP,Portugal,Portugal,2,14,2
QR,Italy,,0,28,0
TU,Tunisia,Italy,0,17,0
W6,Italy,United Arab Emirates,66,222,65
FR,Italy,Greece,881,1650,872
9U,Italy,Moldova,0,17,0
TK,Italy,,0,46,0
V7,Italy,Italy,1275,1143,1262
FR,Italy,France,430,792,426
LH,Italy,,0,73,0
FR,Italy,United Kingdom,645,992,639
AT,Morocco,Italy,7,29,7
FR,Italy,Malta,462,825,457
WY,Italy,,0,5,0
TU,Italy,Tunisia,0,84,0
JL,Italy,Japan,3,7,3
LA,New Zealand,Australia,1,5,1
SM,Italy,Egypt,28,218,28
IB,Spain,Italy,82,78,81
FR,Spain,Italy,441,573,437
FR,Italy,Austria,277,323,274
UX,Spain,Spain,20,24,20
WY,Italy,Thailand,5,120,5
QR,South Africa,,0,3,0
LA,Colombia,Colombia,23,21,23
FR,Italy,Republic of Ireland,218,328,216
NO,Italy,Madagascar,6,0,6
PW,Tanzania,Tanzania,0,5,0
W6,Italy,Jordan,43,75,43
AR,Argentina,Argentina,0,17,0
TK,Italy,Turkey,128,410,127
EY,Italy,India,7,15,7
AM,Italy,Mexico,0,23,0
FR,Italy,Belgium,185,258,183
IB,Italy,United States,29,52,29
KL,Italy,,8,69,8
LH,Italy,United States,213,191,211
MH,Malaysia,Malaysia,14,14,14
TG,Thailand,Thailand,21,19,21
PG,Thailand,Thailand,73,116,72
JU,Italy,Turkey,1,25,1
EK,Italy,Indonesia,21,17,21
UG,Italy,Tunisia,0,6,0
LX,Italy,United States,90,63,89
FR,Italy,Croatia,129,275,128
JU,Italy,Serbia,39,35,39
NT,Spain,Spain,0,14,0
AI,United Arab Emirates,India,0,9,0
FR,Italy,Jordan,21,64,21
AY,Italy,United States,21,36,21
AR,Italy,Argentina,0,68,0
IB,Morocco,Italy,3,13,3
AZ,United States,Italy,9,12,9
HA,United States,United States,0,21,0
TP,Italy,,0,24,0
Z2,Philippines,Philippines,0,29,0
FR,Greece,Italy,119,98,118
AY,Italy,Japan,2,2,2
KU,Italy,Philippines,4,10,4
UX,Spain,Italy,4,8,4
BX,Japan,South Korea,0,0,0
EK,Sri Lanka,Italy,0,1,0
B6,United States,United States,0,17,0
EI,Italy,United States,35,5,35
JU,Turkey,Italy,5,5,5
AZ,Italy,Egypt,6,43,6
SK,Italy,Iceland,3,83,3
AZ,Tunisia,Italy,0,7,0
AT,Italy,Morocco,54,200,53
LX,Italy,,0,22,0
IB,Spain,Switzerland,3,1,3
AZ,Italy,France,29,132,29
TK,Mauritius,Italy,0,0,0
SQ,Italy,Thailand,12,9,12
TU,France,Tunisia,0,5,0
AF,United States,Italy,5,3,5
W6,United Arab Emirates,Italy,6,19,6
CA,Italy,Japan,0,138,0
QR,Thailand,Italy,2,4,2
AC,Italy,United States,149,23,148
ET,Kenya,Italy,1,0,1
LA,Peru,Peru,5,8,5
FR,Italy,Denmark,128,260,127
PW,Kenya,Tanzania,0,0,0
IB,Spain,France,4,0,4
LG,Luxembourg,,0,1,0
AZ,Italy,Algeria,0,8,0
TW,South Korea,Japan,1,0,1
ET,Argentina,Italy,0,1,0
LY,Italy,Israel,21,13,21
UG,Tunisia,Italy,0,1,0
EK,Italy,,0,8,0
QR,Italy,Thailand,23,53,23
EW,Italy,Germany,119,126,118
QR,Croatia,,0,1,0
G3,Brazil,Brazil,0,46,0
LA,Brazil,Italy,16,40,16
UX,Italy,United States,1,4,1
CZ,Italy,Australia,3,14,3
LA,Mexico,Peru,0,1,0
SK,Italy,Sweden,8,40,8
VA,Australia,Australia,14,13,14
SQ,Italy,Philippines,3,5,3
IB,Italy,Brazil,2,2,2
4Z,South Africa,South Africa,2,2,2
AZ,United States,Dominican Republic,0,0,0
UL,Sri Lanka,Maldives,14,4,14
TK,Italy,Qatar,0,1,0
UX,Spain,Portugal,2,0,2
IB,Italy,Argentina,16,5,16
AZ,Morocco,Italy,0,0,0
KL,United States,Italy,4,1,4
UA,Italy,,10,6,10
BR,Italy,,0,5,0
FR,Italy,Romania,70,230,69
TK,Italy,United States,27,13,27
8M,Thailand,Myanmar,0,0,0
RJ,Italy,Jordan,1,15,1
AS,United States,United States,0,33,0
LH,Austria,,0,11,0
NO,Italy,Senegal,25,7,25
1L,Italy,Czech Republic,0,0,0
JQ,Australia,Indonesia,6,6,6
MS,Egypt,Italy,0,34,0
AZ,Italy,India,4,20,4
AF,United States,,0,0,0
QR,Italy,Vietnam,15,34,15
AF,Italy,,1,27,1
FR,Italy,Germany,279,377,276
BA,Italy,,33,15,33
U2,Italy,Netherlands,435,114,431
AZ,Italy,Australia,0,6,0
LH,Italy,Brazil,20,48,20
IB,Germany,Spain,2,0,2
ET,Kenya,,0,0,0
MU,Italy,Indonesia,0,12,0
FR,Austria,Spain,2,2,2
TK,Venezuela,Italy,2,15,2
FR,Italy,Bulgaria,22,33,22
LH,Switzerland,Mexico,0,1,0
AZ,Italy,Maldives,5,12,5
LO,Italy,,0,3,0
TP,France,,0,4,0
TK,Slovenia,Indonesia,0,1,0
FR,Belgium,Italy,45,60,45
UX,Italy,Spain,4,29,4
JU,Egypt,Serbia,1,1,1
KU,Italy,Malaysia,1,5,1
MS,Italy,Uganda,0,7,0
RO,Italy,Turkey,0,1,0
IB,Italy,Dominican Republic,9,15,9
RO,Romania,Italy,0,0,0
MS,Spain,Egypt,0,0,0
TG,Thailand,,1,0,1
KU,Pakistan,Italy,0,0,0
EY,Italy,,12,9,12
H2,Peru,Peru,0,24,0
BT,Italy,Latvia,10,11,10
AZ,Italy,Nigeria,0,0,0
FR,Italy,Czech Republic,99,177,98
GQ,Greece,Greece,44,50,44
FR,Austria,Italy,58,43,57
GF,India,Italy,0,1,0
JL,Italy,,0,8,0
FR,Italy,Finland,15,35,15
NP,Egypt,Saudi Arabia,0,1,0
EK,Australia,Italy,5,24,5
EY,Egypt,India,0,0,0
LX,Mexico,Italy,1,0,1
NO,Mexico,Italy,8,5,8
TU,Italy,Ivory Coast,0,4,0
LY,Israel,Italy,2,10,2
TI*,Turkey,Germany,0,3,0
JU,Belgium,Serbia,0,0,0
VY,Italy,Brazil,0,0,0
AZ,Italy,Mexico,0,60,0
FR,Italy,Poland,88,191,87
TX,France,,0,1,0
BA,Germany,Mexico,0,0,0
BA,Italy,Japan,0,0,0
FR,Italy,Hungary,130,222,129
