carrier,origin_country,destination_country,clicks_travix,clicks_competitor,clicks_airlines
AZ,Italy,Italy,675,1567,668
FR,Italy,Italy,4404,7526,4360
NO,Italy,Egypt,73,64,72
NO,Italy,Spain,22,32,22
FR,Italy,Spain,2410,4802,2386
AZ,Italy,United States,210,1063,208
LA,Italy,Brazil,9,56,9
LH,Italy,United States,79,127,78
FR,Italy,Morocco,130,333,129
AZ,Italy,Morocco,21,82,21
AZ,Italy,Tunisia,12,54,12
AZ,Italy,,0,135,0
IB,Italy,Spain,171,171,169
NO,Egypt,Italy,19,12,19
W6,Italy,Italy,500,705,495
W6,Italy,Egypt,196,203,194
V7,Italy,Italy,988,946,978
BA,Italy,United States,252,443,250
SM,Italy,Egypt,35,213,35
SM,Egypt,Italy,10,28,10
KL,Italy,United States,56,253,55
KL,Italy,Dominican Republic,2,66,2
AZ,United States,Italy,8,17,8
W6,Italy,United Arab Emirates,78,116,77
LA,Colombia,Colombia,22,18,22
AT,Italy,Morocco,34,133,34
TU,Tunisia,Italy,0,17,0
AF,Italy,Madagascar,0,10,0
AZ,Italy,Japan,53,173,52
AF,Italy,,1,40,1
KL,Italy,,11,59,11
FR,Italy,United Kingdom,425,752,421
AZ,Italy,Kenya,0,27,0
AZ,United States,United States,0,0,0
IB,Spain,Italy,55,22,54
TK,Italy,United States,9,18,9
JU,Italy,Serbia,16,12,16
KM,Malta,Italy,0,23,0
NO,Italy,United States,10,3,10
FR,Italy,Malta,304,589,301
FR,Italy,France,379,711,375
AT,Morocco,Italy,9,26,9
FR,Italy,Romania,76,191,75
W6,Italy,Romania,104,149,103
EK,Italy,United States,68,17,67
EK,Italy,,0,6,0
EY,Italy,Indonesia,43,46,43
NO,Spain,Italy,4,1,4
LH,United States,United States,0,14,0
TU,Italy,Tunisia,0,64,0
NO,Italy,Maldives,6,2,6
TP,Italy,United States,17,27,17
UG,Italy,Tunisia,0,11,0
AF,Italy,United States,89,179,88
PG,Thailand,Thailand,28,26,28
TK,Italy,,0,27,0
BA,Italy,,27,38,27
BA,United States,United States,0,2,0
TK,Italy,Malaysia,10,7,10
FR,Italy,Austria,202,255,200
AZ,Tunisia,Italy,3,6,3
AZ,Italy,Algeria,4,9,4
KU,India,Italy,0,12,0
TK,Italy,Egypt,11,14,11
3U,China,Italy,0,7,0
EK,Italy,Australia,8,16,8
EY,Saudi Arabia,Indonesia,0,6,0
EK,Italy,Indonesia,26,19,26
W6,Romania,Italy,65,71,64
AZ,Egypt,Italy,0,28,0
AZ,Italy,France,35,89,35
QR,Italy,Indonesia,33,60,33
LA,Brazil,Argentina,3,3,3
AZ,United States,Peru,0,0,0
W6,Italy,Jordan,43,48,43
NO,Italy,Senegal,10,1,10
QR,Italy,,0,24,0
IB,Italy,Brazil,3,7,3
TK,Italy,Turkey,95,254,94
BA,Italy,Japan,0,0,0
KU,Italy,Bangladesh,0,5,0
AZ,Italy,Spain,31,135,31
FR,Italy,Hungary,105,174,104
SQ,Italy,,0,3,0
W6,Italy,Albania,121,209,120
ET,Italy,Kenya,4,13,4
U2,Italy,Spain,1086,173,1075
AT,Italy,United States,1,1,1
FR,Italy,Czech Republic,74,150,73
TS,Italy,Canada,35,11,35
AS,United States,United States,0,17,0
AY,Italy,United States,36,270,36
IB,Spain,Austria,1,0,1
TP,Italy,Spain,2,9,2
