carrier,origin_country,destination_country,clicks_client,clicks_competitor,clicks_airlines
AZ,Italy,Italy,596,1603,590
FR,Italy,Italy,3805,6517,3767
NO,Italy,Egypt,134,94,133
W6,Italy,Italy,1250,1509,1238
EY,Italy,Seychelles,73,106,72
FR,Italy,Spain,2431,4605,2407
FR,Italy,Morocco,141,330,140
NO,Italy,Spain,15,30,15
LA,Italy,Brazil,18,34,18
AZ,Italy,United States,163,900,161
AZ,Italy,Morocco,12,84,12
AZ,Italy,,0,127,0
BA,Italy,United States,268,894,265
TK,Italy,Indonesia,37,45,37
AT,Italy,Morocco,38,108,38
LH,Italy,United States,90,117,89
TK,Italy,,0,42,0
AZ,Italy,France,33,131,33
LA,Colombia,Colombia,6,17,6
AZ,Italy,Tunisia,12,46,12
LH,Italy,,0,67,0
TU,Tunisia,Italy,0,6,0
NO,Italy,Maldives,7,4,7
NO,Italy,United States,18,3,18
V7,Italy,Italy,655,820,649
W6,Italy,Egypt,182,241,180
TU,Italy,Tunisia,0,103,0
SM,Egypt,Italy,3,41,3
IB,Italy,Spain,199,167,197
TP,Italy,United States,19,29,19
IB,Spain,Italy,44,29,44
AZ,Italy,Egypt,5,50,5
MS,Egypt,Egypt,0,45,0
W6,Italy,United Arab Emirates,94,91,93
UX,Spain,Spain,2,23,2
AZ,Egypt,Italy,5,12,5
AZ,United States,United States,0,2,0
BA,Italy,Japan,0,3,0
W6,Italy,Morocco,60,76,59
AF,Italy,,4,39,4
FR,Italy,Jordan,23,68,23
EI,Italy,United States,31,6,31
BA,Italy,,55,92,54
AS,United States,United States,0,35,0
LX,Italy,,0,35,0
EY,Italy,Indonesia,7,38,7
4Z,South Africa,South Africa,0,2,0
FR,Italy,Romania,101,283,100
EK,Italy,Indonesia,112,20,111
AC,Italy,Canada,24,54,24
FR,Italy,Austria,264,290,261
FR,Italy,France,363,704,359
FR,Italy,Czech Republic,148,236,147
AZ,Italy,India,12,17,12
SM,Italy,Egypt,35,201,35
KM,Malta,Italy,0,9,0
TS,Italy,Canada,32,14,32
LH,Italy,Brazil,24,69,24
FR,Italy,Malta,340,559,337
EK,United States,Italy,5,0,5
GQ,Greece,Greece,20,43,20
FR,Italy,Portugal,352,688,349
LA,Brazil,Italy,16,58,16
FR,Italy,Denmark,135,188,134
EY,Italy,,4,4,4
QR,Italy,,0,24,0
AF,Italy,United States,154,154,152
FR,Italy,Greece,689,1432,682
KL,Italy,Dominican Republic,2,16,2
EY,Italy,Pakistan,2,17,2
UX,El Salvador,Italy,0,0,0
SQ,Italy,,0,9,0
LA,Peru,Italy,0,15,0
AC,Canada,Italy,1,10,1
KU,Italy,Thailand,3,4,3
TK,Italy,United States,12,6,12
KL,Italy,,41,48,41
CM,Brazil,,0,3,0
FR,Italy,Sweden,46,110,46
SP,Portugal,Portugal,6,14,6
BR,France,Taiwan,0,0,0
AY,Italy,Japan,5,4,5
KL,United States,Italy,5,7,5
EK,Italy,Thailand,121,14,120
FR,Italy,Bulgaria,35,71,35
NO,Egypt,Italy,22,8,22
FR,Portugal,Italy,53,75,52
NO,United States,Italy,2,0,2
FR,Italy,Poland,130,182,129
TP,Italy,Brazil,33,208,33
RO,Romania,Italy,0,15,0
U2,Italy,Greece,952,164,943
KL,Italy,United States,98,214,97
BA,Switzerland,Japan,0,0,0
NO,Italy,Mexico,3,4,3
TK,Turkey,,1,1,1
LX,Switzerland,,0,4,0
BA,United States,Italy,26,6,26
AZ,Tunisia,Italy,5,0,5
U2,Italy,Spain,1022,204,1012
TP,Italy,Spain,2,9,2
1L,Germany,Turkey,0,0,0
W6,Italy,Montenegro,20,11,20
IB,Italy,United States,13,114,13
BA,Italy,Mexico,24,29,24
SK,Italy,United States,12,25,12
U2,Italy,France,1004,126,994
FR,Italy,Belgium,195,274,193
SQ,Italy,Indonesia,9,12,9
FR,Italy,Germany,201,283,199
FR,Belgium,Italy,61,54,60
