carrier,origin_country,destination_country,clicks_travix,clicks_competitor,clicks_airlines
AZ,Italy,Italy,759,2006,751
FR,Italy,Italy,5109,8407,5058
FR,Italy,Spain,3143,6248,3112
W6,Italy,Italy,1398,1370,1384
FR,Italy,Morocco,188,419,186
AZ,Italy,United States,245,1077,243
W6,Italy,Egypt,260,330,257
AZ,Italy,Tunisia,12,73,12
NO,Italy,Spain,0,52,0
LA,Italy,Brazil,28,56,28
AZ,Italy,,0,136,0
NO,Italy,United States,0,20,0
FR,Italy,France,492,832,487
KL,Italy,United States,100,366,99
SM,Italy,Egypt,66,312,65
IB,Spain,Italy,79,69,78
AZ,Morocco,Italy,8,13,8
TU,Italy,Tunisia,0,77,0
W6,Italy,Morocco,45,99,45
FR,Italy,Greece,1051,1554,1041
AZ,Italy,Spain,37,201,37
EY,Italy,Seychelles,22,38,22
NO,Spain,Italy,0,13,0
TK,Italy,,0,25,0
BA,Italy,United States,317,866,314
V7,Italy,Italy,860,761,851
W6,Italy,United Arab Emirates,133,90,132
UG,Tunisia,Italy,0,18,0
TU,Tunisia,Italy,0,28,0
LH,Italy,United States,192,174,190
LA,Colombia,Colombia,17,31,17
EK,Italy,,0,14,0
AZ,United States,Italy,10,24,10
GQ,Greece,Greece,26,33,26
FR,Italy,United Kingdom,541,800,536
AT,Italy,Morocco,43,143,43
WS,Canada,,0,5,0
IB,Italy,Spain,276,199,273
UX,Italy,Spain,10,31,10
W6,Italy,Romania,241,259,239
LG,Italy,Luxembourg,15,14,15
AF,Italy,United States,141,177,140
KL,Italy,,13,58,13
AZ,Italy,Japan,71,250,70
FR,Italy,Portugal,489,768,484
MS,Italy,Egypt,0,88,0
AF,Italy,,0,24,0
AR,Argentina,Argentina,0,3,0
FR,Italy,Belgium,238,417,236
FR,Italy,Germany,219,363,217
EK,Italy,Indonesia,113,24,112
UX,Spain,Spain,7,20,7
W6,Italy,Jordan,59,79,58
TP,Italy,United States,5,37,5
FR,Italy,Austria,232,377,230
SM,Egypt,Italy,19,58,19
LA,Peru,Peru,2,14,2
FR,Italy,Malta,408,763,404
TU,France,Tunisia,0,5,0
LH,Italy,Canada,12,37,12
LH,Italy,Argentina,11,15,11
WT,Spain,Spain,0,7,0
AS,United States,United States,0,12,0
LH,Italy,,0,71,0
TK,Italy,Singapore,15,31,15
AZ,Germany,Italy,18,41,18
BA,Italy,,41,73,41
UG,Italy,Tunisia,0,7,0
KM,Malta,Italy,0,22,0
FR,Belgium,Italy,53,91,52
G3,Brazil,Brazil,0,25,0
KL,Italy,Dominican Republic,4,33,4
AZ,Italy,Brazil,18,67,18
BA,Italy,Brazil,0,0,0
W6,Italy,Spain,413,680,409
TK,Italy,Indonesia,8,38,8
FR,Portugal,Portugal,17,15,17
RJ,Italy,Egypt,2,4,2
AC,Italy,,0,5,0
JL,Italy,Japan,5,5,5
W6,Italy,Albania,328,448,325
FR,Spain,Italy,523,540,518
FR,Malta,Italy,64,50,63
LG,Luxembourg,Italy,6,7,6
AZ,Italy,Mexico,0,37,0
FR,Morocco,Spain,10,6,10
LA,Brazil,Italy,16,69,16
JL,South Korea,Japan,0,1,0
FR,Germany,Italy,65,115,64
AZ,Italy,Egypt,14,39,14
PG,Thailand,Thailand,60,72,59
LA,Italy,Colombia,0,23,0
TK,Italy,Thailand,4,34,4
IB,Italy,United States,31,177,31
TK,Italy,United States,7,21,7
LA,Brazil,Spain,0,9,0
FR,Israel,Italy,6,12,6
CX,Switzerland,Hong Kong,1,1,1
UX,Italy,Dominican Republic,23,59,23
FR,Italy,Hungary,171,271,169
FR,Italy,Romania,112,315,111
EY,Italy,Maldives,3,7,3
LH,Italy,Germany,206,265,204
TK,United States,Italy,2,2,2
TP,Italy,,0,21,0
LH,United Kingdom,Costa Rica,0,0,0
NO,Italy,Maldives,0,5,0
LX,Italy,,0,37,0
QR,Italy,,0,41,0
UP,United States,The Bahamas,0,3,0
TK,Egypt,Cyprus,0,3,0
AF,Italy,Mexico,13,18,13
FR,Italy,Croatia,92,230,91
FR,Italy,Jordan,42,82,42
VS,France,,0,0,0
MH,Malaysia,Malaysia,5,16,5
AC,Italy,Canada,14,109,14
FR,Poland,Italy,30,69,30
FR,Italy,Netherlands,66,167,65
FR,Bulgaria,Italy,13,53,13
QR,Italy,Bangladesh,3,4,3
NH,Japan,Japan,0,5,0
TP,Portugal,Portugal,1,6,1
FR,Italy,Czech Republic,129,285,128
FR,France,Italy,64,93,63
BA,Italy,Japan,1,1,1
FR,Morocco,Italy,80,119,79
LA,Italy,,0,4,0
BA,United States,United States,0,5,0
SQ,Italy,Philippines,0,2,0
QR,Switzerland,Indonesia,2,0,2
EK,United Arab Emirates,Italy,11,5,11
AI,India,India,0,8,0
