carrier,origin_country,destination_country,clicks_client,clicks_competitor,clicks_airlines
AZ,Italy,Italy,608,1505,602
FR,Italy,Italy,4258,7468,4216
FR,Italy,Spain,2210,4620,2188
W6,Italy,Italy,1025,1184,1015
FR,Italy,Morocco,134,264,133
NO,Italy,Egypt,74,37,73
NO,Italy,Spain,26,26,26
LA,Italy,Brazil,7,56,7
DX,Italy,Italy,0,126,0
AZ,Italy,Morocco,25,76,25
EK,Italy,Indonesia,67,53,66
AZ,Italy,,0,87,0
W6,Italy,Egypt,182,199,180
TU,Italy,Tunisia,0,53,0
AZ,Italy,United States,210,726,208
IB,Italy,Spain,207,172,205
W6,Italy,Morocco,56,64,55
V7,Italy,Italy,744,651,737
EK,Italy,,0,7,0
AZ,Italy,Tunisia,10,48,10
AT,Italy,Morocco,45,99,45
EY,Italy,Seychelles,41,34,41
SQ,United Arab Emirates,Indonesia,4,7,4
UG,Italy,Tunisia,0,11,0
LH,Italy,Germany,194,303,192
W6,Italy,United Arab Emirates,79,68,78
FR,Italy,Greece,551,1239,546
TU,Tunisia,Italy,0,11,0
NO,Egypt,Italy,22,4,22
BA,Italy,United States,216,481,214
TK,Italy,Turkey,109,253,108
FR,Italy,Poland,84,160,83
QR,Italy,,0,22,0
SM,Egypt,Italy,9,35,9
AF,Italy,,0,22,0
AY,Italy,,0,5,0
FR,Italy,Croatia,81,162,80
W6,Italy,Jordan,39,46,39
FR,Italy,Belgium,212,226,210
H2,Peru,Peru,0,2,0
FR,Italy,Germany,251,315,249
AT,Morocco,Italy,14,16,14
SM,Italy,Egypt,46,227,46
U2,Italy,Italy,1706,264,1689
KM,Malta,Italy,0,27,0
EI,Italy,United States,21,10,21
LH,Italy,Sri Lanka,0,1,0
FR,Italy,France,397,621,393
FR,Italy,Malta,358,742,354
TK,Italy,Australia,0,23,0
NO,United States,Italy,4,0,4
ET,Italy,,0,10,0
LH,Italy,United States,120,142,119
KL,Italy,,4,33,4
AZ,Italy,Spain,24,126,24
