carrier,origin_country,destination_country,clicks_client,clicks_competitor,clicks_airlines
AZ,Italy,Italy,798,1818,790
FR,Italy,Italy,3792,6153,3754
FR,Italy,Morocco,186,314,184
NO,Italy,Egypt,28,43,28
AZ,Italy,United States,169,842,167
LA,Italy,Brazil,19,42,19
FR,Italy,Spain,1849,2990,1831
W4,Italy,Austria,111,173,110
V7,Italy,Italy,718,774,711
NO,Italy,Spain,20,22,20
TU,Tunisia,Italy,0,15,0
FR,Italy,Austria,170,336,168
W6,Italy,Egypt,195,267,193
G3,Brazil,Brazil,0,27,0
AZ,Italy,Morocco,9,40,9
IB,Italy,Spain,179,135,177
IB,Italy,Argentina,14,11,14
FR,Italy,Malta,317,530,314
FR,Italy,Hungary,125,583,124
1L,Italy,Hungary,0,0,0
FR,Italy,Greece,594,814,588
W6,Italy,Jordan,68,46,67
JU,Italy,Serbia,34,55,34
NO,Italy,United States,17,10,17
LH,Italy,United States,124,164,123
AS,United States,United States,0,34,0
UG,Tunisia,Italy,0,1,0
AZ,Italy,,0,85,0
U2,Italy,Italy,1609,264,1593
JU,Italy,Turkey,18,52,18
AZ,Italy,Tunisia,7,35,7
SN,Italy,,0,5,0
TK,Italy,Turkey,108,209,107
TP,Italy,United States,14,49,14
FR,Italy,Romania,80,189,79
FR,Italy,United Kingdom,387,498,383
TK,Italy,,0,20,0
AT,Morocco,Italy,11,34,11
FR,Italy,France,256,376,253
FR,Spain,Italy,384,341,380
LX,Italy,United States,35,53,35
TU,Italy,Tunisia,0,74,0
TU,France,Tunisia,0,12,0
1L,Italy,Spain,0,0,0
W6,Italy,United Arab Emirates,35,103,35
NO,Italy,Senegal,13,16,13
W4,Italy,Italy,1585,1695,1569
SV,Italy,Malaysia,1,4,1
MU,France,China,0,3,0
FR,Belgium,Italy,44,63,44
CX,Italy,Taiwan,1,0,1
U2,Italy,Spain,984,241,974
NO,Italy,Dominican Republic,4,16,4
1L,Italy,Italy,0,0,0
G3,Brazil,,0,3,0
KM,Malta,Italy,0,28,0
ET,Tanzania,Italy,3,14,3
NO,Italy,Mexico,4,5,4
TU,Italy,Senegal,0,2,0
MS,Egypt,Egypt,0,22,0
UG,Italy,Tunisia,0,7,0
W6,Italy,France,99,120,98
MU,Italy,Indonesia,0,23,0
IB,Spain,Italy,67,33,66
W6,Italy,Hungary,725,483,718
VY,Italy,Brazil,0,2,0
CA,Italy,Cambodia,0,4,0
V7,Italy,Greece,392,426,388
EK,Italy,,0,8,0
LA,Peru,Peru,7,2,7
AZ,Tunisia,Italy,5,7,5
FR,Italy,Czech Republic,129,367,128
JU,Serbia,Italy,15,20,15
BA,Italy,Japan,0,1,0
AZ,Italy,Indonesia,0,7,0
G3,Brazil,Argentina,0,4,0
FR,Italy,Poland,108,175,107
AZ,Italy,Egypt,5,32,5
AF,Italy,United States,90,263,89
FR,Spain,Spain,57,45,56
1L,Italy,Austria,0,0,0
W6,Italy,Czech Republic,193,380,191
JU,Turkey,Italy,4,13,4
FR,Italy,Germany,199,256,197
MU,Italy,Australia,0,18,0
FR,Italy,Denmark,87,111,86
SM,Italy,Egypt,24,130,24
U2,Italy,France,734,132,727
TK,France,,0,0,0
MH,Malaysia,Malaysia,5,3,5
WY,Italy,Philippines,0,64,0
QR,Italy,Thailand,40,94,40
TG,Thailand,Thailand,0,5,0
EI,Italy,United States,32,11,32
BA,Germany,Mexico,2,1,2
EK,United States,Italy,6,2,6
NO,Italy,Madagascar,1,2,1
XQ,Turkey,Switzerland,0,7,0
EY,Italy,Maldives,10,18,10
H6,Italy,Hungary,0,37,0
SK,Denmark,Italy,1,3,1
LH,Italy,India,7,20,7
VY,Spain,Spain,86,28,85
FR,France,Spain,18,20,18
UX,Portugal,Spain,0,0,0
EY,Italy,,1,0,1
JL,Italy,Japan,4,2,4
LH,Italy,,0,31,0
FR,Greece,Italy,74,75,73
SK,Italy,Sweden,8,22,8
MU,Australia,Italy,0,5,0
IB,Italy,Brazil,1,6,1
RA,Nepal,India,0,0,0
QR,Italy,Australia,4,46,4
TU,Italy,Niger,0,4,0
JU,Italy,,2,1,2
CA,Italy,Thailand,0,11,0
HF,Ivory Coast,Ivory Coast,0,3,0
AZ,United States,Italy,8,9,8
AV,Italy,Colombia,0,1,0
AF,United States,Italy,11,10,11
TG,Indonesia,Italy,0,0,0
RJ,United Arab Emirates,Italy,0,3,0
SQ,Spain,Italy,0,0,0
AZ,Italy,Japan,50,138,50
FR,Italy,Portugal,238,364,236
KL,United States,Italy,3,13,3
FR,Italy,Belgium,144,185,143
LG,Italy,Luxembourg,3,2,3
IB,Italy,United States,4,33,4
SQ,Australia,Senegal,0,0,0
NO,United States,Italy,7,8,7
TC,Tanzania,Tanzania,0,5,0
KU,Italy,India,1,2,1
AF,Italy,Mexico,15,9,15
1L,Italy,United Kingdom,0,0,0
QR,Italy,Pakistan,1,8,1
DY,Italy,Denmark,0,77,0
LA,Italy,Argentina,4,1,4
SV,Italy,Philippines,1,15,1
OD,Indonesia,Malaysia,0,3,0
SK,Sweden,Norway,2,0,2
CI,Italy,Indonesia,0,9,0
AT,Italy,Morocco,49,149,49
1L,Italy,Greece,0,0,0
AI,India,India,0,7,0
BR,Italy,,0,0,0
EW,Italy,France,0,4,0
AF,France,United States,2,17,2
EK,Italy,Maldives,11,8,11
IB,Costa Rica,Italy,0,5,0
MS,Italy,Lebanon,0,4,0
IB,Portugal,Italy,2,1,2
TK,Italy,Georgia,7,2,7
FD,Indonesia,Thailand,0,6,0
SV,Switzerland,United Arab Emirates,0,1,0
AZ,Colombia,Italy,0,0,0
AR,Argentina,Argentina,0,5,0
