carrier,origin_country,destination_country,clicks_client,clicks_competitor,clicks_airlines
AZ,Italy,Italy,376,887,372
FR,Italy,Italy,3203,5022,3171
NO,Italy,Egypt,67,44,66
FR,Italy,Spain,1825,3460,1807
NO,Italy,Spain,27,29,27
AZ,Italy,,0,146,0
FR,Italy,Morocco,107,236,106
LA,Italy,Brazil,23,50,23
AZ,Italy,Morocco,25,50,25
AZ,Italy,United States,129,740,128
TU,Italy,Tunisia,0,55,0
W6,Italy,Egypt,147,170,146
AZ,Italy,Tunisia,5,43,5
AT,Morocco,Italy,5,18,5
AT,Italy,Morocco,18,53,18
BA,Italy,United States,160,377,158
NO,Egypt,Italy,36,9,36
AZ,United States,Italy,11,11,11
IB,Italy,Portugal,10,5,10
TK,Italy,Niger,0,2,0
FR,Italy,Denmark,113,180,112
EK,Italy,,0,10,0
TU,Tunisia,Italy,0,10,0
LA,Peru,Peru,1,10,1
SM,Italy,Egypt,34,150,34
W6,Italy,Italy,305,523,302
IB,Italy,,0,2,0
TP,Italy,United States,9,14,9
LH,Italy,United States,56,107,55
TU,France,Tunisia,0,10,0
IB,Spain,Italy,37,26,37
CM,Panama,,0,1,0
KU,Italy,Philippines,8,21,8
W6,Italy,United Arab Emirates,53,74,52
NO,Italy,United States,15,4,15
KM,Malta,Italy,0,15,0
TK,Italy,,0,27,0
AC,Italy,Canada,6,45,6
LX,Italy,United States,20,48,20
IB,Italy,Spain,134,99,133
FR,Italy,Germany,154,210,152
FR,Italy,United Kingdom,325,522,322
QR,Italy,Thailand,13,29,13
FR,Italy,Greece,628,1044,622
FR,Italy,Malta,219,446,217
UA,Italy,Canada,0,10,0
NO,Italy,Dominican Republic,3,0,3
EK,Malaysia,Italy,0,2,0
AF,Italy,,4,20,4
BA,Italy,,14,56,14
AH,Italy,Algeria,0,4,0
KL,Italy,Dominican Republic,0,55,0
PR,Philippines,Philippines,1,1,1
FR,Italy,Portugal,297,443,294
FR,Spain,Italy,295,312,292
LA,Colombia,Colombia,2,4,2
BR,Indonesia,Italy,0,1,0
V7,Italy,Italy,637,561,631
QR,Italy,Singapore,7,5,7
MS,Italy,Egypt,0,87,0
AZ,Italy,France,25,98,25
TK,Italy,Thailand,12,21,12
JL,Italy,Japan,2,2,2
UG,Italy,Tunisia,0,0,0
KL,Italy,United States,22,210,22
BA,United States,United States,0,2,0
LH,United States,United States,0,14,0
AZ,United States,,0,1,0
LH,Belgium,,0,0,0
AI,France,,0,0,0
W6,United Arab Emirates,Italy,7,11,7
TK,Italy,United States,8,4,8
LA,Italy,,0,17,0
JU,Greece,Serbia,1,4,1
NO,Spain,Italy,0,1,0
TS,Italy,Canada,40,8,40
UU,France,Réunion,0,1,0
3U,China,Italy,0,4,0
W6,Italy,Serbia,3,2,3
FR,Italy,Belgium,113,208,112
FR,Malta,Italy,16,34,16
AZ,Italy,Malaysia,0,1,0
U2,Italy,Spain,723,102,716
ET,Madagascar,Italy,6,2,6
W6,Italy,Jordan,30,38,30
AZ,Italy,Spain,27,131,27
AZ,Italy,Israel,2,5,2
UX,Guatemala,Italy,0,0,0
VJ,Thailand,Vietnam,0,2,0
SM,Egypt,Italy,7,24,7
SQ,Italy,Thailand,15,13,15
AZ,Egypt,Italy,2,19,2
TP,Switzerland,,0,0,0
EY,Italy,Indonesia,32,34,32
LH,Italy,Mexico,0,8,0
TK,Italy,Turkey,103,202,102
SK,Italy,,0,3,0
NO,Italy,Madagascar,11,0,11
TK,Singapore,,0,0,0
FR,Italy,Poland,73,126,72
JU,Italy,Serbia,7,7,7
AI,India,India,0,5,0
WY,Italy,Thailand,5,44,5
AT,Italy,Nigeria,0,1,0
AZ,Italy,Algeria,2,10,2
KM,Italy,Spain,0,2,0
W6,Italy,Spain,90,220,89
TP,Italy,Morocco,4,5,4
NO,Italy,Maldives,6,6,6
AM,United States,Mexico,0,4,0
JU,Italy,Egypt,0,6,0
UX,Italy,,0,2,0
ET,Democratic Republic of the Congo,Democratic Republic of the Congo,0,0,0
CA,Italy,Japan,0,72,0
BA,Switzerland,United States,1,2,1
XK,France,France,0,0,0
TP,United States,Italy,5,3,5
BA,Argentina,Spain,0,0,0
VA,Australia,Australia,8,3,8
UK,India,India,3,4,3
TK,Italy,Indonesia,16,12,16
SQ,Italy,Indonesia,3,3,3
A3,United Kingdom,Greece,2,0,2
QR,Italy,Philippines,0,5,0
AF,Italy,United States,28,101,28
ET,Italy,,0,0,0
IB,Italy,Costa Rica,6,6,6
EY,Italy,,2,9,2
FZ,Pakistan,Italy,1,20,1
AH,France,Algeria,0,6,0
SK,Italy,Canada,0,2,0
NT,Spain,Western Sahara,0,0,0
EI,Italy,Republic of Ireland,0,19,0
LH,Italy,Brazil,10,15,10
ET,Kenya,Italy,1,0,1
ME,Cyprus,Lebanon,0,0,0
LH,Switzerland,United States,0,4,0
UG,Tunisia,Italy,0,0,0
TK,Italy,Singapore,1,5,1
LO,Italy,Egypt,0,1,0
NP,Egypt,Egypt,0,3,0
EY,Italy,Singapore,13,9,13
KL,Italy,,17,25,17
FR,Spain,Spain,57,29,56
OD,Malaysia,Indonesia,0,1,0
AZ,Switzerland,United States,0,0,0
QZ,Indonesia,Malaysia,0,3,0
TK,Italy,Malaysia,3,10,3
AY,Italy,Japan,0,6,0
CA,Singapore,Italy,0,0,0
PD,Canada,United States,2,1,2
TS,Canada,,0,1,0
LH,Italy,Canada,7,18,7
MU,Italy,Australia,0,9,0
LH,Italy,,0,34,0
PR,Australia,Philippines,0,0,0
AZ,Morocco,Italy,0,0,0
LO,Italy,South Korea,0,18,0
AZ,Italy,Japan,41,168,41
ID,Singapore,Indonesia,0,1,0
OD,Thailand,Malaysia,0,2,0
AZ,Belgium,Algeria,0,0,0
NO,Italy,Senegal,21,3,21
BA,Italy,Japan,0,2,0
LH,United States,Jamaica,0,0,0
FR,Portugal,Portugal,9,2,9
S4,Portugal,Portugal,0,4,0
SK,United States,Italy,0,1,0
IB,Italy,Chile,6,3,6
BA,Mexico,Italy,2,2,2
TU,Spain,Tunisia,0,0,0
AZ,Italy,Kenya,0,10,0
NO,United States,Italy,5,0,5
TU,Tunisia,,0,0,0
EK,Italy,Indonesia,28,20,28
EK,Italy,Australia,9,13,9
FI,Italy,United States,0,0,0
CM,Nicaragua,Italy,0,1,0
EY,Italy,United Arab Emirates,16,4,16
AZ,Tunisia,Italy,5,4,5
EK,Italy,Mauritius,1,55,1
QR,Italy,Australia,3,5,3
VY,Italy,Brazil,0,1,0
DT,Angola,Namibia,0,0,0
WY,Italy,India,0,0,0
TN,United States,French Polynesia,0,0,0
ME,Turkey,Lebanon,0,1,0
PR,Philippines,Singapore,0,1,0
KL,Italy,El Salvador,0,6,0
MU,Italy,Indonesia,0,9,0
AT,Spain,Nigeria,0,0,0
W6,Italy,Morocco,6,13,6
W6,Italy,Hungary,81,70,80
LJ,South Korea,Taiwan,1,1,1
FR,Italy,Hungary,68,91,67
LA,Peru,Brazil,0,4,0
AC,United States,Canada,0,11,0
9X,United States,United States,0,0,0
FR,Italy,Cyprus,27,46,27
LH,Switzerland,,0,0,0
BR,Italy,,0,0,0
TK,Germany,Pakistan,0,0,0
KM,Italy,Germany,0,1,0
RJ,Italy,Thailand,1,8,1
LO,Poland,Italy,3,8,3
LA,Argentina,Chile,0,4,0
AZ,Italy,El Salvador,0,0,0
SK,Italy,Sweden,5,5,5
GQ,Cyprus,Italy,0,0,0
AZ,Israel,Italy,5,7,5
4Z,South Africa,South Africa,2,0,2
CZ,Italy,Vietnam,0,1,0
BA,Italy,Spain,0,0,0
IB,Spain,Greece,0,0,0
LH,Mexico,,0,0,0
AD,Brazil,Brazil,0,25,0
QR,Italy,,0,8,0
TU,France,,0,0,0
LH,United States,Saint Barthélemy,0,0,0
KQ,United Arab Emirates,,0,0,0
UL,Italy,Sri Lanka,0,0,0
FR,Germany,Italy,40,60,40
AZ,Spain,Mexico,0,0,0
W6,Italy,Albania,71,139,70
IB,Spain,Spain,13,7,13
EI,Italy,United States,0,17,0
AI,Italy,Thailand,0,46,0
AR,Italy,Argentina,0,61,0
CA,United Arab Emirates,China,0,1,0
TP,Portugal,Portugal,1,3,1
AT,Morocco,France,0,3,0
AC,Italy,,0,3,0
RA,India,Nepal,0,0,0
SQ,India,South Korea,0,0,0
FR,Italy,Jordan,18,39,18
UX,Italy,Peru,6,30,6
ET,Argentina,Italy,1,1,1
SQ,Spain,Italy,3,3,3
IB,Italy,Senegal,3,3,3
TU,Tunisia,France,0,8,0
AY,Italy,United States,23,259,23
EY,Italy,Sri Lanka,5,3,5
CI,Japan,Netherlands,2,1,2
JL,Japan,Japan,6,0,6
LA,Switzerland,Brazil,0,1,0
LH,Italy,Sweden,18,25,18
BA,United States,New Zealand,0,0,0
SV,Italy,,8,2,8
WY,Italy,,0,1,0
TG,Thailand,Thailand,7,4,7
Z2,Thailand,Philippines,0,0,0
MH,Italy,Malaysia,0,24,0
AT,Morocco,Belgium,0,0,0
NO,Spain,Spain,0,0,0
PG,Thailand,Thailand,32,48,32
CZ,Italy,Australia,0,5,0
EK,Italy,Philippines,3,2,3
KM,Italy,France,0,0,0
TP,Italy,Senegal,3,4,3
EY,Pakistan,Italy,0,0,0
AZ,France,Italy,8,6,8
QF,Indonesia,Australia,0,3,0
LX,Italy,,0,17,0
AF,Italy,Brazil,10,17,10
SV,Italy,Oman,0,8,0
KL,Italy,China,7,1,7
MS,South Africa,Italy,0,2,0
LA,United States,Colombia,0,2,0
AC,Italy,Australia,0,1,0
AS,Mexico,United States,0,1,0
KP,Mali,,0,1,0
HV,Italy,Portugal,0,2,0
VY,Sweden,Spain,1,0,1
MH,Thailand,Indonesia,0,1,0
5F,Italy,Moldova,0,9,0
VY,Germany,Morocco,0,4,0
AR,Argentina,Spain,0,1,0
EY,Saudi Arabia,United Arab Emirates,0,2,0
LH,Romania,Italy,1,0,1
TS,Canada,Canada,1,0,1
MS,Saudi Arabia,Italy,0,2,0
U2,United Kingdom,Spain,1,0,1
6E,Italy,Turkey,1,0,1
NZ,New Zealand,New Zealand,3,0,3
VN,Thailand,Vietnam,1,0,1
VY,Portugal,Spain,5,0,5
AZ,Italy,Netherlands,20,57,20
W6,Italy,Greece,104,170,103
TK,Italy,Ethiopia,3,1,3
QR,Italy,Qatar,2,9,2
AF,United States,French Polynesia,1,0,1
SQ,Malaysia,Italy,0,1,0
LH,United States,Canada,0,1,0
LS,United Kingdom,Spain,0,1,0
WE,Thailand,Vietnam,0,1,0
DY,Germany,Sweden,0,2,0
FR,Poland,United Kingdom,0,1,0
TF,Sweden,Sweden,1,1,1
VB,Cuba,Mexico,6,0,6
LH,Italy,Italy,0,3,0
W4,Croatia,Italy,1,0,1
NO,Italy,Cuba,14,3,14
AI,Oman,Japan,0,1,0
W9,United Kingdom,Albania,3,2,3
GF,Italy,Saudi Arabia,0,2,0
IB,Italy,Morocco,1,1,1
DL,Cuba,United States,2,0,2
LH,Italy,Portugal,3,0,3
WY,Italy,Oman,1,1,1
LX,Italy,Peru,0,1,0
FR,United Kingdom,Sweden,1,0,1
EW,Iceland,Germany,0,1,0
W4,United Kingdom,Italy,18,8,18
VN,Malaysia,Vietnam,0,1,0
LX,Italy,Egypt,0,3,0
N0,United States,Italy,10,5,10
JQ,Japan,Australia,0,3,0
EK,Italy,Sri Lanka,1,5,1
V7,Italy,Cuba,0,1,0
KL,Italy,Finland,4,0,4
JU,Italy,Croatia,1,1,1
BA,Germany,United Kingdom,1,0,1
GF,Italy,United Arab Emirates,0,1,0
W6,Hungary,Spain,1,0,1
VY,France,Morocco,1,0,1
DE,Mexico,Italy,0,1,0
FR,Latvia,Italy,5,9,5
LO,Italy,India,0,8,0
IB,Italy,Cuba,17,10,17
W4,Germany,Italy,4,2,4
U2,Portugal,Italy,53,7,52
LH,Netherlands,Italy,3,1,3
LH,Germany,Albania,2,1,2
TR,Australia,Greece,0,1,0
DY,Italy,Finland,0,4,0
W6,Italy,Thailand,0,8,0
IB,United States,United Kingdom,0,1,0
U2,Italy,United Arab Emirates,0,1,0
BA,Italy,Canada,0,1,0
BA,Switzerland,Canada,2,0,2
BA,Argentina,United Kingdom,0,1,0
HY,South Korea,Uzbekistan,0,2,0
W4,Sweden,Albania,1,0,1
J9,Kuwait,Egypt,1,0,1
FR,United Kingdom,Netherlands,1,0,1
AF,Peru,Italy,3,6,3
FR,Italy,Canada,0,1,0
UX,Italy,Tunisia,0,1,0
PC,Egypt,Italy,0,1,0
VY,Italy,Morocco,0,4,0
AM,Spain,Mexico,0,1,0
DL,United States,United States,70,0,69
OS,Italy,Japan,1,5,1
CI,Taiwan,Italy,0,2,0
W6,Albania,Germany,0,5,0
KL,Italy,Denmark,4,3,4
AF,Germany,Argentina,1,0,1
TP,Portugal,United States,0,1,0
FR,Lithuania,Italy,2,2,2
W6,Germany,Bulgaria,1,1,1
FR,Belgium,Greece,1,0,1
BZ,Israel,Italy,3,0,3
W6,Republic of Kosovo,Italy,0,1,0
N0,United States,,0,2,0
4Y,Kenya,Italy,0,1,0
TK,Slovenia,Turkey,1,2,1
DE,Germany,Dominican Republic,0,1,0
VY,France,Spain,6,8,6
U2,Denmark,Italy,6,0,6
OS,Italy,United States,1,7,1
KL,Argentina,Italy,0,3,0
AK,Malaysia,Thailand,0,2,0
SQ,Vietnam,Italy,0,1,0
TR,Singapore,Australia,0,4,0
AF,Italy,Vietnam,1,0,1
TR,Thailand,Singapore,1,0,1
W4,Italy,Denmark,0,2,0
LX,Italy,Australia,0,1,0
BX,South Korea,South Korea,0,2,0
HM,Seychelles,Seychelles,0,1,0
W4,Italy,Armenia,11,3,11
EY,Italy,South Korea,5,1,5
LG,Italy,Cape Verde,0,2,0
FD,Thailand,Indonesia,0,5,0
UA,United States,,4,1,4
AC,Canada,United States,1,6,1
NO,Italy,,0,4,0
FB,Italy,,0,1,0
AV,Argentina,Spain,0,2,0
SN,Italy,Mexico,0,1,0
EI,Spain,Republic of Ireland,0,2,0
2B,Italy,Italy,0,1,0
FR,Germany,Albania,0,1,0
WY,Thailand,Italy,0,1,0
U2,France,Denmark,1,2,1
QH,Vietnam,Vietnam,2,0,2
U2,Switzerland,Italy,15,0,15
IB,Spain,,0,8,0
U2,France,Italy,143,13,142
MU,China,Italy,0,3,0
W4,Italy,,0,8,0
W4,Italy,Estonia,3,4,3
SQ,Japan,Italy,1,3,1
FR,Sweden,Spain,2,1,2
W6,Netherlands,Republic of Macedonia,0,1,0
JU,Denmark,Italy,1,0,1
VR,Cape Verde,Italy,0,1,0
AI,India,Nepal,0,2,0
KL,Italy,India,0,1,0
IQ,Kazakhstan,Kazakhstan,2,0,2
W9,France,United Kingdom,7,2,7
LH,Italy,Namibia,1,4,1
IB,Spain,Portugal,2,1,2
AK,Malaysia,Singapore,0,7,0
DL,Italy,,14,0,14
VS,Pakistan,United Kingdom,1,0,1
SQ,Italy,Malaysia,1,1,1
BT,Norway,Latvia,2,0,2
FR,Italy,Cape Verde,0,4,0
XY,Saudi Arabia,United Arab Emirates,1,0,1
LA,Brazil,Puerto Rico,0,1,0
CZ,Spain,Philippines,0,1,0
ET,Italy,Benin,6,1,6
TP,France,Portugal,0,5,0
W6,Italy,Pakistan,0,9,0
OS,Italy,Cyprus,2,1,2
TK,Italy,Sri Lanka,5,1,5
KE,Italy,Cambodia,1,2,1
VS,United Kingdom,Jamaica,0,1,0
JY,Cuba,Dominican Republic,0,1,0
AF,France,Guadeloupe,1,1,1
AP,Italy,Greece,0,1,0
U2,Italy,Germany,72,3,71
QR,Italy,South Africa,0,2,0
AY,Italy,Norway,3,0,3
NH,Japan,Japan,0,2,0
TK,Italy,Lebanon,1,9,1
MS,Egypt,Turkey,0,3,0
KL,Brazil,Italy,0,1,0
KM,Italy,Cyprus,0,3,0
DL,Italy,Jamaica,1,0,1
OS,Italy,Austria,45,61,45
CA,China,Italy,0,1,0
SV,Italy,Pakistan,3,4,3
AF,Italy,Guadeloupe,3,5,3
SZ,Tajikistan,Italy,0,1,0
VN,Italy,Vietnam,0,5,0
TK,Italy,Australia,0,6,0
AT,Italy,Senegal,1,5,1
EI,United States,Italy,0,2,0
CY,Cyprus,Italy,2,2,2
DY,Latvia,Sweden,0,1,0
U2,Italy,Italy,1226,79,1214
KL,Netherlands,Italy,4,5,4
QZ,Singapore,Indonesia,0,22,0
OS,Italy,Greece,2,6,2
UX,Cuba,Italy,1,2,1
VB,Mexico,Mexico,10,3,10
U2,Netherlands,Spain,1,0,1
OS,Austria,Romania,0,1,0
JQ,Singapore,Australia,1,0,1
LH,Germany,United Kingdom,1,0,1
HC,Ivory Coast,Italy,0,1,0
AF,Italy,Barbados,0,1,0
SM,Egypt,Saudi Arabia,0,1,0
DY,Italy,Norway,0,41,0
WY,Italy,Cambodia,0,1,0
TK,Italy,Egypt,10,12,10
AC,Italy,Dominican Republic,0,1,0
W6,Poland,Italy,10,11,10
AF,Ivory Coast,Italy,0,2,0
EK,Italy,Uganda,1,1,1
U2,Italy,Réunion,0,2,0
AV,Argentina,,0,1,0
LO,Germany,Turkey,1,0,1
OS,Italy,Cape Verde,0,1,0
6E,India,Italy,0,5,0
MS,Italy,Nigeria,0,2,0
U2,Switzerland,United Kingdom,1,0,1
TK,India,Italy,1,0,1
EW,Italy,Norway,0,2,0
UK,India,Thailand,1,0,1
LH,Germany,Romania,1,0,1
W4,Italy,Iceland,43,10,43
EK,Slovenia,Thailand,2,0,2
TP,United States,Spain,0,2,0
UA,Switzerland,,2,1,2
MU,Indonesia,Italy,0,1,0
SN,Belgium,United Kingdom,0,1,0
FR,Italy,Czech Republic,81,96,80
FR,Italy,Japan,0,12,0
MH,Malaysia,Malaysia,1,0,1
LH,Bulgaria,Germany,0,1,0
AZ,United Kingdom,Italy,4,7,4
G9,United Arab Emirates,India,1,1,1
TK,Italy,Nigeria,0,4,0
IB,Germany,Mexico,0,1,0
