carrier,origin_country,destination_country,clicks_travix,clicks_competitor,clicks_airlines
AZ,Italy,Italy,494,1410,489
FR,Italy,Italy,3323,5460,3290
W6,Italy,Italy,1220,1395,1208
FR,Italy,Spain,1986,3982,1966
NO,Italy,Egypt,78,55,77
FR,Italy,Morocco,140,248,139
W6,Italy,Egypt,195,188,193
LA,Italy,Brazil,8,37,8
AZ,Italy,United States,139,767,138
AZ,Italy,,0,102,0
AZ,Italy,Tunisia,4,28,4
AZ,Italy,Morocco,10,63,10
EY,Italy,Seychelles,57,55,56
NO,Italy,Spain,24,18,24
BA,Italy,United States,209,637,207
LH,Italy,United States,97,105,96
AT,Italy,Morocco,30,100,30
EY,Italy,Indonesia,14,27,14
V7,Italy,Italy,611,481,605
AZ,Italy,Spain,41,143,41
AZ,United States,United States,0,0,0
SM,Egypt,Italy,8,33,8
AZ,Tunisia,Italy,12,10,12
IB,Italy,Spain,141,119,140
AZ,Italy,Brazil,15,77,15
FR,Italy,Poland,82,141,81
AZ,Italy,Egypt,6,46,6
QR,Italy,,0,19,0
SM,Italy,Egypt,38,166,38
FR,Italy,France,300,508,297
S4,Portugal,Portugal,0,6,0
W6,Italy,Morocco,49,56,49
TK,Italy,,0,24,0
EK,Italy,Australia,14,10,14
TU,Tunisia,Italy,0,7,0
IB,Spain,Italy,40,23,40
FR,Italy,Romania,85,156,84
UG,Tunisia,Italy,0,1,0
KL,Italy,United States,94,197,93
W6,Italy,United Arab Emirates,67,66,66
LA,Ecuador,Ecuador,0,3,0
EK,Italy,Indonesia,75,13,74
TU,Italy,Tunisia,0,66,0
FR,Italy,Jordan,31,34,31
W6,Italy,Spain,344,582,341
UP,United States,The Bahamas,0,2,0
AY,Italy,United States,9,39,9
FR,Italy,Sweden,55,89,54
KL,Italy,Dominican Republic,4,23,4
LG,Luxembourg,Italy,6,1,6
TP,Portugal,Portugal,4,7,4
FR,Italy,Greece,447,1032,443
SQ,Italy,Indonesia,2,5,2
EK,Philippines,Italy,0,0,0
W6,Italy,Jordan,47,44,47
LH,Italy,,0,42,0
AZ,Italy,France,37,114,37
LA,Chile,Chile,3,15,3
W6,United Arab Emirates,Italy,7,18,7
KM,Malta,Italy,0,11,0
BA,Netherlands,United States,1,1,1
NO,Mexico,Italy,3,2,3
UX,Italy,Brazil,6,23,6
FR,Italy,Croatia,56,116,55
FR,Italy,Belgium,173,258,171
EK,Thailand,Italy,3,3,3
XQ,Italy,Turkey,7,5,7
AZ,Italy,India,8,24,8
BA,Italy,Japan,0,4,0
MS,Egypt,Egypt,0,39,0
UK,India,India,1,3,1
NO,Italy,Mexico,5,2,5
NO,Italy,United States,6,4,6
UX,Spain,Spain,10,14,10
EK,Switzerland,,0,0,0
LX,Italy,,0,17,0
FR,Italy,United Kingdom,359,502,355
FR,Spain,Spain,55,47,54
LH,Italy,Canada,3,5,3
QR,Indonesia,Italy,4,0,4
BA,United States,United States,0,5,0
IB,Italy,United States,5,103,5
AZ,Italy,Argentina,21,43,21
OB,Brazil,Peru,0,0,0
NO,Italy,Senegal,6,6,6
MS,Italy,Egypt,0,66,0
3U,China,Italy,0,7,0
AM,Mexico,Mexico,0,10,0
NO,Egypt,Italy,18,9,18
LA,Colombia,Colombia,8,14,8
SQ,Italy,,0,5,0
JU,Italy,Turkey,2,15,2
TS,Italy,Canada,24,6,24
FR,Italy,Portugal,318,487,315
FR,Poland,Italy,13,36,13
KU,Italy,Thailand,7,1,7
OB,Brazil,Bolivia,0,0,0
LA,Brazil,Brazil,8,24,8
FR,Italy,Malta,297,533,294
OU,Croatia,Croatia,0,1,0
OS,Italy,Madagascar,0,1,0
RJ,Italy,Egypt,0,2,0
AI,Italy,,0,7,0
SP,Portugal,Portugal,4,12,4
W6,Italy,France,114,173,113
FR,Italy,Austria,174,194,172
LA,Peru,Peru,0,7,0
UX,Italy,Argentina,11,15,11
UG,Italy,Tunisia,0,7,0
GF,Pakistan,Italy,0,5,0
AY,Italy,Japan,1,3,1
LH,France,Mexico,0,0,0
AY,Italy,Finland,41,9,41
LH,Italy,Mexico,2,16,2
LH,Italy,Germany,115,197,114
AC,Italy,,0,3,0
NP,Egypt,Egypt,0,5,0
LH,Italy,Oman,2,0,2
W6,Italy,Greece,133,229,132
QR,Bangladesh,United Kingdom,4,1,4
FR,Spain,Italy,299,315,296
AZ,United States,Italy,6,9,6
QR,Thailand,Italy,9,2,9
JU,Turkey,Italy,1,2,1
NO,Italy,Maldives,3,1,3
AS,United States,United States,0,15,0
LA,Bolivia,Italy,0,6,0
AZ,Italy,Germany,12,46,12
TU,Tunisia,France,0,1,0
TG,Thailand,Thailand,4,4,4
BA,United Kingdom,United States,3,5,3
SV,Saudi Arabia,Saudi Arabia,0,1,0
LH,Italy,Czech Republic,5,7,5
DT,Brazil,Portugal,0,2,0
NT,Spain,Spain,0,7,0
HY,Turkey,Uzbekistan,0,0,0
LH,Italy,South Africa,9,22,9
EY,Italy,,3,6,3
BI,United Arab Emirates,Indonesia,0,0,0
SK,Italy,Iceland,6,10,6
TU,France,Tunisia,0,2,0
UX,Italy,,0,4,0
SQ,United Arab Emirates,Indonesia,0,0,0
TK,Italy,Turkey,91,270,90
BR,Singapore,Italy,0,1,0
1L,Italy,Czech Republic,0,0,0
U2,Spain,Portugal,10,4,10
LA,Colombia,Spain,0,0,0
NO,United States,Italy,4,0,4
UX,Switzerland,Argentina,1,0,1
FR,Italy,Republic of Ireland,100,175,99
FR,Romania,Italy,31,21,31
KU,Italy,Kuwait,3,3,3
G3,Brazil,Argentina,0,6,0
LO,Italy,Japan,0,15,0
EK,Italy,Botswana,0,1,0
SQ,Italy,Malaysia,0,0,0
VA,Japan,Australia,0,0,0
KL,Dominican Republic,Italy,3,0,3
VY,Italy,Thailand,0,0,0
FR,Finland,Italy,1,11,1
BA,Brazil,Australia,0,0,0
QR,Italy,Indonesia,32,50,32
EK,Poland,,0,0,0
SQ,Cambodia,Italy,0,1,0
AI,United Arab Emirates,India,0,0,0
UP,The Bahamas,Colombia,0,0,0
AI,India,India,0,7,0
F2,Kenya,Kenya,0,0,0
LX,United States,Italy,0,3,0
LA,Peru,Argentina,0,0,0
EK,South Africa,Italy,1,0,1
AF,Italy,,0,23,0
BR,Italy,Vietnam,0,3,0
BR,Thailand,Italy,0,0,0
BA,Italy,French Polynesia,0,0,0
MH,India,Indonesia,0,0,0
MH,Italy,Indonesia,0,3,0
HC,Senegal,,0,0,0
JL,Italy,Japan,2,6,2
MS,Italy,Kenya,0,14,0
AZ,Belgium,Italy,8,12,8
LH,Italy,French Polynesia,0,0,0
UX,Venezuela,Italy,0,1,0
OZ,Italy,South Korea,0,0,0
QR,Singapore,Italy,1,0,1
SQ,Indonesia,Italy,3,2,3
LA,Brazil,Italy,6,36,6
AU,Canada,Mexico,0,0,0
AZ,Canada,Italy,0,0,0
FR,Austria,Italy,16,24,16
FR,Italy,Germany,176,271,174
LH,Italy,Brazil,16,41,16
UX,Italy,Spain,7,12,7
LA,Brazil,Peru,0,0,0
EY,Italy,Thailand,19,29,19
BJ,Switzerland,Tunisia,0,12,0
BA,United States,Singapore,0,0,0
EY,United Arab Emirates,India,0,3,0
IB,Italy,Mexico,4,4,4
AZ,Italy,Israel,2,7,2
X1,Kenya,Kenya,0,6,0
TC,Tanzania,Tanzania,0,1,0
KL,Italy,Faroe Islands,0,0,0
FR,Bulgaria,Italy,13,21,13
AZ,Italy,Japan,32,125,32
CY,Egypt,Italy,0,3,0
IB,Italy,Morocco,1,3,1
FR,Greece,Italy,43,46,43
TP,Italy,United States,10,16,10
W6,Italy,United Kingdom,163,169,161
NO,Italy,Israel,0,1,0
PU,Spain,Colombia,0,0,0
EK,Italy,,0,5,0
PR,Indonesia,Japan,0,0,0
NO,Spain,Italy,8,12,8
BA,Italy,,33,72,33
BA,Italy,United Kingdom,111,52,110
U2,Italy,Spain,823,151,815
EK,Indonesia,United Kingdom,0,10,0
EK,Italy,New Zealand,11,0,11
EK,Italy,Thailand,85,12,84
TK,Turkey,Denmark,0,0,0
TU,Tunisia,Turkey,0,1,0
