carrier,origin_country,destination_country,clicks_travix,clicks_competitor,clicks_airlines
HY,Uzbekistan,Uzbekistan,0,1,0
W6,Italy,Greece,314,404,311
TK,Venezuela,Italy,0,4,0
LX,Italy,,0,7,0
KC,Kazakhstan,South Korea,0,0,0
BR,Italy,Philippines,0,12,0
LO,Italy,Turkey,7,19,7
BR,France,Japan,0,0,0
AI,India,Saudi Arabia,0,0,0
QR,Italy,India,4,16,4
RO,Italy,Turkey,0,28,0
SN,Italy,United States,0,8,0
NO,Egypt,Italy,13,9,13
ET,Italy,Ghana,0,0,0
5U,Guatemala,Mexico,0,1,0
UG,Tunisia,Italy,0,2,0
B6,United States,United States,0,16,0
UX,Spain,Colombia,0,0,0
SV,Italy,Pakistan,1,10,1
TK,Egypt,Italy,0,2,0
NP,Egypt,Egypt,0,3,0
MS,Greece,Egypt,0,1,0
H2,Peru,Peru,0,12,0
U2,France,Italy,163,19,161
FR,Germany,Italy,77,104,76
KL,Italy,El Salvador,0,1,0
AT,Senegal,Tunisia,0,0,0
VA,Australia,Italy,1,4,1
BR,Italy,Japan,0,29,0
EK,United States,Italy,2,1,2
TK,Romania,Egypt,0,0,0
KM,Italy,France,0,0,0
IB,Italy,United States,11,37,11
TK,Turkey,Hungary,0,0,0
WS,Spain,United States,0,2,0
H2,Peru,United States,0,0,0
AC,Italy,Mexico,3,16,3
AZ,Belgium,Italy,15,42,15
GF,Italy,Oman,0,0,0
WE,Cambodia,Thailand,2,0,2
SQ,Italy,,0,2,0
KU,United Kingdom,Kuwait,0,0,0
FR,Italy,Finland,11,19,11
EY,United Arab Emirates,Saudi Arabia,0,0,0
BA,Albania,China,0,0,0
FR,France,Italy,79,61,78
QR,United Kingdom,Pakistan,0,0,0
LA,Ecuador,Ecuador,3,4,3
UX,Italy,,0,7,0
TK,Italy,Australia,0,24,0
LH,Austria,Argentina,8,3,8
OS,Italy,United States,10,25,10
OS,Italy,Czech Republic,3,2,3
RJ,Italy,Jordan,1,4,1
FI,United States,Norway,0,0,0
MS,Turkey,Italy,1,6,1
BR,Taiwan,Italy,0,0,0
AH,Algeria,Italy,0,0,0
RA,Nepal,India,0,0,0
TK,Pakistan,Italy,0,0,0
VZ,Thailand,Thailand,0,28,0
CA,Italy,New Zealand,0,0,0
WY,Pakistan,Italy,0,0,0
XK,France,France,0,1,0
CX,Italy,Indonesia,0,2,0
V7,Spain,Italy,21,19,21
FR,Italy,Bulgaria,42,85,42
TS,Italy,,1,0,1
IB,Spain,Sri Lanka,0,0,0
TS,Martinique,Canada,1,0,1
FR,Belgium,Italy,57,81,56
AZ,Germany,,0,1,0
UK,India,United Arab Emirates,0,0,0
W4,Italy,United Kingdom,251,181,249
AH,Senegal,Italy,0,0,0
VY,Italy,Argentina,1,4,1
LH,Hungary,Italy,1,2,1
AS,United States,Mexico,0,0,0
AZ,Netherlands,Italy,6,12,6
W6,Italy,Hungary,76,81,75
VY,Spain,Italy,281,140,278
CZ,Italy,Japan,0,6,0
KU,Italy,Philippines,3,1,3
AT,Morocco,,0,0,0
LA,Brazil,Argentina,3,5,3
EY,Italy,Sri Lanka,3,4,3
AM,Mexico,United States,0,5,0
HC,Senegal,Italy,0,2,0
AZ,Italy,India,4,30,4
W6,Italy,Czech Republic,106,165,105
QR,Germany,Pakistan,2,1,2
TU,Italy,Niger,0,0,0
NO,Italy,Senegal,6,1,6
SK,Italy,United States,19,34,19
FR,Israel,Germany,0,4,0
AZ,Italy,Japan,41,150,41
EY,Italy,Maldives,6,18,6
KM,Malta,South Korea,0,0,0
LY,Israel,Italy,1,0,1
VN,Malaysia,Vietnam,0,0,0
PC,Switzerland,Turkey,4,19,4
EY,Italy,Malaysia,8,10,8
FR,Italy,Jordan,18,36,18
KM,France,Italy,0,4,0
SV,Saudi Arabia,Italy,0,2,0
EK,Indonesia,Italy,1,0,1
LX,Mexico,Italy,1,0,1
VY,Italy,Italy,52,48,51
AZ,Italy,France,27,88,27
HA,United States,United States,0,12,0
4Z,South Africa,,0,0,0
FR,Austria,Italy,43,29,43
AF,United States,,0,0,0
KM,Malta,Switzerland,0,0,0
6E,India,India,13,4,13
H8,Peru,United States,0,0,0
TK,Turkey,Germany,7,20,7
PC,Italy,,0,17,0
WY,Italy,Sri Lanka,0,3,0
EK,Italy,Maldives,9,7,9
TK,Vietnam,Poland,0,0,0
WF,Italy,Norway,0,13,0
FR,Norway,Spain,1,0,1
GF,Italy,Thailand,0,19,0
LH,Italy,Nigeria,3,7,3
PR,Philippines,Indonesia,0,0,0
2W,Dominican Republic,Spain,0,2,0
1L,Italy,Iceland,0,0,0
JU,Netherlands,Turkey,4,0,4
LO,Italy,Lebanon,0,2,0
AZ,France,Italy,13,16,13
EK,New Zealand,Australia,0,2,0
1L,Italy,Turkey,0,0,0
AH,Italy,Ivory Coast,0,1,0
SK,Denmark,Norway,1,0,1
SV,Italy,Malaysia,5,0,5
TK,Malaysia,The Gambia,0,2,0
IB,Italy,Colombia,15,36,15
IB,Italy,Costa Rica,1,9,1
1L,Italy,Romania,0,0,0
IB,Portugal,Italy,2,3,2
