carrier,origin_country,destination_country,clicks_travix,clicks_competitor,clicks_airlines
AZ,Italy,Italy,686,1638,679
FR,Italy,Italy,4500,7534,4455
NO,Italy,Egypt,88,66,87
NO,Italy,Spain,32,51,32
FR,Italy,Spain,2622,5541,2596
TK,Italy,,0,33,0
TU,Italy,Tunisia,0,93,0
FR,Italy,Morocco,140,306,139
AT,Italy,Morocco,27,92,27
AZ,Italy,United States,187,891,185
W6,Italy,Italy,1109,1232,1098
TU,France,Tunisia,0,7,0
DX,Italy,Italy,0,105,0
SM,Egypt,Italy,7,20,7
EY,Italy,Indonesia,23,54,23
LH,Italy,United States,142,174,141
W6,Italy,Egypt,187,202,185
AZ,Italy,Tunisia,11,26,11
LA,Italy,Brazil,9,57,9
UG,Tunisia,Italy,0,3,0
AZ,Italy,,0,106,0
KL,Italy,United States,59,205,58
W6,Italy,United Arab Emirates,97,102,96
QR,Italy,,0,8,0
AT,Morocco,Italy,2,14,2
TK,Italy,Turkey,94,271,93
LX,Italy,United States,35,52,35
NO,Italy,United States,23,3,23
EK,Thailand,,0,0,0
IB,Italy,Spain,208,249,206
SM,Italy,Egypt,38,238,38
U2,Italy,Italy,1717,196,1700
TP,Italy,United States,12,22,12
JU,Italy,Turkey,0,6,0
BA,Italy,,22,68,22
EY,Italy,,6,8,6
AZ,Italy,Morocco,15,60,15
EY,Italy,Seychelles,35,43,35
UX,Spain,Spain,10,11,10
NO,Egypt,Italy,14,3,14
LH,Italy,,0,68,0
BA,Italy,Japan,0,0,0
V7,Italy,Italy,868,751,859
W6,Italy,Morocco,47,60,47
4Z,South Africa,South Africa,7,4,7
FR,Italy,Belgium,178,282,176
AS,United States,United States,0,26,0
EK,Italy,,0,13,0
FR,Italy,France,437,743,433
H2,Peru,Peru,0,7,0
W6,Italy,Jordan,63,47,62
AZ,Italy,Spain,57,163,56
U2,Italy,France,868,227,859
UG,Italy,Tunisia,0,7,0
LA,Colombia,Colombia,3,14,3
KL,Italy,Dominican Republic,6,32,6
BA,Italy,United States,227,697,225
FR,Italy,Romania,123,263,122
EK,Italy,Indonesia,70,24,69
LH,Italy,Germany,201,292,199
EK,United States,Italy,14,13,14
IB,Spain,Italy,76,42,75
TS,Italy,Canada,43,16,43
LH,Italy,Brazil,18,24,18
BA,Italy,Mexico,15,13,15
KL,Italy,,7,37,7
UX,Italy,,0,5,0
AF,Italy,,0,26,0
LO,Italy,Japan,0,24,0
UP,United States,The Bahamas,0,6,0
AR,Italy,Argentina,0,48,0
KL,Canada,Italy,2,0,2
SV,Egypt,Saudi Arabia,0,5,0
SL,Thailand,Thailand,0,14,0
AZ,Italy,France,38,87,38
AM,Peru,Italy,0,1,0
B7,Taiwan,Taiwan,0,2,0
FR,Italy,Austria,261,330,258
FR,Italy,Czech Republic,133,280,132
IB,Italy,United States,13,76,13
NP,Egypt,Egypt,0,2,0
TK,Turkey,Italy,10,22,10
TU,Tunisia,Italy,0,13,0
W6,Italy,Albania,373,341,369
LH,Italy,Canada,6,14,6
NO,Italy,Mexico,6,4,6
IB,Italy,Dominican Republic,12,15,12
EK,Singapore,Italy,3,5,3
MS,Egypt,Egypt,0,52,0
IB,Guatemala,Italy,2,1,2
KU,Italy,Thailand,1,5,1
FR,Italy,Hungary,150,235,149
NO,United States,Italy,2,0,2
AZ,United States,United States,0,1,0
ET,Italy,Burkina Faso,0,0,0
JU,Italy,Egypt,0,24,0
FR,Italy,Malta,388,700,384
UX,Peru,Italy,1,5,1
F2,Kenya,Kenya,2,2,2
JL,Italy,Japan,7,19,7
AY,Italy,,0,5,0
AM,Mexico,Italy,0,25,0
AZ,Italy,Argentina,10,72,10
MS,Italy,Egypt,0,96,0
KM,Malta,Italy,0,23,0
TP,Italy,Brazil,48,249,48
W6,Italy,Greece,263,307,260
G3,Brazil,Brazil,0,14,0
AZ,Italy,Egypt,6,27,6
EK,Malaysia,Italy,6,1,6
CI,Taiwan,Netherlands,0,1,0
LH,Italy,Czech Republic,6,4,6
LA,Peru,Peru,1,7,1
LH,Italy,Guatemala,0,3,0
TK,Italy,Nigeria,2,1,2
KU,Italy,Philippines,3,18,3
TK,Japan,Italy,0,3,0
TN,United States,French Polynesia,0,0,0
AM,Spain,,0,0,0
SK,Italy,Denmark,11,46,11
3M,United States,The Bahamas,0,6,0
TK,United States,Italy,2,2,2
AZ,Netherlands,United States,0,0,0
EK,Philippines,Italy,2,2,2
FR,Spain,Italy,424,506,420
JU,Bulgaria,Italy,0,0,0
SP,Portugal,Portugal,0,5,0
ET,India,Italy,1,0,1
TK,Italy,Indonesia,23,48,23
FR,Italy,Sweden,43,122,43
AY,Italy,United States,31,60,31
WS,United States,Italy,2,3,2
KU,Italy,Bangladesh,0,1,0
WY,Italy,Thailand,3,44,3
LX,Italy,,0,20,0
FR,Jordan,Romania,7,7,7
LA,Italy,,0,3,0
EK,France,Australia,0,0,0
AI,Italy,India,0,25,0
3U,China,Italy,0,3,0
UX,Italy,Spain,5,15,5
EY,United Arab Emirates,India,2,0,2
FR,Germany,United Kingdom,6,7,6
AZ,United States,Italy,11,14,11
W6,Italy,Austria,39,84,39
Z8,Bolivia,Paraguay,0,0,0
AH,Italy,Senegal,0,2,0
LA,Brazil,Spain,0,1,0
AC,Italy,Canada,14,69,14
FR,Italy,Greece,616,1323,610
AZ,Italy,India,8,11,8
FR,Italy,Republic of Ireland,153,242,151
LH,Italy,Sri Lanka,0,1,0
KL,Dominican Republic,Italy,0,3,0
NO,Mexico,Italy,1,8,1
QR,Philippines,Italy,3,0,3
EW,Italy,Germany,121,121,120
VY,Spain,Spain,66,56,65
AM,Colombia,Mexico,0,0,0
TP,Portugal,Portugal,6,1,6
FR,Italy,Germany,237,338,235
QR,Italy,Indonesia,42,72,42
SK,Italy,Canada,2,8,2
TK,Italy,Egypt,2,9,2
TG,Thailand,Thailand,3,6,3
IZ,France,Israel,0,1,0
VS,Netherlands,United States,0,2,0
LH,Italy,Belize,0,0,0
LH,Italy,Mozambique,0,3,0
TK,Italy,Australia,0,24,0
AZ,Italy,El Salvador,0,1,0
AY,Italy,Japan,7,16,7
