carrier,origin_country,destination_country,clicks_travix,clicks_competitor,clicks_airlines
AZ,Italy,Italy,787,1495,779
FR,Italy,Italy,4682,6821,4636
AZ,Italy,United States,598,927,592
FR,Italy,Spain,2095,3717,2074
NO,Italy,Egypt,32,57,32
LA,Italy,Brazil,40,43,40
FR,Italy,Morocco,202,381,200
AZ,Italy,Tunisia,8,62,8
V7,Italy,Italy,1406,980,1392
AT,Italy,Morocco,67,160,66
FR,Italy,Greece,685,1069,678
TU,Tunisia,Italy,0,17,0
AZ,Tunisia,Italy,1,11,1
KM,Malta,Italy,0,17,0
W6,Italy,Egypt,146,234,145
AZ,Egypt,Italy,15,25,15
AZ,Italy,,0,84,0
FR,Italy,Malta,332,597,329
NO,Italy,United States,16,6,16
AT,Italy,,0,2,0
NO,Italy,Spain,6,16,6
LH,Italy,,0,59,0
TK,Italy,Turkey,116,257,115
AT,Morocco,Italy,15,16,15
1L,Italy,Spain,0,0,0
LA,Italy,Argentina,9,9,9
AZ,Italy,Morocco,23,78,23
MU,Italy,Indonesia,0,38,0
1L,Italy,Italy,0,0,0
IB,Spain,Italy,62,35,61
DX,Italy,Italy,0,140,0
FR,Italy,Portugal,289,447,286
AZ,Italy,Switzerland,8,19,8
TK,Bulgaria,,0,1,0
LA,Peru,Peru,5,6,5
KU,Italy,India,3,8,3
TK,Italy,,0,21,0
EK,Italy,United States,69,36,68
SM,Italy,Egypt,19,145,19
JU,Italy,Serbia,33,27,33
W6,Italy,Jordan,64,47,63
1L,Italy,France,0,0,0
JU,Serbia,Italy,13,18,13
NO,Italy,Mexico,5,13,5
W6,Italy,Greece,283,335,280
AF,Italy,United States,110,342,109
MS,Egypt,Egypt,0,29,0
QR,Italy,,0,18,0
U2,Italy,Italy,1974,247,1954
FR,Italy,Romania,72,211,71
EY,Italy,Indonesia,66,62,65
1L,Italy,United Kingdom,0,0,0
UG,Tunisia,Italy,0,2,0
EK,Italy,Mauritius,1,72,1
FR,Italy,Austria,142,233,141
FR,Italy,Belgium,143,197,142
TP,Italy,,0,34,0
FR,France,Italy,66,59,65
KL,United States,Italy,1,3,1
SV,Italy,Pakistan,3,5,3
W6,Italy,Poland,70,88,69
TG,Thailand,Thailand,10,5,10
TU,Italy,Tunisia,0,72,0
