carrier,origin_country,destination_country,clicks_client,clicks_competitor,clicks_airlines
AZ,Italy,Italy,765,1828,757
FR,Italy,Italy,5998,7688,5939
FR,Italy,Spain,3397,5756,3363
LA,Italy,Brazil,9,43,9
W6,Italy,Italy,1130,1250,1119
FR,Italy,Morocco,172,350,170
AZ,Italy,United States,200,1014,198
NO,Italy,Spain,3,37,3
SM,Egypt,Italy,18,29,18
W6,Italy,Egypt,187,228,185
SM,Italy,Egypt,49,311,49
AZ,Italy,,0,85,0
TU,Italy,Tunisia,0,57,0
LH,Italy,United States,147,192,146
U2,Italy,France,1066,312,1055
EK,Slovenia,Indonesia,2,2,2
AZ,Italy,Morocco,26,93,26
AZ,Italy,Tunisia,8,81,8
IB,Italy,Spain,214,179,212
EK,Italy,,0,14,0
AZ,Morocco,Italy,6,29,6
AZ,Italy,France,78,229,77
NO,Italy,United States,0,19,0
UG,Tunisia,Italy,0,12,0
BA,Italy,United States,238,581,236
FR,Italy,United Kingdom,665,781,658
KL,Italy,United States,113,338,112
FR,Italy,Belgium,251,312,249
W6,Italy,Morocco,26,60,26
IB,Spain,Italy,46,33,46
FR,Italy,Malta,430,647,426
W6,Italy,United Arab Emirates,88,96,87
U2,Italy,Morocco,87,30,86
W6,Italy,Spain,366,636,362
LA,Colombia,Colombia,25,16,25
TU,Tunisia,Italy,0,20,0
TK,Italy,,0,26,0
UX,Italy,Spain,18,54,18
AF,United States,Italy,3,5,3
KU,Italy,Thailand,3,13,3
U2,Italy,Egypt,189,79,187
FR,Italy,France,539,817,534
LH,Germany,Italy,46,75,46
IB,Italy,United States,27,118,27
MS,Egypt,Egypt,0,72,0
UG,Italy,Tunisia,0,17,0
AC,Italy,Canada,22,95,22
FR,United Kingdom,Italy,185,153,183
FR,Spain,Italy,501,498,496
U2,France,Italy,267,121,264
AF,Italy,,1,13,1
FR,Italy,Sweden,64,123,63
TK,Italy,Indonesia,25,40,25
FR,Italy,Hungary,185,247,183
KL,Italy,,18,31,18
EK,Albania,,0,1,0
LH,Italy,,0,84,0
AZ,Italy,Germany,15,85,15
FR,Italy,Austria,214,303,212
KL,Italy,Dominican Republic,4,31,4
FR,Italy,Greece,1271,1445,1258
TP,Italy,Brazil,87,187,86
G3,Brazil,Brazil,0,32,0
EI,Italy,United States,24,9,24
WY,Italy,,0,5,0
TK,Italy,United States,5,6,5
LA,Peru,Peru,2,6,2
IB,Italy,Dominican Republic,11,18,11
IB,France,Spain,5,9,5
W6,Italy,Hungary,155,167,153
TP,Italy,United States,18,31,18
FR,Italy,Germany,268,375,265
TK,Italy,Thailand,8,23,8
MH,Malaysia,Malaysia,11,9,11
U2,France,France,24,4,24
SP,Portugal,Portugal,4,20,4
KU,Italy,Bangladesh,0,4,0
LH,Italy,Netherlands,5,17,5
AY,Italy,United States,20,58,20
NO,Spain,Italy,0,6,0
W6,Italy,Jordan,48,76,48
EK,Italy,Indonesia,69,22,68
FR,Italy,Portugal,442,701,438
W6,Italy,Romania,243,242,241
SK,Italy,United States,14,79,14
AZ,Tunisia,Italy,13,8,13
IB,Italy,Mexico,9,25,9
