carrier,origin_country,destination_country,clicks_travix,clicks_competitor,clicks_airlines
AZ,Italy,Italy,734,1968,727
FR,Italy,Italy,5442,8803,5388
NO,Italy,Spain,28,31,28
W6,Italy,Italy,1278,1358,1265
NO,Italy,Egypt,60,57,59
LA,Italy,Brazil,17,82,17
DX,Italy,Italy,0,239,0
FR,Italy,Morocco,149,323,148
AZ,Italy,Tunisia,16,40,16
W6,Italy,Egypt,165,369,163
AZ,Italy,United States,221,951,219
FR,Italy,Spain,2899,5727,2870
AZ,Italy,,0,161,0
EY,Italy,Seychelles,53,47,52
W6,Italy,United Arab Emirates,92,128,91
AZ,Italy,Morocco,26,31,26
TU,Italy,Tunisia,0,87,0
LH,Italy,United States,140,186,139
LH,Italy,,0,74,0
LA,Colombia,Colombia,5,24,5
W6,Italy,Morocco,46,42,46
IB,Italy,Spain,296,233,293
AZ,Italy,Spain,49,216,49
FR,Italy,Greece,894,1769,885
FR,Italy,Poland,142,182,141
KM,Malta,Italy,0,29,0
NO,Italy,United States,7,2,7
NO,Spain,Italy,11,3,11
FR,Spain,Italy,439,474,435
NO,Italy,Maldives,8,2,8
EY,Italy,Indonesia,24,61,24
W6,Italy,Jordan,40,29,40
LA,Italy,,0,7,0
LO,Italy,Japan,0,33,0
AF,Italy,,0,40,0
LA,Peru,Peru,5,8,5
QR,Italy,,0,23,0
LH,Italy,Brazil,18,35,18
FR,Italy,France,457,710,452
FR,Italy,United Kingdom,412,683,408
AZ,Tunisia,Italy,2,3,2
EK,Italy,,0,7,0
SM,Italy,Egypt,34,230,34
KL,Italy,Dominican Republic,1,42,1
AT,Italy,Morocco,34,106,34
JL,Italy,Japan,1,13,1
PW,Tanzania,Tanzania,0,7,0
TP,Italy,United States,15,23,15
TK,Italy,,0,26,0
SK,United States,,2,3,2
FR,Italy,Malta,470,746,465
FR,Italy,Czech Republic,192,239,190
TU,Tunisia,Italy,0,6,0
4Z,South Africa,South Africa,1,5,1
NO,Egypt,Italy,10,3,10
AZ,Italy,France,41,100,41
IB,Italy,,3,5,3
FR,Italy,Belgium,250,312,248
BA,Italy,United States,295,665,292
FR,Italy,Jordan,28,50,28
TK,Italy,Australia,0,18,0
DY,Italy,Norway,0,95,0
KL,Italy,,18,47,18
UG,Italy,Tunisia,0,3,0
EY,United Kingdom,Japan,1,1,1
AT,France,Morocco,0,3,0
TG,Thailand,Thailand,17,5,17
FR,Italy,Romania,114,261,113
EY,Italy,,5,3,5
LH,United States,United States,0,25,0
SM,Egypt,Italy,4,40,4
CI,Italy,Japan,1,34,1
JU,Italy,Turkey,2,10,2
BA,Italy,Japan,0,0,0
RC,Denmark,Faroe Islands,0,1,0
EK,Italy,Indonesia,27,27,27
LA,Argentina,Chile,0,7,0
LX,Italy,,0,29,0
EI,Italy,United States,23,3,23
1L,Italy,Czech Republic,0,0,0
KL,Italy,United States,65,197,64
BA,Italy,,38,69,38
KU,Italy,Philippines,5,12,5
TK,Italy,Qatar,5,6,5
IB,Spain,France,1,8,1
FR,Italy,Austria,286,332,283
AZ,Egypt,Italy,1,23,1
TP,Italy,Brazil,58,158,57
LH,Italy,Thailand,26,30,26
EK,Italy,Mauritius,1,123,1
FR,Italy,Germany,249,300,247
AF,Italy,Mexico,8,34,8
TK,Italy,Turkey,109,289,108
JU,Italy,Serbia,32,24,32
U2,Italy,Netherlands,467,55,462
IB,Italy,Mexico,5,16,5
UG,Tunisia,Italy,0,1,0
LO,Italy,United States,0,2,0
AF,Italy,Brazil,14,31,14
JU,Italy,Hungary,0,1,0
LX,United States,Italy,0,3,0
LH,Italy,Japan,21,41,21
FR,Italy,Sweden,49,112,49
UP,United States,The Bahamas,0,7,0
IB,Italy,Colombia,14,13,14
A3,Egypt,Italy,1,11,1
IB,Italy,United States,14,127,14
AZ,Italy,Brazil,9,47,9
AR,Italy,Argentina,0,37,0
TK,Romania,Italy,0,0,0
UX,Italy,Tunisia,0,15,0
OB,Peru,Bolivia,0,2,0
OZ,Italy,South Korea,0,4,0
FR,Netherlands,Italy,23,59,23
SK,Italy,United States,38,119,38
IB,Spain,Italy,60,37,59
AH,France,Algeria,0,0,0
IB,Italy,Portugal,10,11,10
U2,Italy,Spain,1243,227,1231
EY,Saudi Arabia,Philippines,2,2,2
FR,United Kingdom,Italy,124,111,123
TP,Italy,,0,40,0
FR,Italy,Croatia,122,227,121
AT,Morocco,Italy,13,25,13
TU,France,Tunisia,0,17,0
AZ,Honduras,Germany,0,0,0
FR,Czech Republic,Sweden,1,1,1
AZ,Mexico,Italy,0,0,0
FR,Malta,Italy,37,46,37
LA,Peru,Brazil,0,3,0
KU,Italy,Thailand,2,1,2
V7,Italy,Italy,1001,825,991
AH,Italy,Algeria,0,7,0
AZ,Italy,Dominican Republic,0,6,0
TS,Italy,Canada,45,12,45
KL,United States,Italy,5,2,5
BA,Australia,Italy,0,0,0
LG,Italy,Luxembourg,12,22,12
TP,Italy,Venezuela,3,16,3
AC,Canada,Italy,2,5,2
UG,Tunisia,Tunisia,0,2,0
LH,Italy,Mexico,1,16,1
EK,Italy,United States,80,18,79
JU,Turkey,Italy,5,2,5
IB,Italy,Dominican Republic,13,18,13
AT,Morocco,France,0,1,0
FR,Spain,United Kingdom,1,5,1
HY,Uzbekistan,Turkey,0,0,0
LX,Italy,Iceland,10,1,10
AZ,Italy,Mexico,0,91,0
FR,Germany,Italy,77,89,76
TP,Portugal,Portugal,2,5,2
NO,Mexico,Italy,1,1,1
QR,Italy,Thailand,38,59,38
MU,Italy,Indonesia,0,6,0
TK,Italy,Georgia,1,1,1
LH,United States,Mexico,0,1,0
BA,United States,United States,0,6,0
U2,Italy,United Kingdom,400,69,396
9U,Italy,Moldova,0,32,0
UP,The Bahamas,The Bahamas,0,1,0
AZ,Switzerland,United States,0,0,0
VY,Italy,Spain,694,1018,687
KM,Malta,Austria,0,0,0
NO,Italy,Mexico,8,17,8
LH,Italy,El Salvador,0,4,0
HY,Uzbekistan,Kyrgyzstan,0,1,0
NO,Italy,Dominican Republic,20,4,20
CX,United Arab Emirates,,0,0,0
EY,Germany,South Korea,0,2,0
QR,Italy,Indonesia,53,76,52
AF,France,Peru,0,5,0
FZ,Italy,Sri Lanka,1,7,1
EW,France,Italy,0,0,0
AM,Mexico,Netherlands,0,2,0
LH,France,Canada,0,0,0
AZ,Italy,Germany,15,51,15
AZ,Italy,Israel,2,9,2
KU,Italy,India,1,3,1
LH,Italy,Germany,197,320,195
UX,Italy,Argentina,5,17,5
ET,Italy,South Africa,2,2,2
FR,Italy,Portugal,407,727,403
KU,Italy,Bangladesh,0,0,0
AM,Italy,Mexico,0,26,0
FR,Austria,Italy,40,48,40
G3,Brazil,Brazil,0,19,0
UK,India,India,1,3,1
FR,Belgium,Italy,56,65,55
