carrier,origin_country,destination_country,clicks_client,clicks_competitor,clicks_airlines
AZ,Italy,Italy,742,2178,735
FR,Italy,Italy,5566,10032,5511
NO,Italy,Egypt,94,113,93
AZ,Italy,United States,238,1161,236
FR,Italy,Spain,2827,5856,2799
LA,Italy,Brazil,16,85,16
FR,Italy,Morocco,141,362,140
LH,Italy,United States,104,148,103
NO,Italy,Spain,27,33,27
NO,Egypt,Italy,32,6,32
V7,Italy,Italy,1214,1184,1202
W6,Italy,Egypt,230,352,228
AZ,Italy,,0,179,0
AZ,Italy,Tunisia,4,63,4
TU,Italy,Tunisia,0,134,0
BA,Italy,United States,356,690,352
LA,Colombia,Colombia,14,13,14
AZ,Italy,Morocco,27,102,27
TK,Italy,Turkey,133,348,132
W6,Italy,Italy,652,1077,646
SM,Italy,Egypt,41,230,41
AI,Italy,Thailand,0,147,0
W6,Italy,United Arab Emirates,83,143,82
TU,Tunisia,Italy,0,19,0
KU,Italy,Philippines,5,23,5
FR,Italy,United Kingdom,643,992,637
KL,Italy,Dominican Republic,17,44,17
AZ,Italy,Mexico,0,100,0
JU,Italy,Serbia,36,20,36
W6,Italy,Jordan,63,66,62
IB,Spain,Italy,66,38,65
FR,Italy,Greece,836,1655,828
UG,Italy,Tunisia,0,4,0
IB,Italy,Brazil,3,5,3
NO,Italy,Maldives,10,9,10
LH,Italy,,0,56,0
FR,Spain,Italy,525,588,520
SV,Italy,Indonesia,16,30,16
QR,Italy,,0,23,0
MS,Italy,Egypt,0,71,0
FR,Italy,Belgium,218,295,216
TP,Italy,United States,21,28,21
FR,Italy,Portugal,391,827,387
IB,Italy,Portugal,13,24,13
TP,Italy,Brazil,33,122,33
TK,Italy,United States,26,15,26
SM,Egypt,Italy,14,66,14
EY,Italy,Indonesia,45,41,45
AF,Italy,United States,83,133,82
AZ,United States,Italy,4,14,4
AZ,Italy,Algeria,6,8,6
NP,Egypt,Egypt,0,8,0
TP,Italy,,0,36,0
TK,Italy,Indonesia,9,31,9
QR,Italy,Maldives,19,46,19
FR,Italy,Germany,260,387,257
TK,Italy,,0,61,0
BA,United States,Italy,19,5,19
FR,Italy,Malta,432,733,428
AC,Italy,,0,5,0
AF,Italy,,4,28,4
AF,Argentina,Italy,0,4,0
KM,Malta,Italy,0,32,0
EY,Italy,,3,12,3
KU,Italy,Thailand,1,17,1
IB,Italy,United States,19,123,19
KL,Italy,United States,67,230,66
FR,Italy,France,495,900,490
IB,Italy,Colombia,41,31,41
TS,Italy,Canada,76,34,75
NO,Spain,Italy,4,3,4
UG,Tunisia,Italy,0,7,0
KU,Italy,Malaysia,0,1,0
JU,Serbia,Italy,4,4,4
TK,Italy,Egypt,7,33,7
SN,Italy,United States,0,13,0
EK,United States,Italy,11,1,11
AY,Italy,,0,8,0
LH,Italy,Brazil,9,34,9
FR,Italy,Croatia,94,259,93
AZ,Mexico,Italy,0,0,0
LA,Chile,Mexico,0,0,0
AT,Italy,Morocco,43,134,43
AT,Morocco,Italy,14,34,14
MS,Egypt,Egypt,0,32,0
PW,Tanzania,Tanzania,0,0,0
FR,Italy,Denmark,159,261,157
FR,Italy,Poland,101,252,100
FR,United Kingdom,Italy,158,150,156
W6,Italy,Greece,177,332,175
FR,Italy,Romania,87,285,86
NO,Italy,United States,15,5,15
NO,United States,Italy,1,1,1
KL,Italy,,6,73,6
U2,Italy,Italy,2290,236,2267
IB,Italy,Spain,188,180,186
TG,Thailand,Thailand,5,5,5
IB,Spain,Portugal,1,3,1
SV,Italy,,0,4,0
AI,Italy,Australia,0,11,0
MS,Italy,South Africa,0,5,0
AM,Italy,Mexico,0,24,0
U2,Italy,Greece,882,143,873
GF,India,Italy,0,1,0
EY,Italy,Sri Lanka,5,7,5
FR,Portugal,Italy,81,113,80
IB,Morocco,Italy,1,4,1
JU,Italy,Turkey,1,6,1
EY,Malaysia,,0,0,0
LH,United States,United States,0,26,0
UX,Italy,Brazil,6,19,6
AM,Colombia,Italy,0,2,0
2W,Dominican Republic,Spain,0,2,0
AZ,Italy,Japan,47,191,47
LH,Italy,Germany,220,373,218
EK,Italy,Mauritius,2,63,2
W6,Italy,Serbia,13,14,13
XK,France,France,0,2,0
FZ,Italy,Nepal,0,9,0
LX,Italy,United States,39,83,39
LH,Italy,The Bahamas,0,2,0
KQ,Netherlands,Kenya,1,0,1
IB,Italy,Senegal,2,13,2
FR,Italy,Sweden,49,111,49
SQ,Malaysia,Singapore,0,0,0
JU,Turkey,Italy,3,8,3
SQ,Italy,,0,6,0
W6,Italy,Czech Republic,135,144,134
LY,Italy,Israel,19,7,19
FR,Italy,Republic of Ireland,196,261,194
UA,Italy,Canada,1,7,1
EY,Italy,Seychelles,16,32,16
AZ,Italy,Indonesia,0,9,0
BA,United States,United States,0,4,0
V7,Italy,Greece,538,491,533
MH,Malaysia,Malaysia,3,6,3
AZ,Egypt,Italy,6,24,6
FR,Italy,Austria,218,328,216
TK,Italy,Vietnam,2,1,2
PR,Philippines,Indonesia,0,0,0
PU,Spain,Colombia,0,0,0
ET,Argentina,Italy,0,9,0
RJ,Italy,Jordan,1,12,1
UA,Italy,United States,46,24,46
IB,Italy,Peru,19,27,19
AZ,Algeria,Italy,0,1,0
TK,Italy,Australia,0,13,0
EK,Italy,Thailand,63,29,62
AR,Argentina,Argentina,0,18,0
IB,Spain,Spain,26,12,26
EK,Italy,Indonesia,35,20,35
UX,Spain,Spain,12,31,12
FR,Italy,Jordan,20,59,20
AC,Italy,Canada,38,80,38
CM,Nicaragua,Italy,0,0,0
AS,United States,United States,0,27,0
EK,Italy,Australia,15,16,15
EY,Maldives,United Arab Emirates,0,2,0
EK,Italy,,0,16,0
FR,Germany,Italy,81,148,80
NO,Italy,Mexico,5,4,5
LH,Germany,Italy,60,60,59
BA,Italy,Japan,0,0,0
AZ,France,United States,0,0,0
G3,Brazil,Brazil,0,20,0
CX,Thailand,Hong Kong,0,2,0
WS,Canada,Dominican Republic,2,0,2
UX,Mexico,Italy,0,0,0
WY,India,Italy,0,3,0
TK,Italy,Kenya,5,23,5
AZ,India,Italy,7,8,7
EK,Kenya,Italy,1,2,1
UX,Argentina,Italy,4,3,4
AT,Western Sahara,Morocco,2,4,2
BA,Brazil,Italy,0,0,0
T7,Italy,France,0,6,0
UP,United States,The Bahamas,0,5,0
U2,France,Portugal,21,3,21
UK,India,India,3,7,3
RC,Denmark,Faroe Islands,0,4,0
LA,Peru,Peru,2,6,2
U2,Italy,Egypt,176,49,174
CY,Lebanon,Italy,0,0,0
KL,Italy,Costa Rica,2,4,2
AZ,France,Algeria,0,0,0
BA,Mexico,United States,0,0,0
IB,Italy,Australia,0,0,0
TC,Tanzania,Tanzania,0,2,0
A3,Greece,Greece,17,23,17
CI,Taiwan,Indonesia,0,0,0
SV,Egypt,Saudi Arabia,0,1,0
LA,Chile,Chile,2,11,2
VS,United States,United Kingdom,3,0,3
BR,Philippines,Italy,0,0,0
ET,Italy,Seychelles,6,17,6
AF,Mexico,Italy,2,3,2
HU,Hong Kong,China,0,0,0
CA,Italy,South Korea,0,9,0
CA,China,United Kingdom,0,0,0
AI,India,India,0,3,0
JY,Dominican Republic,Turks and Caicos Islands,0,0,0
W6,Italy,Spain,144,433,143
NT,Portugal,Portugal,0,2,0
AZ,Italy,Brazil,13,70,13
WS,United States,Italy,0,5,0
EN,Italy,United States,0,16,0
EY,Oman,Lebanon,0,10,0
TP,Germany,Portugal,0,0,0
H2,Peru,Peru,0,17,0
LH,Austria,Germany,0,0,0
JL,Italy,,0,0,0
LH,Italy,Oman,6,5,6
TS,Italy,,0,0,0
IB,Italy,Dominican Republic,13,14,13
TK,Italy,Mongolia,0,0,0
TK,Italy,Kazakhstan,5,8,5
BR,Taiwan,Italy,0,1,0
UK,Thailand,United Arab Emirates,0,0,0
SK,Italy,Lithuania,3,3,3
U2,Italy,United Kingdom,332,65,329
RA,India,Nepal,0,5,0
KM,Italy,Germany,0,7,0
AY,Italy,Japan,3,1,3
PR,Cambodia,Philippines,0,0,0
NO,Italy,Madagascar,4,1,4
TK,Italy,Tunisia,0,2,0
BA,Switzerland,United States,2,8,2
BA,United States,Mexico,0,0,0
PR,Indonesia,Philippines,1,0,1
RO,Romania,Italy,0,5,0
IB,Italy,Morocco,2,4,2
KU,Germany,India,0,0,0
LO,Hungary,South Korea,0,0,0
AM,Netherlands,El Salvador,0,0,0
CY,Greece,Lebanon,0,0,0
KL,United States,,0,0,0
MU,Italy,Australia,0,5,0
IZ,Morocco,Israel,0,3,0
EK,France,Thailand,1,0,1
QR,South Africa,Italy,0,0,0
QR,Germany,Pakistan,0,0,0
W6,Italy,Poland,53,81,52
KU,Philippines,Italy,1,2,1
AH,Algeria,Italy,0,0,0
KM,France,Malta,0,3,0
GF,Italy,Singapore,0,5,0
TN,United States,French Polynesia,0,0,0
NO,Italy,Senegal,14,18,14
MU,Italy,Indonesia,0,41,0
IB,Italy,,3,13,3
AY,Italy,United States,49,355,49
EK,Saudi Arabia,Pakistan,1,0,1
BA,Switzerland,,0,2,0
