carrier,origin_country,destination_country,clicks_client,clicks_competitor,clicks_airlines
AZ,Italy,Italy,738,1852,731
FR,Italy,Italy,5177,8297,5126
AZ,Italy,United States,239,1178,237
W6,Italy,Italy,1172,1600,1160
NO,Italy,Egypt,71,58,70
FR,Italy,Spain,2651,5435,2625
FR,Italy,Morocco,131,360,130
DX,Italy,Italy,0,126,0
NO,Italy,Spain,32,33,32
LA,Colombia,Colombia,31,47,31
AZ,Italy,,0,233,0
W6,Italy,Egypt,214,300,212
LA,Italy,Brazil,12,57,12
IB,Spain,Italy,85,35,84
TU,Italy,Tunisia,0,77,0
AZ,Italy,Morocco,26,85,26
QR,Italy,,0,19,0
FR,Italy,Malta,465,692,460
U2,Italy,Italy,1722,265,1705
KL,Italy,Dominican Republic,7,38,7
IB,Italy,Spain,185,165,183
BA,Italy,United States,277,554,274
LH,Italy,United States,95,156,94
FR,Italy,United Kingdom,451,694,447
UG,Italy,Tunisia,0,4,0
KM,Malta,Italy,0,45,0
W6,Italy,United Arab Emirates,118,136,117
AF,Italy,United States,66,149,65
FR,Italy,Greece,752,1644,745
AZ,Italy,Tunisia,6,43,6
FR,Italy,Portugal,408,816,404
LH,Italy,,0,83,0
NO,Italy,Maldives,12,5,12
AT,Italy,Morocco,39,162,39
KL,Italy,,14,57,14
BA,Italy,Japan,1,0,1
AT,Morocco,Italy,7,23,7
TU,France,Tunisia,0,9,0
SM,Egypt,Italy,12,26,12
JL,Switzerland,Japan,0,0,0
EK,Italy,,0,5,0
FR,Italy,France,415,805,411
NO,Spain,Italy,3,6,3
FR,Spain,Italy,419,466,415
FR,Italy,Hungary,138,243,137
TK,Italy,,0,25,0
W6,Italy,Morocco,27,46,27
AZ,United States,Italy,18,28,18
JU,Italy,Turkey,2,6,2
EY,Italy,,3,8,3
TU,Tunisia,Italy,0,24,0
TP,Italy,United States,15,32,15
FR,Italy,Belgium,199,287,197
TP,Italy,,0,14,0
AC,Italy,Canada,16,90,16
W6,Italy,Jordan,44,61,44
LH,Italy,Mexico,1,10,1
TC,Tanzania,,0,3,0
AZ,Tunisia,Italy,7,10,7
V7,Italy,Italy,999,879,989
LA,Italy,,0,10,0
FR,Italy,Romania,94,223,93
