carrier,origin_country,destination_country,clicks_travix,clicks_competitor,clicks_airlines
AZ,Italy,Italy,565,1345,559
FR,Italy,Italy,3926,6142,3887
NO,Italy,Spain,21,49,21
NO,Italy,Egypt,63,52,62
FR,Italy,Spain,2061,4042,2041
AZ,Italy,United States,156,904,154
FR,Italy,Morocco,102,224,101
LA,Italy,Brazil,27,50,27
W6,Italy,Egypt,171,229,169
AZ,Italy,Morocco,37,43,37
LH,Italy,United States,88,140,87
AZ,Italy,,0,94,0
AC,Italy,,0,16,0
W6,Italy,Italy,428,599,424
BA,Italy,United States,235,460,233
AT,Italy,Morocco,37,103,37
KL,Italy,Dominican Republic,2,98,2
TK,Malaysia,,0,4,0
AT,Morocco,Italy,6,22,6
LH,Italy,,0,47,0
FR,Italy,Greece,619,1176,613
TP,Italy,United States,18,23,18
AZ,Italy,Spain,26,94,26
NO,Italy,United States,5,1,5
TK,Italy,,0,44,0
TU,Italy,Tunisia,0,66,0
IB,Italy,Spain,137,139,136
EK,Italy,,0,16,0
JL,Italy,Japan,1,7,1
NO,Egypt,Italy,11,5,11
LA,Colombia,Colombia,11,19,11
SM,Egypt,Italy,12,39,12
UG,Italy,Tunisia,0,0,0
AZ,Italy,Tunisia,11,79,11
JU,Italy,Serbia,34,13,34
KM,Malta,Italy,0,30,0
AZ,Tunisia,Italy,0,7,0
NO,Italy,Maldives,8,2,8
JU,Turkey,Italy,4,0,4
IB,Italy,Brazil,5,2,5
SK,Italy,Spain,0,10,0
W6,Italy,Morocco,12,12,12
LA,Peru,Peru,0,10,0
AZ,United States,United States,0,0,0
FR,Italy,United Kingdom,451,609,447
IB,Italy,Costa Rica,6,9,6
AI,United Arab Emirates,India,0,0,0
S4,Portugal,Portugal,2,8,2
QR,Italy,Philippines,4,6,4
FR,Italy,Jordan,16,44,16
QR,Thailand,,0,5,0
TP,Italy,Brazil,49,129,49
IB,Spain,Italy,49,22,49
BR,Singapore,Italy,0,0,0
W6,Italy,United Arab Emirates,75,105,74
TK,Italy,Ghana,2,3,2
AZ,Italy,Kenya,0,13,0
QR,Italy,Thailand,19,23,19
AF,Italy,United States,63,156,62
FR,Italy,Germany,208,277,206
GQ,Greece,Greece,14,39,14
LH,United States,Italy,5,2,5
AF,Italy,,0,15,0
VN,Thailand,Vietnam,0,2,0
KL,Italy,,9,29,9
TP,Portugal,Switzerland,0,1,0
LX,Italy,Spain,11,13,11
JU,Italy,Turkey,5,5,5
FR,Italy,France,383,621,379
V7,Italy,Italy,827,800,819
