carrier,origin_country,destination_country,clicks_travix,clicks_competitor,clicks_airlines
AZ,Italy,Italy,557,1465,551
NO,Italy,Egypt,127,47,126
FR,Italy,Italy,4511,8270,4466
NO,Italy,Spain,29,49,29
LA,Italy,Brazil,32,90,32
FR,Italy,Spain,2674,5074,2648
FR,Italy,Morocco,170,425,168
AZ,Italy,United States,226,1426,224
AT,Italy,Morocco,33,154,33
AZ,Italy,,0,137,0
NO,Egypt,Italy,15,2,15
IB,Italy,Spain,181,213,179
V7,Italy,Italy,1679,1081,1662
LA,Colombia,Colombia,11,26,11
NO,Italy,Dominican Republic,5,6,5
W6,Italy,Egypt,169,231,167
TU,Tunisia,Italy,0,24,0
TK,Italy,Turkey,145,284,144
AZ,Italy,Morocco,12,28,12
KM,Malta,Italy,0,33,0
QR,Italy,,0,25,0
AF,Italy,United States,104,180,103
W6,Italy,United Arab Emirates,34,166,34
FR,Italy,United Kingdom,645,971,639
TU,Italy,Tunisia,0,104,0
FR,Italy,Greece,767,1747,759
SK,Italy,,3,10,3
KL,Italy,,6,62,6
AZ,Italy,Tunisia,6,32,6
V7,Italy,Greece,674,531,667
U2,Italy,Spain,906,214,897
AF,Italy,,0,24,0
JL,Italy,Japan,1,2,1
FR,Italy,Austria,181,237,179
UX,Spain,Spain,14,20,14
EK,Italy,Indonesia,12,17,12
LX,Italy,United States,43,44,43
FR,Italy,Belgium,154,235,152
FR,Italy,Malta,410,809,406
TU,France,Tunisia,0,7,0
NO,Italy,Maldives,4,3,4
MS,Italy,Egypt,0,121,0
MS,Italy,South Africa,0,5,0
IB,Italy,United States,28,153,28
CA,China,Italy,1,5,1
TP,Italy,United States,12,36,12
SM,Egypt,Italy,23,47,23
AY,Italy,United States,21,51,21
NO,Italy,United States,27,4,27
PG,Thailand,Thailand,50,44,50
SM,Italy,Egypt,38,176,38
UA,Italy,,7,5,7
KL,Italy,Dominican Republic,13,35,13
EY,Italy,Indonesia,19,44,19
WT,Spain,Spain,0,2,0
FR,Italy,Poland,99,219,98
LQ,Cambodia,Thailand,0,5,0
MS,Egypt,Egypt,0,55,0
LA,Ecuador,Ecuador,1,4,1
W6,Italy,Morocco,1,20,1
AZ,Italy,Israel,2,2,2
EK,Pakistan,United Kingdom,4,2,4
DX,Italy,Italy,0,100,0
EK,Italy,,0,12,0
AT,Morocco,Italy,10,31,10
TK,Italy,,0,43,0
JU,Turkey,Italy,4,4,4
IB,Spain,Italy,54,48,53
AZ,United States,Italy,6,14,6
NO,Spain,Italy,3,5,3
UG,Tunisia,Italy,0,1,0
U2,Italy,Italy,1817,252,1799
AY,Italy,Japan,8,0,8
V7,France,Italy,58,34,57
EI,Italy,United States,35,2,35
NO,Italy,Senegal,41,24,41
AS,United States,United States,0,35,0
FR,Italy,Hungary,134,285,133
FR,Italy,France,469,814,464
V7,Italy,France,297,130,294
W6,Italy,Jordan,30,42,30
UG,Italy,Tunisia,0,3,0
LY,Israel,Italy,3,8,3
AZ,Italy,Argentina,14,108,14
KL,Italy,United States,50,290,50
H2,Peru,Peru,0,9,0
FR,Italy,Republic of Ireland,168,216,166
EY,United Arab Emirates,India,1,0,1
TK,Italy,United States,17,10,17
AZ,Italy,Algeria,3,10,3
JU,Italy,Serbia,25,24,25
FR,Italy,Czech Republic,94,195,93
KU,Italy,Bangladesh,0,0,0
LX,Italy,,0,24,0
AI,United Arab Emirates,India,0,2,0
FR,Italy,Denmark,121,218,120
AZ,Tunisia,Italy,1,6,1
AR,Argentina,Argentina,0,8,0
NO,United States,Italy,4,0,4
GQ,Greece,Greece,24,33,24
JU,Italy,Turkey,1,41,1
PW,Tanzania,Tanzania,0,8,0
HC,Senegal,Italy,0,9,0
LA,Italy,Argentina,1,12,1
4Z,South Africa,South Africa,7,5,7
EY,Italy,Maldives,2,20,2
SK,Italy,Sweden,22,32,22
EY,Italy,Singapore,3,8,3
W6,Italy,Bulgaria,10,13,10
KU,Italy,Philippines,3,13,3
W6,Italy,France,59,127,58
S4,Portugal,Portugal,2,0,2
FR,Italy,Croatia,67,215,66
FR,Italy,Netherlands,41,90,41
NP,Egypt,Egypt,0,7,0
FR,Italy,Jordan,19,78,19
FR,Portugal,Italy,72,91,71
3M,United States,United States,0,0,0
UX,Italy,Brazil,4,11,4
WY,Italy,Sri Lanka,0,3,0
AF,Italy,Brazil,12,42,12
UG,Tunisia,Tunisia,0,0,0
EY,Italy,India,3,22,3
9U,Italy,Moldova,0,40,0
FR,Spain,Spain,97,87,96
FR,United Kingdom,Italy,141,147,140
