carrier,origin_country,destination_country,clicks_travix,clicks_competitor,clicks_airlines
AZ,Italy,Italy,464,1051,459
FR,Italy,Italy,3120,5194,3089
AZ,Italy,United States,153,837,151
NO,Italy,Spain,10,22,10
FR,Italy,Spain,1684,2719,1667
NO,Italy,Egypt,50,37,50
TU,Italy,Tunisia,0,96,0
AZ,Italy,,0,82,0
W6,Italy,Egypt,128,237,127
AT,Italy,Morocco,38,136,38
LH,Italy,United States,101,119,100
AR,Argentina,Argentina,0,7,0
LA,Italy,Brazil,32,40,32
FR,Italy,Morocco,118,275,117
FR,Italy,Greece,588,847,582
NO,Italy,Maldives,8,2,8
EI,Italy,United States,26,14,26
LA,Colombia,Colombia,5,5,5
IB,Italy,Spain,165,141,163
BA,Italy,United States,230,278,228
AZ,United States,United States,0,0,0
JU,Italy,Turkey,0,22,0
NO,Egypt,Italy,22,14,22
TK,Italy,Turkey,145,192,144
AZ,Italy,Tunisia,2,31,2
UG,Tunisia,Italy,0,2,0
AT,Morocco,Italy,11,30,11
FR,Italy,Belgium,105,174,104
LH,United States,United States,0,0,0
U2,Italy,Spain,767,130,759
NO,Italy,Dominican Republic,9,16,9
W6,Italy,Jordan,48,61,48
SM,Italy,Egypt,20,146,20
NO,Spain,Italy,1,0,1
KL,Italy,United States,53,142,52
AZ,Egypt,Italy,4,15,4
TP,Italy,United States,23,40,23
MU,Australia,Italy,0,1,0
FR,Italy,Denmark,76,120,75
JU,Italy,Serbia,40,29,40
NO,Italy,United States,8,8,8
AZ,United States,Italy,6,12,6
SK,Italy,,0,3,0
U2,Italy,Italy,1521,219,1506
LH,Italy,,0,63,0
KU,India,Italy,1,3,1
AF,Italy,United States,104,298,103
DX,Italy,Italy,0,57,0
W4,Italy,United Kingdom,220,157,218
FR,Italy,France,282,497,279
FR,Italy,United Kingdom,415,632,411
FR,Italy,Portugal,249,381,247
SV,Italy,Kenya,5,9,5
LY,Italy,Israel,16,12,16
EY,Italy,Indonesia,23,31,23
KL,Italy,Dominican Republic,6,10,6
WY,Switzerland,Thailand,0,1,0
AY,Italy,United States,14,34,14
TK,Italy,The Gambia,0,8,0
IB,Italy,Colombia,16,14,16
SQ,Italy,Thailand,11,9,11
SK,Italy,Denmark,14,29,14
TK,Italy,United States,27,5,27
BA,United States,United States,0,0,0
CZ,Italy,Vietnam,4,13,4
LG,Luxembourg,Italy,2,9,2
BA,Italy,,14,25,14
FR,Italy,Malta,345,505,342
QR,Italy,Thailand,33,96,33
GQ,Greece,Greece,21,40,21
TC,Tanzania,Tanzania,0,7,0
FR,Italy,Jordan,31,35,31
FR,Italy,Czech Republic,106,105,105
JU,Turkey,Italy,2,5,2
V7,Italy,Italy,551,690,546
NP,Egypt,Egypt,0,11,0
AS,United States,United States,0,13,0
IB,Italy,Argentina,19,8,19
FR,Croatia,Italy,10,16,10
AZ,Italy,Spain,15,93,15
IB,Morocco,Spain,0,2,0
QR,Italy,,0,5,0
TK,Italy,South Africa,1,8,1
1L,Italy,France,0,0,0
AZ,Tunisia,Italy,3,4,3
NT,Spain,Spain,0,4,0
QR,India,Italy,5,0,5
EY,Switzerland,Maldives,0,0,0
FR,Italy,Republic of Ireland,96,192,95
4Z,South Africa,South Africa,5,2,5
SN,Italy,,0,0,0
IB,Italy,Mexico,21,37,21
KL,Italy,Mexico,2,9,2
TK,Turkey,Italy,10,24,10
AY,Italy,Japan,3,3,3
LA,Ecuador,Colombia,1,1,1
SM,Egypt,Italy,15,29,15
HC,Senegal,Senegal,0,6,0
LH,Italy,Mexico,3,28,3
LA,Peru,Peru,9,4,9
EK,United States,Italy,0,2,0
EY,United Kingdom,Pakistan,0,0,0
KU,Italy,India,0,6,0
JU,Serbia,Italy,7,1,7
NO,United States,Italy,0,3,0
AZ,Italy,Belgium,16,47,16
IB,Spain,Italy,61,40,60
1L,Italy,Spain,0,0,0
FR,France,Spain,1,6,1
TK,Italy,,0,18,0
NO,Italy,Madagascar,3,2,3
TU,Tunisia,Italy,0,10,0
KL,Italy,,4,37,4
W6,Italy,United Arab Emirates,42,108,42
NO,Italy,Senegal,24,11,24
UX,Italy,Spain,1,22,1
AM,United States,Mexico,0,4,0
SK,Sweden,Norway,1,9,1
TG,Thailand,Thailand,6,15,6
JL,Italy,Japan,0,0,0
FR,Italy,Germany,180,224,178
NO,Italy,Mexico,2,2,2
EY,Italy,Maldives,16,12,16
AZ,Italy,Egypt,9,51,9
LH,United States,Italy,0,3,0
TU,France,Tunisia,0,1,0
AT,Italy,,0,0,0
LO,Italy,Canada,0,0,0
SV,Italy,,0,0,0
SV,Italy,Thailand,2,28,2
AZ,Italy,Morocco,8,41,8
BR,Italy,,0,0,0
H2,Chile,Argentina,0,1,0
BA,Italy,Japan,0,0,0
6E,India,India,16,3,16
AY,Singapore,Italy,3,3,3
TK,Lebanon,Turkey,0,1,0
U2,Italy,France,680,120,673
KM,Malta,Italy,0,15,0
JU,Slovenia,Serbia,0,0,0
CA,Hong Kong,Italy,0,3,0
AZ,Italy,Germany,14,45,14
EK,Italy,Madagascar,0,0,0
EK,Italy,French Polynesia,0,0,0
AK,Sri Lanka,Thailand,0,3,0
MU,Italy,Australia,0,3,0
2W,Dominican Republic,Spain,0,3,0
BA,Spain,Mexico,0,0,0
OB,Peru,Bolivia,0,3,0
AT,Morocco,Morocco,0,1,0
KQ,France,Ethiopia,0,0,0
AI,Thailand,Italy,0,0,0
NO,Dominican Republic,Italy,5,3,5
FR,Italy,Poland,53,85,52
IB,Italy,Chile,1,7,1
BA,Mexico,Italy,6,1,6
CA,Italy,Philippines,0,8,0
LO,Italy,United States,0,2,0
JU,Germany,Turkey,0,1,0
U2,Italy,Egypt,115,50,114
BA,Italy,Panama,0,0,0
HA,United States,United States,0,12,0
1L,Italy,Italy,0,0,0
CA,Italy,Japan,0,102,0
UP,United States,The Bahamas,0,1,0
MS,Italy,Egypt,0,68,0
IB,France,Mexico,1,4,1
QR,Italy,Qatar,2,1,2
KU,Italy,Pakistan,0,6,0
TU,Tunisia,Turkey,0,0,0
RO,Romania,Romania,0,0,0
IZ,Israel,Greece,0,0,0
FR,Spain,Italy,263,354,260
QR,Italy,Australia,7,10,7
JU,Italy,Bosnia and Herzegovina,1,0,1
BA,Germany,United States,1,5,1
FR,Spain,Spain,69,65,68
KM,Switzerland,Italy,0,0,0
W6,Italy,Republic of Macedonia,9,21,9
GF,Pakistan,Italy,0,2,0
LH,United States,Costa Rica,0,0,0
TK,Turkey,Hungary,0,0,0
IB,Italy,Dominican Republic,16,2,16
AF,Italy,,3,56,3
FR,United Kingdom,France,1,0,1
NT,Portugal,Portugal,0,0,0
LA,Chile,Chile,3,4,3
BA,Switzerland,Mexico,0,0,0
DY,Sweden,Norway,0,7,0
EY,Italy,India,7,7,7
V7,Italy,Greece,388,359,384
WY,Tanzania,Italy,0,2,0
AZ,Italy,Israel,2,1,2
EY,Thailand,Italy,2,16,2
SQ,Italy,,0,2,0
EY,Switzerland,Indonesia,1,1,1
LX,Italy,Brazil,7,28,7
LA,Italy,Argentina,4,1,4
LX,Italy,United States,26,39,26
FR,Malta,Greece,2,1,2
LA,Paraguay,Chile,0,0,0
MH,Italy,Malaysia,0,14,0
SQ,Australia,Italy,1,1,1
MU,China,Italy,0,1,0
FR,Italy,Austria,154,200,152
B6,United States,United States,0,8,0
KU,Italy,,0,1,0
TK,Uzbekistan,France,0,0,0
AZ,United States,Mexico,0,0,0
W6,Poland,Italy,17,21,17
ET,India,Italy,0,0,0
BT,Italy,Estonia,0,4,0
GF,Italy,Philippines,0,16,0
IB,Italy,Hong Kong,0,0,0
IB,Italy,United States,5,21,5
IB,Argentina,,3,0,3
TP,Portugal,Portugal,3,8,3
LA,Italy,,0,3,0
HY,Turkey,Uzbekistan,0,0,0
LH,Germany,Mexico,0,3,0
TK,Italy,Australia,0,7,0
FR,Italy,Sweden,39,89,39
OS,Italy,Canada,1,0,1
1L,Italy,Hungary,0,0,0
IB,United Kingdom,Italy,4,9,4
W4,United Kingdom,Italy,58,25,57
LH,Mexico,Italy,1,0,1
XK,France,France,0,2,0
RW,Philippines,Philippines,0,4,0
AZ,Belgium,Italy,2,11,2
EK,Italy,Vietnam,2,1,2
IB,Spain,Colombia,0,0,0
FR,Bulgaria,Italy,4,5,4
DY,Norway,Italy,0,37,0
TP,Italy,,0,12,0
JL,Spain,Japan,0,0,0
BA,Italy,Dominican Republic,0,4,0
KM,Malta,Cyprus,0,3,0
UP,The Bahamas,The Bahamas,0,0,0
EK,Italy,Indonesia,23,7,23
ET,Kenya,Italy,0,0,0
TK,Italy,Qatar,0,2,0
AD,Italy,Brazil,0,7,0
AR,Italy,Argentina,0,61,0
CZ,France,Malaysia,0,3,0
LG,Italy,Luxembourg,13,10,13
TP,Portugal,Italy,22,25,22
AC,Italy,Mexico,0,3,0
ET,Italy,Seychelles,1,7,1
FR,Poland,Italy,22,15,22
AZ,Italy,Argentina,5,41,5
QR,France,Pakistan,0,2,0
AZ,Italy,Algeria,0,3,0
SK,Italy,United States,15,36,15
MS,Egypt,Egypt,0,34,0
IB,Italy,Brazil,4,12,4
ID,Indonesia,Italy,0,0,0
W4,Italy,Italy,1135,1266,1124
IB,Italy,British Virgin Islands,0,0,0
MS,Italy,Kenya,0,5,0
QG,Indonesia,Indonesia,0,6,0
AZ,Canada,United States,0,0,0
EY,Italy,Bangladesh,0,1,0
GA,Indonesia,Italy,0,2,0
