carrier,origin_country,destination_country,clicks_travix,clicks_competitor,clicks_airlines
AZ,Italy,Italy,570,1484,564
FR,Italy,Italy,3526,6667,3491
NO,Italy,Egypt,73,29,72
FR,Italy,Spain,1765,3330,1748
AZ,Italy,United States,200,793,198
NO,Italy,Spain,19,29,19
LA,Italy,Brazil,22,32,22
FR,Italy,Morocco,140,271,139
TU,Italy,Tunisia,0,75,0
NO,Spain,Italy,9,3,9
JU,Italy,Serbia,48,29,48
LH,Italy,,0,69,0
IB,Italy,Spain,186,151,184
NO,Italy,United States,17,8,17
LA,Peru,Peru,4,12,4
AZ,Italy,,0,62,0
FR,Italy,Greece,529,850,524
VY,Italy,Brazil,0,1,0
SM,Egypt,Italy,9,31,9
AR,Argentina,Argentina,0,7,0
KL,Italy,Dominican Republic,3,5,3
V7,Italy,Italy,922,947,913
W6,Italy,United Arab Emirates,54,130,53
U2,Italy,Spain,800,122,792
AZ,Italy,Tunisia,6,54,6
AZ,United States,Italy,11,12,11
FR,Italy,Malta,344,597,341
QR,Italy,,0,13,0
G3,Brazil,Brazil,0,41,0
UG,Tunisia,Italy,0,4,0
FR,Italy,France,304,560,301
FR,Spain,Italy,370,376,366
KU,Italy,India,2,6,2
AF,Italy,United States,84,65,83
AZ,Tunisia,Italy,4,5,4
LX,Italy,,0,22,0
LA,Colombia,Colombia,22,7,22
TK,Italy,,0,11,0
AT,Italy,Morocco,55,121,54
TU,Tunisia,Italy,0,7,0
FR,Italy,Poland,91,143,90
EY,Italy,,12,6,12
FR,Italy,United Kingdom,507,669,502
JU,Serbia,Italy,20,10,20
B6,United States,United States,0,32,0
UG,Italy,Tunisia,0,6,0
DX,Italy,Italy,0,115,0
AZ,Italy,Morocco,10,27,10
KL,Italy,,16,8,16
KL,Italy,United States,38,52,38
MS,Egypt,Egypt,0,27,0
AS,United States,United States,0,15,0
TG,Thailand,Thailand,14,16,14
W6,Italy,Egypt,99,153,98
EI,Italy,United States,19,7,19
FR,Italy,Romania,61,165,60
FR,Italy,Jordan,20,35,20
FR,Italy,Germany,185,264,183
BA,Italy,Japan,0,0,0
MS,Italy,Egypt,0,56,0
AT,Morocco,Jordan,0,4,0
